"Time EST","Air Temp (°C)"
"2018-01-01 00:04","-20.3"
"2018-01-01 00:15","-20.1"
"2018-01-01 00:24","-20.3"
"2018-01-01 00:34","-20.0"
"2018-01-01 00:44","-19.3"
"2018-01-01 00:54","-19.7"
"2018-01-01 01:04","-19.7"
"2018-01-01 01:14","-19.9"
"2018-01-01 01:24","-19.5"
"2018-01-01 01:34","-19.0"
"2018-01-01 01:44","-17.8"
"2018-01-01 01:55","-19.6"
"2018-01-01 02:04","-20.5"
"2018-01-01 02:14","-20.3"
"2018-01-01 02:24","-21.3"
"2018-01-01 02:34","-21.1"
"2018-01-01 02:44","-23.1"
"2018-01-01 02:54","-23.0"
"2018-01-01 03:04","-18.9"
"2018-01-01 03:14","-19.4"
"2018-01-01 03:24","-20.0"
"2018-01-01 03:34","-21.2"
"2018-01-01 03:44","-23.3"
"2018-01-01 04:04","-20.2"
"2018-01-01 04:14","-20.9"
"2018-01-01 04:24","-19.3"
"2018-01-01 04:34","-19.1"
"2018-01-01 04:44","-19.2"
"2018-01-01 04:54","-18.6"
"2018-01-01 05:04","-17.1"
"2018-01-01 05:14","-16.3"
"2018-01-01 05:24","-16.0"
"2018-01-01 05:34","-15.5"
"2018-01-01 05:44","-15.3"
"2018-01-01 05:54","-15.6"
"2018-01-01 06:04","-15.4"
"2018-01-01 06:14","-15.4"
"2018-01-01 06:24","-15.5"
"2018-01-01 06:34","-16.5"
"2018-01-01 06:44","-17.1"
"2018-01-01 06:54","-17.4"
"2018-01-01 07:04","-17.5"
"2018-01-01 07:14","-18.0"
"2018-01-01 07:24","-17.7"
"2018-01-01 07:34","-17.6"
"2018-01-01 07:44","-17.1"
"2018-01-01 07:54","-17.7"
"2018-01-01 08:04","-18.3"
"2018-01-01 08:14","-18.4"
"2018-01-01 08:24","-18.5"
"2018-01-01 08:34","-18.0"
"2018-01-01 08:44","-17.0"
"2018-01-01 08:55","-16.5"
"2018-01-01 09:04","-16.4"
"2018-01-01 09:14","-16.3"
"2018-01-01 09:24","-16.2"
"2018-01-01 09:34","-15.5"
"2018-01-01 09:44","-15.4"
"2018-01-01 09:54","-15.3"
"2018-01-01 10:04","-15.3"
"2018-01-01 10:14","-15.0"
"2018-01-01 10:24","-13.9"
"2018-01-01 10:34","-14.0"
"2018-01-01 10:44","-14.0"
"2018-01-01 10:54","-14.2"
"2018-01-01 11:04","-13.9"
"2018-01-01 11:14","-14.0"
"2018-01-01 11:24","-14.5"
"2018-01-01 11:34","-14.0"
"2018-01-01 11:44","-13.9"
"2018-01-01 11:54","-13.7"
"2018-01-01 12:04","-13.3"
"2018-01-01 12:15","-13.4"
"2018-01-01 12:24","-13.7"
"2018-01-01 12:34","-13.4"
"2018-01-01 12:44","-13.1"
"2018-01-01 12:54","-13.2"
"2018-01-01 13:04","-13.2"
"2018-01-01 13:14","-13.2"
"2018-01-01 13:24","-13.1"
"2018-01-01 13:34","-13.2"
"2018-01-01 13:44","-13.0"
"2018-01-01 13:54","-12.8"
"2018-01-01 14:04","-12.7"
"2018-01-01 14:14","-12.5"
"2018-01-01 14:24","-12.5"
"2018-01-01 14:35","-12.4"
"2018-01-01 14:44","-12.7"
"2018-01-01 14:54","-12.4"
"2018-01-01 15:04","-12.2"
"2018-01-01 15:14","-11.9"
"2018-01-01 15:24","-12.0"
"2018-01-01 15:34","-12.1"
"2018-01-01 15:44","-12.1"
"2018-01-01 15:54","-12.3"
"2018-01-01 16:04","-12.4"
"2018-01-01 16:14","-12.5"
"2018-01-01 16:24","-12.8"
"2018-01-01 16:34","-13.0"
"2018-01-01 16:44","-13.1"
"2018-01-01 16:54","-13.1"
"2018-01-01 17:04","-13.5"
"2018-01-01 17:14","-13.6"
"2018-01-01 17:24","-13.8"
"2018-01-01 17:34","-13.8"
"2018-01-01 17:44","-13.9"
"2018-01-01 17:54","-13.9"
"2018-01-01 18:04","-13.9"
"2018-01-01 18:14","-13.8"
"2018-01-01 18:24","-13.8"
"2018-01-01 18:34","-13.8"
"2018-01-01 18:44","-13.5"
"2018-01-01 18:54","-13.2"
"2018-01-01 19:04","-13.2"
"2018-01-01 19:14","-13.1"
"2018-01-01 19:24","-12.9"
"2018-01-01 19:34","-13.0"
"2018-01-01 19:44","-13.0"
"2018-01-01 19:54","-13.0"
"2018-01-01 20:04","-12.7"
"2018-01-01 20:14","-12.6"
"2018-01-01 20:24","-12.8"
"2018-01-01 20:34","-12.8"
"2018-01-01 20:44","-12.8"
"2018-01-01 20:54","-12.8"
