"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:04","-22.4","83"
"2018-01-01 00:15","-22.3","83"
"2018-01-01 00:24","-22.5","82"
"2018-01-01 00:34","-22.1","83"
"2018-01-01 00:44","-21.3","84"
"2018-01-01 00:54","-21.9","83"
"2018-01-01 01:04","-21.8","83"
"2018-01-01 01:14","-22.1","83"
"2018-01-01 01:24","-21.6","83"
"2018-01-01 01:34","-21.0","84"
"2018-01-01 01:44","-19.7","85"
"2018-01-01 01:55","-22.0","82"
"2018-01-01 02:04","-22.8","82"
"2018-01-01 02:14","-22.4","83"
"2018-01-01 02:24","-23.6","81"
"2018-01-01 02:34","-23.2","82"
"2018-01-01 02:44","-25.7","79"
"2018-01-01 02:54","-25.3","81"
"2018-01-01 03:04","-20.7","86"
"2018-01-01 03:14","-21.5","83"
"2018-01-01 03:24","-22.1","83"
"2018-01-01 03:34","-23.5","82"
"2018-01-01 03:44","-25.8","80"
"2018-01-01 04:04","-22.4","82"
"2018-01-01 04:14","-23.2","81"
"2018-01-01 04:24","-21.3","84"
"2018-01-01 04:34","-21.2","83"
"2018-01-01 04:44","-21.3","83"
"2018-01-01 04:54","-20.6","84"
"2018-01-01 05:04","-18.9","86"
"2018-01-01 05:14","-18.1","86"
"2018-01-01 05:24","-17.9","86"
"2018-01-01 05:34","-17.3","86"
"2018-01-01 05:44","-17.1","86"
"2018-01-01 05:54","-17.4","86"
"2018-01-01 06:04","-17.3","86"
"2018-01-01 06:14","-17.4","84"
"2018-01-01 06:24","-17.8","83"
"2018-01-01 06:34","-19.0","81"
"2018-01-01 06:44","-19.4","82"
"2018-01-01 06:54","-19.8","82"
"2018-01-01 07:04","-19.8","82"
"2018-01-01 07:14","-20.4","81"
"2018-01-01 07:24","-19.9","82"
"2018-01-01 07:34","-20.0","82"
"2018-01-01 07:44","-19.5","81"
"2018-01-01 07:54","-20.2","81"
"2018-01-01 08:04","-20.9","80"
"2018-01-01 08:14","-20.9","80"
"2018-01-01 08:24","-21.0","80"
"2018-01-01 08:34","-20.6","80"
"2018-01-01 08:44","-19.7","80"
"2018-01-01 08:55","-19.4","78"
"2018-01-01 09:04","-19.2","79"
"2018-01-01 09:14","-18.9","80"
"2018-01-01 09:24","-18.9","80"
"2018-01-01 09:34","-18.5","78"
"2018-01-01 09:44","-18.3","78"
"2018-01-01 09:54","-18.2","78"
"2018-01-01 10:04","-18.3","78"
"2018-01-01 10:14","-18.1","77"
"2018-01-01 10:24","-17.5","74"
"2018-01-01 10:34","-17.9","72"
"2018-01-01 10:44","-17.9","72"
"2018-01-01 10:54","-18.0","73"
"2018-01-01 11:04","-17.7","73"
"2018-01-01 11:14","-18.0","72"
"2018-01-01 11:24","-18.4","72"
"2018-01-01 11:34","-18.1","71"
"2018-01-01 11:44","-17.9","71"
"2018-01-01 11:54","-17.6","72"
"2018-01-01 12:04","-17.4","71"
"2018-01-01 12:15","-17.3","73"
"2018-01-01 12:24","-17.5","73"
