"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:04","1.5","85"
"2018-03-01 00:14","1.4","86"
"2018-03-01 00:24","1.2","85"
"2018-03-01 00:34","1.0","85"
"2018-03-01 00:44","1.1","88"
"2018-03-01 00:54","0.9","88"
"2018-03-01 01:04","0.8","89"
"2018-03-01 01:14","0.6","90"
"2018-03-01 01:24","0.5","90"
"2018-03-01 01:34","0.3","91"
"2018-03-01 01:44","0.2","91"
"2018-03-01 01:54","0.1","92"
"2018-03-01 02:04","0.0","91"
"2018-03-01 02:14","-0.1","91"
"2018-03-01 02:24","-0.1","92"
"2018-03-01 02:34","-0.1","93"
"2018-03-01 02:44","-0.2","93"
"2018-03-01 02:54","-0.2","93"
"2018-03-01 03:04","-0.2","94"
"2018-03-01 03:14","-0.1","94"
"2018-03-01 03:24","-0.3","93"
"2018-03-01 03:34","-0.4","93"
"2018-03-01 03:44","-0.3","93"
"2018-03-01 03:54","-0.4","93"
"2018-03-01 04:04","-0.5","93"
"2018-03-01 04:14","-0.6","94"
"2018-03-01 04:24","-0.6","94"
"2018-03-01 04:34","-0.4","95"
"2018-03-01 04:44","-0.7","94"
"2018-03-01 04:54","-0.6","95"
"2018-03-01 05:04","-0.4","95"
"2018-03-01 05:14","-0.6","95"
"2018-03-01 05:24","-0.6","95"
"2018-03-01 05:34","-0.6","95"
"2018-03-01 05:44","-0.5","94"
"2018-03-01 05:54","-0.7","94"
"2018-03-01 06:04","-0.4","95"
"2018-03-01 06:14","-0.5","94"
"2018-03-01 06:24","-0.4","95"
"2018-03-01 06:34","-0.4","95"
"2018-03-01 06:44","-0.5","94"
"2018-03-01 06:54","-0.6","94"
"2018-03-01 07:04","-0.5","94"
"2018-03-01 07:14","-0.5","94"
"2018-03-01 07:24","-0.5","93"
"2018-03-01 08:24","-0.4","92"
"2018-03-01 08:34","-0.3","92"
"2018-03-01 08:44","-0.2","91"
"2018-03-01 08:54","-0.2","91"
"2018-03-01 09:04","-0.2","90"
"2018-03-01 09:14","-0.3","89"
"2018-03-01 09:24","-0.5","88"
"2018-03-01 09:34","-0.5","88"
"2018-03-01 09:44","-0.4","87"
"2018-03-01 09:54","-0.4","87"
"2018-03-01 10:04","-0.4","87"
"2018-03-01 10:14","-0.4","87"
"2018-03-01 10:24","-0.4","86"
"2018-03-01 10:34","-0.4","86"
"2018-03-01 10:44","-0.7","85"
"2018-03-01 10:54","-0.8","85"
"2018-03-01 11:04","-0.8","84"
"2018-03-01 11:14","-0.8","85"
"2018-03-01 11:24","-0.8","85"
"2018-03-01 11:34","-0.8","84"
"2018-03-01 11:44","-0.6","86"
"2018-03-01 11:54","-0.8","85"
"2018-03-01 12:04","-0.7","86"
"2018-03-01 12:14","-0.8","85"
"2018-03-01 12:24","-1.0","84"
"2018-03-01 12:34","-1.1","83"
"2018-03-01 12:44","-1.1","83"
"2018-03-01 12:54","-1.0","83"
"2018-03-01 13:04","-1.1","82"
"2018-03-01 13:14","-1.0","83"
"2018-03-01 13:24","-1.1","83"
"2018-03-01 13:34","-1.2","82"
"2018-03-01 13:44","-1.4","82"
"2018-03-01 13:54","-1.3","82"
"2018-03-01 14:04","-1.1","84"
"2018-03-01 14:14","-1.3","82"
"2018-03-01 14:24","-1.3","82"
"2018-03-01 14:34","-1.4","82"
