"Time EST","Air Temp (°C)"
"2018-01-01 00:04","-15.1"
"2018-01-01 00:14","-15.1"
"2018-01-01 00:24","-15.0"
"2018-01-01 00:34","-15.0"
"2018-01-01 00:44","-15.1"
"2018-01-01 00:54","-15.1"
"2018-01-01 01:04","-15.2"
"2018-01-01 01:14","-15.2"
"2018-01-01 01:24","-15.1"
"2018-01-01 01:34","-14.9"
"2018-01-01 01:44","-14.8"
"2018-01-01 01:54","-14.8"
"2018-01-01 02:04","-14.7"
"2018-01-01 02:14","-14.7"
"2018-01-01 02:24","-14.7"
"2018-01-01 02:34","-14.7"
"2018-01-01 02:44","-15.0"
"2018-01-01 02:54","-14.9"
"2018-01-01 03:04","-14.7"
"2018-01-01 03:14","-14.6"
"2018-01-01 03:24","-14.5"
"2018-01-01 03:34","-14.4"
"2018-01-01 03:44","-14.2"
"2018-01-01 03:54","-13.6"
"2018-01-01 04:04","-13.1"
"2018-01-01 04:14","-11.5"
"2018-01-01 04:24","-10.6"
"2018-01-01 04:34","-10.4"
"2018-01-01 04:44","-10.3"
"2018-01-01 04:54","-10.4"
"2018-01-01 05:04","-10.4"
"2018-01-01 05:14","-10.3"
"2018-01-01 05:24","-10.2"
"2018-01-01 05:34","-10.0"
"2018-01-01 05:44","-10.0"
"2018-01-01 05:54","-10.2"
"2018-01-01 06:04","-10.4"
"2018-01-01 06:14","-10.4"
"2018-01-01 06:24","-10.5"
"2018-01-01 06:34","-10.4"
"2018-01-01 06:44","-10.6"
"2018-01-01 06:54","-10.4"
"2018-01-01 07:04","-10.5"
"2018-01-01 07:14","-10.6"
"2018-01-01 07:24","-10.6"
"2018-01-01 07:34","-10.8"
"2018-01-01 07:44","-10.7"
"2018-01-01 07:54","-10.4"
"2018-01-01 08:04","-10.4"
"2018-01-01 08:14","-10.4"
"2018-01-01 08:24","-10.4"
"2018-01-01 08:34","-10.3"
"2018-01-01 08:44","-10.1"
"2018-01-01 08:54","-10.1"
"2018-01-01 09:04","-9.9"
"2018-01-01 09:14","-9.8"
"2018-01-01 09:24","-9.9"
"2018-01-01 09:34","-9.8"
"2018-01-01 09:44","-9.7"
"2018-01-01 09:54","-9.5"
"2018-01-01 10:04","-9.6"
"2018-01-01 10:14","-9.6"
"2018-01-01 10:24","-9.6"
"2018-01-01 10:34","-9.8"
"2018-01-01 10:44","-9.6"
"2018-01-01 10:54","-9.5"
"2018-01-01 11:04","-9.6"
"2018-01-01 11:14","-9.7"
"2018-01-01 11:24","-9.9"
"2018-01-01 11:34","-10.0"
"2018-01-01 11:44","-9.9"
"2018-01-01 11:54","-9.9"
"2018-01-01 12:04","-10.0"
"2018-01-01 12:14","-10.1"
"2018-01-01 12:24","-10.3"
"2018-01-01 12:34","-10.4"
"2018-01-01 12:44","-10.7"
"2018-01-01 12:54","-11.0"
"2018-01-01 13:04","-11.1"
"2018-01-01 13:14","-11.1"
"2018-01-01 13:24","-11.3"
"2018-01-01 13:34","-11.2"
"2018-01-01 13:44","-11.2"
"2018-01-01 13:54","-11.0"
"2018-01-01 14:04","-10.9"
"2018-01-01 14:14","-10.9"
"2018-01-01 14:24","-11.0"
"2018-01-01 14:34","-10.9"
"2018-01-01 14:44","-11.0"
"2018-01-01 14:54","-10.7"
"2018-01-01 15:04","-11.0"
"2018-01-01 15:14","-10.7"
"2018-01-01 15:24","-10.7"
"2018-01-01 15:34","-10.8"
"2018-01-01 15:44","-10.6"
"2018-01-01 15:54","-10.7"
"2018-01-01 16:04","-10.7"
"2018-01-01 16:14","-10.7"
"2018-01-01 16:24","-10.7"
"2018-01-01 16:34","-10.6"
"2018-01-01 16:44","-10.5"
"2018-01-01 16:54","-10.4"
"2018-01-01 17:04","-10.4"
"2018-01-01 17:14","-10.4"
"2018-01-01 17:24","-10.3"
"2018-01-01 17:34","-10.2"
"2018-01-01 17:44","-10.3"
"2018-01-01 17:54","-10.4"
"2018-01-01 18:04","-10.0"
"2018-01-01 18:14","-9.9"
"2018-01-01 18:24","-9.8"
"2018-01-01 18:34","-9.6"
"2018-01-01 18:44","-9.5"
"2018-01-01 18:54","-9.2"
"2018-01-01 19:04","-9.3"
"2018-01-01 19:14","-9.2"
"2018-01-01 19:24","-9.2"
"2018-01-01 19:34","-8.8"
"2018-01-01 19:44","-8.9"
