"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:04","-16.1","91"
"2018-01-01 00:14","-16.1","91"
"2018-01-01 00:24","-16.0","91"
"2018-01-01 00:34","-16.0","91"
"2018-01-01 00:44","-16.1","91"
"2018-01-01 00:54","-16.1","91"
"2018-01-01 01:04","-16.3","91"
"2018-01-01 01:14","-16.2","91"
"2018-01-01 01:24","-16.1","91"
"2018-01-01 01:34","-16.0","91"
"2018-01-01 01:44","-15.9","91"
"2018-01-01 01:54","-15.8","92"
"2018-01-01 02:04","-15.8","92"
"2018-01-01 02:14","-15.6","92"
"2018-01-01 02:24","-15.6","92"
"2018-01-01 02:34","-15.6","92"
"2018-01-01 02:44","-15.9","92"
"2018-01-01 02:54","-15.8","92"
"2018-01-01 03:04","-15.7","92"
"2018-01-01 03:14","-15.5","92"
"2018-01-01 03:24","-15.4","92"
"2018-01-01 03:34","-15.3","92"
"2018-01-01 03:44","-15.2","92"
"2018-01-01 03:54","-14.5","92"
"2018-01-01 04:04","-14.1","92"
"2018-01-01 04:14","-12.6","92"
"2018-01-01 04:24","-12.6","85"
"2018-01-01 04:34","-12.5","84"
"2018-01-01 04:44","-12.5","83"
"2018-01-01 04:54","-12.8","82"
"2018-01-01 05:04","-13.9","75"
"2018-01-01 05:14","-14.5","70"
"2018-01-01 05:24","-14.5","70"
"2018-01-01 05:34","-14.5","69"
"2018-01-01 05:44","-14.1","72"
"2018-01-01 05:54","-13.4","77"
"2018-01-01 06:04","-13.2","79"
"2018-01-01 06:14","-13.5","78"
"2018-01-01 06:24","-13.3","80"
"2018-01-01 06:34","-13.1","80"
"2018-01-01 06:44","-13.5","79"
"2018-01-01 06:54","-13.6","77"
"2018-01-01 07:04","-13.0","81"
"2018-01-01 07:14","-13.0","82"
"2018-01-01 07:24","-12.9","82"
"2018-01-01 07:34","-12.5","87"
"2018-01-01 07:44","-13.2","81"
"2018-01-01 07:54","-13.3","79"
"2018-01-01 08:04","-12.5","84"
"2018-01-01 08:14","-11.7","89"
"2018-01-01 08:24","-11.5","91"
"2018-01-01 08:34","-11.6","90"
"2018-01-01 08:44","-11.9","86"
"2018-01-01 08:54","-12.2","84"
"2018-01-01 09:04","-13.2","76"
"2018-01-01 09:14","-12.7","79"
"2018-01-01 09:24","-12.7","79"
"2018-01-01 09:34","-13.1","76"
"2018-01-01 09:44","-13.4","74"
"2018-01-01 09:54","-13.7","71"
"2018-01-01 10:04","-14.3","68"
"2018-01-01 10:14","-14.2","69"
"2018-01-01 10:24","-13.8","71"
"2018-01-01 10:34","-13.3","75"
"2018-01-01 10:44","-13.1","75"
"2018-01-01 10:54","-13.1","75"
"2018-01-01 11:04","-12.4","79"
"2018-01-01 11:14","-11.4","87"
"2018-01-01 11:24","-10.9","91"
"2018-01-01 11:34","-10.8","94"
"2018-01-01 11:44","-10.6","94"
"2018-01-01 11:54","-10.5","95"
"2018-01-01 12:04","-10.6","95"
"2018-01-01 12:14","-10.9","94"
"2018-01-01 12:24","-11.0","94"
"2018-01-01 12:34","-11.1","94"
"2018-01-01 12:44","-11.4","94"
"2018-01-01 12:54","-11.8","93"
"2018-01-01 13:04","-12.3","91"
"2018-01-01 13:14","-12.6","89"
"2018-01-01 13:24","-12.8","88"
"2018-01-01 13:34","-12.7","88"
"2018-01-01 13:44","-12.6","89"
"2018-01-01 13:54","-12.1","92"
"2018-01-01 14:04","-11.8","93"
"2018-01-01 14:14","-11.6","94"
"2018-01-01 14:24","-11.6","95"
"2018-01-01 14:34","-11.5","95"
"2018-01-01 14:44","-11.5","95"
"2018-01-01 14:54","-11.3","95"
"2018-01-01 15:04","-11.6","95"
"2018-01-01 15:14","-11.3","95"
"2018-01-01 15:24","-11.3","95"
"2018-01-01 15:34","-11.3","96"
"2018-01-01 15:44","-11.1","96"
"2018-01-01 15:54","-11.2","96"
"2018-01-01 16:04","-11.2","96"
"2018-01-01 16:14","-11.2","96"
"2018-01-01 16:24","-11.2","96"
"2018-01-01 16:34","-11.1","96"
"2018-01-01 16:44","-11.0","96"
"2018-01-01 16:54","-11.0","95"
"2018-01-01 17:04","-11.1","94"
"2018-01-01 17:14","-11.5","91"
"2018-01-01 17:24","-11.8","88"
"2018-01-01 17:34","-11.7","88"
"2018-01-01 17:44","-12.0","87"
"2018-01-01 17:54","-12.8","82"
"2018-01-01 18:04","-12.2","84"
"2018-01-01 18:14","-11.9","85"
"2018-01-01 18:24","-11.3","88"
"2018-01-01 18:34","-11.5","85"
"2018-01-01 18:44","-11.8","83"
"2018-01-01 18:54","-11.5","83"
"2018-01-01 19:04","-11.7","82"
"2018-01-01 19:14","-11.6","82"
"2018-01-01 19:24","-11.3","84"
"2018-01-01 19:34","-10.6","87"
"2018-01-01 19:44","-10.2","90"
"2018-01-01 19:54","-9.7","93"
"2018-01-01 20:04","-9.3","95"
"2018-01-01 20:14","-9.2","96"
"2018-01-01 20:24","-13.0","95"
"2018-01-01 20:34","-13.7","95"
"2018-01-01 20:44","-14.1","95"
"2018-01-01 20:54","-14.0","95"
"2018-01-01 21:04","-14.0","95"
"2018-01-01 21:14","-14.1","95"
"2018-01-01 21:24","-13.9","95"
"2018-01-01 21:34","-14.4","94"
"2018-01-01 21:44","-14.3","95"
"2018-01-01 21:54","-13.9","95"
"2018-01-01 22:04","-13.8","95"
"2018-01-01 22:14","-13.9","95"
"2018-01-01 22:24","-13.6","94"
"2018-01-01 22:34","-13.6","94"
"2018-01-01 22:44","-13.8","94"
"2018-01-01 22:54","-13.5","94"
"2018-01-01 23:04","-12.9","94"
"2018-01-01 23:14","-12.8","94"
"2018-01-01 23:24","-9.0","95"
"2018-01-01 23:34","-8.0","93"
"2018-01-01 23:44","-8.0","92"
"2018-01-01 23:54","-8.1","92"
"2018-01-02 00:04","-8.1","91"
"2018-01-02 00:14","-7.9","92"
"2018-01-02 00:24","-7.5","92"
"2018-01-02 00:34","-7.3","92"
"2018-01-02 00:44","-7.4","92"
"2018-01-02 00:54","-7.3","92"
"2018-01-02 01:04","-7.2","93"
"2018-01-02 01:14","-7.7","89"
"2018-01-02 01:24","-7.6","89"
"2018-01-02 01:34","-7.6","88"
"2018-01-02 01:44","-7.6","88"
"2018-01-02 01:54","-7.5","88"
"2018-01-02 02:04","-7.6","87"
"2018-01-02 02:14","-7.7","87"
"2018-01-02 02:24","-7.9","87"
"2018-01-02 02:34","-8.1","87"
"2018-01-02 02:44","-8.2","85"
"2018-01-02 02:54","-8.4","84"
"2018-01-02 03:04","-8.8","81"
"2018-01-02 03:14","-8.9","80"
"2018-01-02 03:24","-8.9","79"
"2018-01-02 03:34","-8.5","80"
"2018-01-02 03:44","-8.6","80"
"2018-01-02 03:54","-8.7","79"
"2018-01-02 04:04","-8.7","80"
"2018-01-02 04:14","-8.7","79"
"2018-01-02 04:24","-8.7","81"
"2018-01-02 04:34","-8.8","82"
"2018-01-02 04:44","-8.9","82"
"2018-01-02 04:54","-8.9","83"
"2018-01-02 05:04","-8.9","86"
"2018-01-02 05:14","-8.9","88"
"2018-01-02 05:24","-8.9","89"
"2018-01-02 05:34","-9.1","89"
"2018-01-02 05:44","-9.3","90"
"2018-01-02 05:54","-9.6","90"
"2018-01-02 06:04","-9.6","90"
"2018-01-02 06:14","-9.7","90"
"2018-01-02 06:24","-9.7","90"
"2018-01-02 06:34","-9.7","90"
"2018-01-02 06:44","-9.8","89"
"2018-01-02 06:54","-9.8","89"
"2018-01-02 07:04","-9.8","89"
"2018-01-02 07:14","-9.6","89"
"2018-01-02 07:24","-9.6","89"
"2018-01-02 07:34","-9.4","90"
"2018-01-02 07:44","-9.3","90"
"2018-01-02 07:54","-9.1","90"
"2018-01-02 08:04","-9.1","90"
"2018-01-02 08:14","-9.1","90"
"2018-01-02 08:24","-9.0","90"
"2018-01-02 08:34","-9.0","90"
"2018-01-02 08:44","-8.9","90"
"2018-01-02 08:54","-8.7","90"
"2018-01-02 09:04","-8.7","90"
"2018-01-02 09:14","-8.7","90"
"2018-01-02 09:24","-8.4","90"
"2018-01-02 09:34","-8.4","90"
"2018-01-02 09:44","-8.2","89"
"2018-01-02 09:54","-8.2","89"
"2018-01-02 10:04","-8.4","88"
"2018-01-02 10:14","-8.3","89"
"2018-01-02 10:24","-8.4","89"
"2018-01-02 10:34","-8.4","89"
"2018-01-02 10:44","-8.4","88"
"2018-01-02 10:54","-8.5","87"
"2018-01-02 11:04","-8.3","87"
"2018-01-02 11:14","-8.4","87"
"2018-01-02 11:24","-8.2","87"
"2018-01-02 11:34","-8.2","87"
"2018-01-02 11:44","-8.0","89"
"2018-01-02 11:54","-8.0","88"
"2018-01-02 12:04","-8.1","87"
"2018-01-02 12:14","-8.0","87"
"2018-01-02 12:24","-7.8","87"
"2018-01-02 12:34","-7.6","87"
"2018-01-02 12:44","-7.7","86"
"2018-01-02 12:54","-8.1","85"
"2018-01-02 13:04","-8.0","84"
"2018-01-02 13:14","-8.1","84"
"2018-01-02 13:24","-8.3","84"
"2018-01-02 13:34","-8.3","84"
"2018-01-02 13:44","-8.4","84"
"2018-01-02 13:54","-8.5","84"
"2018-01-02 14:04","-8.4","84"
"2018-01-02 14:14","-8.6","83"
"2018-01-02 14:24","-8.8","81"
"2018-01-02 14:34","-8.9","81"
"2018-01-02 14:44","-8.8","81"
"2018-01-02 14:54","-8.9","81"
"2018-01-02 15:04","-9.0","80"
"2018-01-02 15:14","-8.9","80"
"2018-01-02 15:24","-9.0","81"
"2018-01-02 15:34","-9.0","79"
"2018-01-02 15:44","-8.9","80"
"2018-01-02 15:54","-9.1","79"
"2018-01-02 16:04","-9.2","79"
"2018-01-02 16:14","-9.1","79"
"2018-01-02 16:24","-9.1","79"
"2018-01-02 16:34","-9.2","78"
"2018-01-02 16:44","-9.3","77"
"2018-01-02 16:54","-9.5","76"
"2018-01-02 17:04","-9.6","76"
"2018-01-02 17:14","-9.6","75"
"2018-01-02 17:24","-10.0","74"
"2018-01-02 17:34","-10.0","74"
"2018-01-02 17:44","-9.9","74"
"2018-01-02 17:54","-9.7","74"
"2018-01-02 18:04","-9.6","75"
"2018-01-02 18:14","-9.5","76"
"2018-01-02 18:24","-9.6","75"
"2018-01-02 18:34","-9.6","75"
"2018-01-02 18:44","-9.6","75"
"2018-01-02 18:54","-9.5","75"
"2018-01-02 19:04","-9.6","74"
"2018-01-02 19:14","-9.6","75"
"2018-01-02 19:24","-9.7","75"
"2018-01-02 19:34","-9.8","75"
"2018-01-02 19:44","-9.9","74"
"2018-01-02 19:54","-9.9","74"
"2018-01-02 20:04","-10.0","74"
"2018-01-02 20:14","-10.1","74"
"2018-01-02 20:24","-9.9","75"
"2018-01-02 20:34","-9.9","75"
"2018-01-02 20:44","-9.9","75"
"2018-01-02 20:54","-9.8","75"
"2018-01-02 21:04","-9.8","75"
"2018-01-02 21:14","-9.7","75"
"2018-01-02 21:24","-9.6","75"
"2018-01-02 21:34","-9.6","75"
"2018-01-02 21:44","-9.8","75"
"2018-01-02 21:54","-9.7","75"
"2018-01-02 22:04","-9.6","77"
"2018-01-02 22:14","-9.7","78"
"2018-01-02 22:24","-9.7","78"
"2018-01-02 22:34","-9.7","78"
"2018-01-02 22:44","-9.5","80"
"2018-01-02 22:54","-9.6","82"
"2018-01-02 23:04","-9.5","82"
"2018-01-02 23:14","-9.3","82"
"2018-01-02 23:24","-9.3","82"
"2018-01-02 23:34","-9.2","83"
"2018-01-02 23:44","-9.2","85"
"2018-01-02 23:54","-9.4","86"
"2018-01-03 00:04","-9.5","87"
"2018-01-03 00:14","-9.6","87"
"2018-01-03 00:24","-9.5","87"
"2018-01-03 00:34","-9.7","87"
"2018-01-03 00:44","-9.6","88"
"2018-01-03 00:54","-9.6","88"
"2018-01-03 01:04","-9.6","88"
"2018-01-03 01:14","-9.8","88"
"2018-01-03 01:24","-9.8","88"
"2018-01-03 01:34","-9.8","88"
"2018-01-03 01:44","-9.6","89"
"2018-01-03 01:54","-9.5","89"
"2018-01-03 02:04","-9.7","89"
"2018-01-03 02:14","-9.8","87"
"2018-01-03 02:24","-9.7","87"
"2018-01-03 02:34","-10.1","85"
"2018-01-03 02:44","-10.2","85"
"2018-01-03 02:54","-10.2","85"
"2018-01-03 03:04","-10.1","87"
"2018-01-03 03:14","-10.0","88"
"2018-01-03 03:24","-10.0","88"
"2018-01-03 03:34","-9.9","89"
"2018-01-03 03:44","-9.8","89"
"2018-01-03 03:54","-9.8","90"
"2018-01-03 04:04","-9.6","92"
"2018-01-03 04:14","-9.5","92"
"2018-01-03 04:24","-9.5","92"
"2018-01-03 04:34","-9.6","93"
"2018-01-03 04:44","-9.6","93"
"2018-01-03 04:54","-9.6","93"
"2018-01-03 05:04","-9.6","93"
"2018-01-03 05:14","-9.7","93"
"2018-01-03 05:24","-9.7","93"
"2018-01-03 05:34","-9.7","93"
"2018-01-03 05:44","-9.9","92"
"2018-01-03 05:54","-9.8","92"
"2018-01-03 06:04","-9.8","91"
"2018-01-03 06:15","-10.0","89"
"2018-01-03 06:24","-10.2","89"
"2018-01-03 06:34","-10.0","90"
"2018-01-03 06:44","-10.2","89"
"2018-01-03 06:54","-10.3","89"
"2018-01-03 07:04","-10.3","90"
"2018-01-03 07:14","-10.2","90"
"2018-01-03 07:24","-10.4","89"
"2018-01-03 07:34","-10.4","90"
"2018-01-03 07:44","-10.2","92"
"2018-01-03 07:54","-12.4","92"
"2018-01-03 08:04","-13.2","92"
"2018-01-03 08:15","-13.3","92"
"2018-01-03 08:24","-13.5","92"
"2018-01-03 08:34","-13.9","92"
"2018-01-03 08:44","-14.0","92"
"2018-01-03 08:54","-14.1","92"
"2018-01-03 09:04","-13.9","93"
"2018-01-03 09:19","-13.7","93"
"2018-01-03 09:24","-13.7","93"
"2018-01-03 09:44","-13.4","93"
"2018-01-03 09:54","-13.4","93"
"2018-01-03 10:04","-13.4","93"
"2018-01-03 10:14","-13.2","94"
"2018-01-03 10:24","-13.3","93"
"2018-01-03 10:34","-13.3","94"
"2018-01-03 10:44","-13.2","94"
"2018-01-03 10:54","-13.1","94"
"2018-01-03 11:04","-13.0","94"
"2018-01-03 11:14","-12.9","94"
"2018-01-03 11:24","-12.7","94"
"2018-01-03 11:34","-12.5","94"
"2018-01-03 11:44","-12.2","94"
"2018-01-03 11:54","-12.0","94"
"2018-01-03 12:04","-12.0","94"
"2018-01-03 12:24","-12.0","94"
"2018-01-03 12:34","-12.0","94"
"2018-01-03 12:44","-11.9","94"
"2018-01-03 13:04","-11.6","93"
"2018-01-03 13:14","-11.4","93"
"2018-01-03 13:24","-11.4","93"
"2018-01-03 13:34","-11.4","93"
"2018-01-03 13:44","-11.5","93"
