"Time EST","Pressure (kPa)"
"2018-01-01 00:04","100.05"
"2018-01-01 00:14","100.05"
"2018-01-01 00:24","100.05"
"2018-01-01 00:34","100.05"
"2018-01-01 00:44","100.02"
"2018-01-01 00:54","100.02"
"2018-01-01 01:04","100.02"
"2018-01-01 01:14","100.02"
"2018-01-01 01:24","99.98"
"2018-01-01 01:34","99.98"
"2018-01-01 01:44","99.95"
"2018-01-01 01:54","99.95"
"2018-01-01 02:04","99.95"
"2018-01-01 02:14","99.95"
"2018-01-01 02:24","99.95"
"2018-01-01 02:34","99.95"
"2018-01-01 02:44","99.91"
"2018-01-01 02:54","99.91"
"2018-01-01 03:04","99.88"
"2018-01-01 03:14","99.88"
"2018-01-01 03:24","99.84"
"2018-01-01 03:34","99.84"
"2018-01-01 03:44","99.84"
"2018-01-01 03:54","99.81"
"2018-01-01 04:04","99.81"
"2018-01-01 04:14","99.77"
"2018-01-01 04:24","99.77"
"2018-01-01 04:34","99.77"
"2018-01-01 04:44","99.77"
"2018-01-01 04:54","99.77"
"2018-01-01 05:04","99.77"
"2018-01-01 05:14","99.74"
"2018-01-01 05:24","99.74"
"2018-01-01 05:34","99.74"
"2018-01-01 05:44","99.74"
"2018-01-01 05:54","99.74"
"2018-01-01 06:04","99.74"
"2018-01-01 06:14","99.77"
"2018-01-01 06:24","99.77"
"2018-01-01 06:34","99.74"
"2018-01-01 06:44","99.77"
"2018-01-01 06:54","99.77"
"2018-01-01 07:04","99.77"
"2018-01-01 07:14","99.74"
"2018-01-01 07:24","99.77"
"2018-01-01 07:34","99.77"
"2018-01-01 07:44","99.74"
"2018-01-01 07:54","99.74"
"2018-01-01 08:04","99.74"
"2018-01-01 08:14","99.74"
"2018-01-01 08:24","99.74"
"2018-01-01 08:34","99.70"
"2018-01-01 08:44","99.74"
"2018-01-01 08:54","99.74"
"2018-01-01 09:04","99.74"
"2018-01-01 09:14","99.74"
"2018-01-01 09:24","99.74"
"2018-01-01 09:34","99.74"
"2018-01-01 09:44","99.74"
"2018-01-01 09:54","99.74"
"2018-01-01 10:04","99.74"
"2018-01-01 10:14","99.77"
"2018-01-01 10:24","99.77"
"2018-01-01 10:34","99.77"
"2018-01-01 10:44","99.77"
"2018-01-01 10:54","99.77"
"2018-01-01 11:04","99.74"
"2018-01-01 11:14","99.77"
"2018-01-01 11:24","99.77"
"2018-01-01 11:34","99.77"
"2018-01-01 11:44","99.74"
"2018-01-01 11:54","99.74"
"2018-01-01 12:04","99.77"
"2018-01-01 12:14","99.77"
"2018-01-01 12:24","99.74"
"2018-01-01 12:34","99.77"
"2018-01-01 12:44","99.77"
"2018-01-01 12:54","99.81"
"2018-01-01 13:04","99.81"
"2018-01-01 13:14","99.81"
"2018-01-01 13:24","99.81"
"2018-01-01 13:34","99.81"
"2018-01-01 13:44","99.81"
"2018-01-01 13:54","99.81"
"2018-01-01 14:04","99.81"
"2018-01-01 14:14","99.77"
"2018-01-01 14:24","99.81"
"2018-01-01 14:34","99.81"
"2018-01-01 14:44","99.84"
"2018-01-01 14:54","99.84"
"2018-01-01 15:04","99.84"
"2018-01-01 15:14","99.88"
"2018-01-01 15:24","99.84"
"2018-01-01 15:34","99.88"
"2018-01-01 15:44","99.88"
"2018-01-01 15:54","99.91"
"2018-01-01 16:04","99.88"
"2018-01-01 16:14","99.91"
"2018-01-01 16:24","99.91"
"2018-01-01 16:34","99.91"
"2018-01-01 16:44","99.91"
"2018-01-01 16:54","99.91"
"2018-01-01 17:04","99.95"
"2018-01-01 17:14","99.95"
"2018-01-01 17:24","99.98"
"2018-01-01 17:34","99.95"
"2018-01-01 17:44","99.95"
"2018-01-01 17:54","99.98"
"2018-01-01 18:04","99.98"
"2018-01-01 18:14","99.98"
"2018-01-01 18:24","99.95"
"2018-01-01 18:34","99.95"
"2018-01-01 18:44","99.98"
"2018-01-01 18:54","99.98"
"2018-01-01 19:04","99.98"
"2018-01-01 19:14","99.98"
"2018-01-01 19:24","99.98"
"2018-01-01 19:34","99.95"
"2018-01-01 19:44","99.95"
"2018-01-01 19:54","99.95"
"2018-01-01 20:04","99.95"
"2018-01-01 20:14","99.98"
"2018-01-01 20:24","99.95"
"2018-01-01 20:34","99.95"
"2018-01-01 20:44","99.95"
"2018-01-01 20:54","99.95"
"2018-01-01 21:04","99.95"
"2018-01-01 21:14","99.95"
"2018-01-01 21:24","99.95"
"2018-01-01 21:34","99.95"
"2018-01-01 21:44","99.95"
"2018-01-01 21:54","99.95"
"2018-01-01 22:04","99.91"
"2018-01-01 22:14","99.91"
"2018-01-01 22:24","99.88"
"2018-01-01 22:34","99.88"
"2018-01-01 22:44","99.88"
"2018-01-01 22:54","99.88"
"2018-01-01 23:04","99.84"
"2018-01-01 23:14","99.88"
"2018-01-01 23:24","99.84"
"2018-01-01 23:34","99.84"
"2018-01-01 23:44","99.84"
"2018-01-01 23:54","99.84"
"2018-01-02 00:04","99.81"
"2018-01-02 00:14","99.81"
"2018-01-02 00:24","99.81"
"2018-01-02 00:34","99.77"
"2018-01-02 00:44","99.77"
"2018-01-02 00:54","99.77"
"2018-01-02 01:04","99.77"
"2018-01-02 01:14","99.74"
"2018-01-02 01:24","99.74"
"2018-01-02 01:34","99.74"
"2018-01-02 01:44","99.74"
"2018-01-02 01:54","99.74"
"2018-01-02 02:04","99.74"
"2018-01-02 02:14","99.77"
"2018-01-02 02:24","99.77"
"2018-01-02 02:34","99.77"
"2018-01-02 02:44","99.81"
"2018-01-02 02:54","99.77"
"2018-01-02 03:04","99.77"
"2018-01-02 03:14","99.77"
"2018-01-02 03:24","99.77"
"2018-01-02 03:34","99.77"
"2018-01-02 03:44","99.77"
"2018-01-02 03:54","99.74"
"2018-01-02 04:04","99.74"
"2018-01-02 04:14","99.74"
"2018-01-02 04:24","99.74"
"2018-01-02 04:34","99.70"
"2018-01-02 04:44","99.74"
"2018-01-02 04:54","99.74"
"2018-01-02 05:04","99.74"
"2018-01-02 05:14","99.70"
"2018-01-02 05:24","99.70"
"2018-01-02 05:34","99.70"
