"Time EST","Precipitation 1h (mm)","Precipitation Rate (mm/h)","Precipitation Yes/No"
"2018-01-01 00:04","","0","Yes"
"2018-01-01 00:14","","0","Yes"
"2018-01-01 00:24","","0","Yes"
"2018-01-01 00:34","","0.0","Yes"
"2018-01-01 00:44","","0","Yes"
"2018-01-01 00:54","","0","Yes"
"2018-01-01 01:04","0.1","0","No"
"2018-01-01 01:14","0.1","0","Yes"
"2018-01-01 01:24","0.1","0","Yes"
"2018-01-01 01:34","0.0","0","Yes"
"2018-01-01 01:44","0.1","0.0","Yes"
"2018-01-01 01:54","0.2","0","Yes"
"2018-01-01 02:04","0.2","0.0","Yes"
"2018-01-01 02:14","0.3","0.0","Yes"
"2018-01-01 02:24","0.4","0.0","Yes"
"2018-01-01 02:34","0.4","0","Yes"
"2018-01-01 02:44","0.3","0","Yes"
"2018-01-01 02:54","0.2","0","No"
"2018-01-01 03:04","0.2","0","Yes"
"2018-01-01 03:14","0.1","0","Yes"
"2018-01-01 03:24","0.0","0","No"
"2018-01-01 03:34","0.0","0","No"
"2018-01-01 03:44","0.0","0","No"
"2018-01-01 03:54","0.0","0","Yes"
"2018-01-01 04:04","0.0","0","No"
"2018-01-01 04:14","0.1","0","Yes"
"2018-01-01 04:24","0.1","0","Yes"
"2018-01-01 04:34","0.2","0","Yes"
"2018-01-01 04:44","0.2","0.0","Yes"
"2018-01-01 04:54","0.2","0","Yes"
"2018-01-01 05:04","0.2","0","Yes"
"2018-01-01 05:14","0.1","0","No"
"2018-01-01 05:24","0.1","0","Yes"
"2018-01-01 05:34","0.0","0","Yes"
"2018-01-01 05:44","0.0","0","Yes"
"2018-01-01 05:54","0.1","0","Yes"
"2018-01-01 06:04","0.2","0.0","Yes"
"2018-01-01 06:14","0.3","0.0","Yes"
"2018-01-01 06:24","0.4","0.0","Yes"
"2018-01-01 06:34","0.5","0.0","Yes"
"2018-01-01 06:44","0.5","0","Yes"
"2018-01-01 06:54","0.5","0.1","Yes"
"2018-01-01 07:04","0.4","0.0","Yes"
"2018-01-01 07:14","0.4","0","Yes"
"2018-01-01 07:24","0.3","0.0","Yes"
"2018-01-01 07:34","0.6","0","Yes"
"2018-01-01 07:44","0.6","0","Yes"
"2018-01-01 07:54","0.6","0.0","Yes"
"2018-01-01 08:04","0.8","0.1","Yes"
"2018-01-01 08:14","1.4","0.1","Yes"
"2018-01-01 08:24","1.6","0.1","Yes"
"2018-01-01 08:34","1.3","0.0","Yes"
"2018-01-01 08:44","1.3","0.0","Yes"
"2018-01-01 08:54","1.3","0","Yes"
"2018-01-01 09:04","1.0","0","Yes"
"2018-01-01 09:14","0.4","0","Yes"
"2018-01-01 09:24","0.2","0","Yes"
"2018-01-01 09:34","0.2","0","Yes"
"2018-01-01 09:44","0.1","0","No"
"2018-01-01 09:54","0.1","0","Yes"
"2018-01-01 10:04","0.1","0","Yes"
"2018-01-01 10:14","0.1","0","Yes"
"2018-01-01 10:24","0.0","0","Yes"
"2018-01-01 10:34","0.0","0","Yes"
"2018-01-01 10:44","0.0","0","Yes"
"2018-01-01 10:54","0.0","0.0","Yes"
"2018-01-01 11:04","0.1","0.0","Yes"
"2018-01-01 11:14","0.3","0.0","Yes"
