"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:14","16","NW",""
"2018-01-01 00:24","14","NW","18"
"2018-01-01 00:34","16","NW","18"
"2018-01-01 00:44","17","NW","21"
"2018-01-01 00:54","18","NW","21"
"2018-01-01 01:04","17","NW","23"
"2018-01-01 01:14","14","NW","21"
"2018-01-01 01:24","20","NW","23"
"2018-01-01 01:34","21","NW","26"
"2018-01-01 01:44","17","NW","22"
"2018-01-01 01:54","21","NW","24"
"2018-01-01 02:04","19","NW","24"
"2018-01-01 02:14","22","NW","28"
"2018-01-01 02:24","19","NW","25"
"2018-01-01 02:34","15","NW","22"
"2018-01-01 02:44","19","NW","22"
"2018-01-01 02:54","21","NW","24"
"2018-01-01 03:04","19","NW","23"
"2018-01-01 03:14","21","NW","24"
"2018-01-01 03:24","18","NW","24"
"2018-01-01 03:34","18","NW","23"
"2018-01-01 03:44","11","NW","19"
"2018-01-01 03:54","13","NW","18"
"2018-01-01 04:04","9","NW","16"
"2018-01-01 04:14","13","NW","26"
"2018-01-01 04:24","15","WNW","30"
"2018-01-01 04:34","12","WNW","24"
"2018-01-01 04:44","13","WNW","34"
"2018-01-01 04:54","8","W","26"
"2018-01-01 05:04","16","WSW","32"
"2018-01-01 05:14","17","SW","31"
"2018-01-01 05:24","13","SW","27"
"2018-01-01 05:34","11","SW","24"
"2018-01-01 05:44","16","WSW","28"
"2018-01-01 05:54","21","WSW","36"
"2018-01-01 06:04","12","W","32"
"2018-01-01 06:14","27","W","37"
"2018-01-01 06:24","20","W","35"
"2018-01-01 06:34","19","W","35"
"2018-01-01 06:44","24","W","40"
"2018-01-01 06:54","22","WSW","36"
"2018-01-01 07:04","22","W","30"
"2018-01-01 07:14","27","W","38"
"2018-01-01 07:24","26","W","39"
"2018-01-01 07:34","14","WNW","37"
"2018-01-01 07:44","19","W","32"
"2018-01-01 07:54","14","W","32"
"2018-01-01 08:04","17","WNW","30"
"2018-01-01 08:14","17","NW","31"
"2018-01-01 08:24","24","NW","37"
"2018-01-01 08:34","23","NW","36"
"2018-01-01 08:44","28","WNW","41"
"2018-01-01 08:54","26","WNW","39"
"2018-01-01 09:04","22","W","39"
"2018-01-01 09:14","29","W","41"
"2018-01-01 09:24","26","W","41"
"2018-01-01 09:34","25","W","40"
"2018-01-01 09:44","28","WSW","41"
"2018-01-01 09:54","18","SW","37"
"2018-01-01 10:04","24","SW","44"
"2018-01-01 10:14","25","SW","47"
"2018-01-01 10:24","29","SW","45"
"2018-01-01 10:34","34","WSW","48"
"2018-01-01 10:44","23","WSW","45"
"2018-01-01 10:54","28","WSW","40"
