"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:14","4","NNW",""
"2018-03-01 00:24","6","NNW","12"
"2018-03-01 00:34","6","NNW","13"
"2018-03-01 00:44","7","NNW","12"
"2018-03-01 00:54","5","NNW","13"
"2018-03-01 01:04","9","NNW","13"
"2018-03-01 01:14","9","NNW","14"
"2018-03-01 01:24","4","NW","11"
"2018-03-01 01:34","3","NW","15"
"2018-03-01 01:44","10","NW","13"
"2018-03-01 01:54","10","NW","14"
"2018-03-01 02:04","9","NW","19"
"2018-03-01 02:14","4","NW","11"
"2018-03-01 02:24","1","NW","7"
"2018-03-01 02:34","4","NW","8"
"2018-03-01 02:44","4","NW","11"
"2018-03-01 02:54","7","NW","10"
"2018-03-01 03:04","6","NW","13"
"2018-03-01 03:14","6","NW","12"
"2018-03-01 03:24","9","NW","14"
"2018-03-01 03:34","4","NW","9"
"2018-03-01 03:44","6","NW","17"
"2018-03-01 03:54","9","NW","17"
"2018-03-01 04:04","5","NW","16"
"2018-03-01 04:14","7","NW","17"
"2018-03-01 04:24","8","NW","18"
"2018-03-01 04:34","7","NW","17"
"2018-03-01 04:44","8","NW","14"
"2018-03-01 04:54","6","NW","18"
"2018-03-01 05:04","8","NW","15"
"2018-03-01 05:14","8","NW","18"
"2018-03-01 05:24","10","NW","15"
"2018-03-01 05:34","14","NW","21"
"2018-03-01 05:44","12","NW","23"
"2018-03-01 05:54","13","NW","18"
"2018-03-01 06:04","11","NW","21"
"2018-03-01 06:14","15","NW","22"
"2018-03-01 06:24","10","NW","18"
"2018-03-01 06:34","11","NW","20"
"2018-03-01 06:44","12","NW","22"
"2018-03-01 06:54","8","NW","24"
"2018-03-01 07:04","13","NW","22"
"2018-03-01 07:14","10","NW","21"
"2018-03-01 07:24","9","NW","20"
"2018-03-01 08:24","15","NW","24"
"2018-03-01 08:34","21","NW","26"
"2018-03-01 08:44","16","NW","27"
"2018-03-01 08:54","18","NW","27"
"2018-03-01 09:04","18","NW","31"
"2018-03-01 09:14","13","NW","27"
"2018-03-01 09:24","17","NW","25"
"2018-03-01 09:34","17","WNW","26"
"2018-03-01 09:44","22","WNW","28"
