"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:04","10","WSW","13"
"2017-12-01 00:14","9","WSW","14"
"2017-12-01 00:24","9","SW","10"
"2017-12-01 00:34","8","WSW","14"
"2017-12-01 00:44","7","W","11"
"2017-12-01 00:54","5","WSW","10"
"2017-12-01 01:04","7","WSW","9"
"2017-12-01 01:14","9","WSW","12"
"2017-12-01 01:24","8","W","12"
"2017-12-01 01:34","8","WSW","13"
"2017-12-01 01:44","8","WSW","13"
"2017-12-01 01:54","9","WSW","17"
"2017-12-01 02:04","8","WSW","17"
"2017-12-01 02:14","8","W","13"
"2017-12-01 02:24","10","WSW","14"
"2017-12-01 02:34","9","W","13"
"2017-12-01 02:44","9","WSW","12"
"2017-12-01 02:54","8","WSW","12"
"2017-12-01 03:04","7","W","12"
"2017-12-01 03:14","7","WSW","11"
"2017-12-01 03:34","4","WSW","7"
"2017-12-01 03:54","10","W","16"
"2017-12-01 04:14","9","W","15"
"2017-12-01 04:34","5","W","10"
"2017-12-01 04:54","6","W","8"
"2017-12-01 05:14","3","W","5"
"2017-12-01 05:34","6","W","9"
"2017-12-01 05:54","8","W","12"
"2017-12-01 06:14","5","WNW","10"
"2017-12-01 06:34","8","NW","11"
"2017-12-01 06:54","7","WNW","11"
"2017-12-01 07:14","8","WNW","11"
"2017-12-01 07:34","6","WNW","11"
"2017-12-01 07:54","5","WNW","8"
"2017-12-01 08:14","4","WNW","7"
"2017-12-01 08:34","2","W","4"
"2017-12-01 08:54","0","S","1"
"2017-12-01 09:14","0","SE","0"
"2017-12-01 09:34","0","SE","3"
"2017-12-01 09:54","4","SSW","6"
"2017-12-01 10:14","1","SW","9"
"2017-12-01 10:34","7","SW","10"
"2017-12-01 10:54","6","WSW","11"
"2017-12-01 11:14","11","SSW","15"
"2017-12-01 11:34","10","SSW","15"
"2017-12-01 11:54","4","W","14"
"2017-12-01 12:14","10","SW","17"
"2017-12-01 12:34","14","SSW","18"
"2017-12-01 12:54","19","SSW","22"
"2017-12-01 13:14","10","SSW","18"
"2017-12-01 13:34","13","SW","16"
"2017-12-01 13:44","12","SW","19"
"2017-12-01 13:54","11","SW","18"
"2017-12-01 14:04","10","SW","18"
"2017-12-01 14:14","12","S","18"
"2017-12-01 14:24","14","SW","18"
"2017-12-01 14:34","17","SSW","20"
"2017-12-01 14:44","13","S","20"
"2017-12-01 14:54","13","S","21"
"2017-12-01 15:04","14","S","17"
"2017-12-01 15:14","16","SSW","19"
"2017-12-01 15:24","15","SSW","19"
"2017-12-01 15:34","14","SSW","19"
"2017-12-01 15:44","15","SSW","17"
"2017-12-01 15:54","13","SSW","15"
"2017-12-01 16:04","13","SSW","16"
"2017-12-01 16:14","11","SSW","13"
"2017-12-01 16:24","9","SSW","13"
"2017-12-01 16:34","8","SSW","11"
"2017-12-01 16:44","9","SSW","11"
"2017-12-01 16:54","8","SSW","10"
"2017-12-01 17:04","8","SSW","9"
"2017-12-01 17:14","8","SSW","9"
"2017-12-01 17:24","8","SSW","9"
"2017-12-01 17:34","6","SSW","8"
"2017-12-01 17:44","7","S","7"
"2017-12-01 17:54","7","S","8"
"2017-12-01 18:04","7","S","8"
"2017-12-01 18:14","6","S","7"
"2017-12-01 18:24","6","S","7"
"2017-12-01 18:34","4","SSW","5"
"2017-12-01 18:44","4","SSW","5"
"2017-12-01 18:54","5","ESE","6"
"2017-12-01 19:04","4","ESE","6"
"2017-12-01 19:14","2","ESE","4"
"2017-12-01 19:24","0","ESE","3"
"2017-12-01 19:34","2","ESE","3"
"2017-12-01 19:44","3","ESE","3"
"2017-12-01 19:54","4","ESE","5"
"2017-12-01 20:04","5","ESE","5"
"2017-12-01 20:14","5","ESE","6"
"2017-12-01 20:24","3","ESE","6"
"2017-12-01 20:34","4","ESE","5"
"2017-12-01 20:44","3","ESE","5"
"2017-12-01 20:54","6","SE","7"
"2017-12-01 21:04","7","SE","8"
"2017-12-01 21:14","9","SE","10"
"2017-12-01 21:24","9","SE","10"
"2017-12-01 21:34","9","SE","11"
