"Time EST","Air Temp (°C)"
"2018-01-01 00:04","-16.8"
"2018-01-01 00:14","-16.7"
"2018-01-01 00:24","-16.5"
"2018-01-01 00:34","-16.4"
"2018-01-01 00:44","-16.3"
"2018-01-01 00:54","-16.2"
"2018-01-01 01:04","-16.1"
"2018-01-01 01:14","-15.9"
"2018-01-01 01:24","-15.7"
"2018-01-01 01:34","-15.6"
"2018-01-01 01:44","-15.6"
"2018-01-01 01:54","-15.4"
"2018-01-01 02:04","-15.3"
"2018-01-01 02:14","-15.4"
"2018-01-01 02:24","-15.4"
"2018-01-01 02:34","-15.4"
"2018-01-01 02:44","-15.0"
"2018-01-01 02:54","-13.8"
"2018-01-01 03:04","-12.8"
"2018-01-01 03:14","-12.5"
"2018-01-01 03:24","-12.6"
"2018-01-01 03:34","-12.4"
"2018-01-01 03:44","-12.4"
"2018-01-01 03:54","-12.2"
"2018-01-01 04:04","-12.4"
"2018-01-01 04:14","-12.3"
"2018-01-01 04:24","-12.3"
"2018-01-01 04:34","-12.4"
"2018-01-01 04:44","-12.4"
"2018-01-01 04:54","-12.4"
"2018-01-01 05:04","-12.4"
"2018-01-01 05:14","-12.4"
"2018-01-01 05:24","-12.4"
"2018-01-01 05:34","-12.4"
"2018-01-01 05:44","-12.4"
"2018-01-01 05:54","-12.6"
"2018-01-01 06:04","-12.5"
"2018-01-01 06:14","-12.5"
"2018-01-01 06:24","-12.6"
"2018-01-01 06:34","-12.6"
"2018-01-01 06:44","-12.5"
"2018-01-01 06:54","-12.6"
"2018-01-01 07:04","-12.6"
"2018-01-01 07:14","-12.6"
"2018-01-01 07:24","-12.5"
"2018-01-01 07:34","-12.6"
"2018-01-01 07:44","-12.7"
"2018-01-01 07:54","-12.6"
"2018-01-01 08:04","-12.7"
"2018-01-01 08:14","-12.7"
"2018-01-01 08:24","-12.7"
"2018-01-01 08:34","-12.7"
"2018-01-01 08:44","-12.7"
"2018-01-01 08:55","-12.8"
"2018-01-01 09:04","-12.6"
"2018-01-01 09:14","-12.6"
"2018-01-01 09:24","-12.7"
"2018-01-01 09:34","-12.6"
"2018-01-01 09:44","-12.6"
"2018-01-01 09:54","-12.2"
"2018-01-01 10:04","-12.1"
"2018-01-01 10:14","-11.7"
"2018-01-01 10:24","-11.9"
"2018-01-01 10:34","-11.7"
"2018-01-01 10:44","-11.7"
"2018-01-01 10:54","-11.7"
"2018-01-01 11:04","-11.6"
"2018-01-01 11:14","-11.7"
"2018-01-01 11:24","-11.8"
"2018-01-01 11:34","-11.7"
"2018-01-01 11:44","-11.7"
"2018-01-01 11:54","-11.5"
"2018-01-01 12:04","-11.4"
"2018-01-01 12:15","-11.4"
"2018-01-01 12:24","-11.3"
"2018-01-01 12:34","-11.5"
"2018-01-01 12:44","-11.6"
"2018-01-01 12:54","-11.7"
"2018-01-01 13:04","-11.6"
"2018-01-01 13:14","-11.6"
"2018-01-01 13:24","-11.5"
"2018-01-01 13:34","-11.6"
"2018-01-01 13:44","-11.4"
"2018-01-01 13:54","-11.3"
"2018-01-01 14:04","-11.3"
"2018-01-01 14:14","-11.2"
"2018-01-01 14:24","-11.3"
"2018-01-01 14:35","-11.2"
"2018-01-01 14:44","-11.1"
"2018-01-01 14:54","-11.2"
"2018-01-01 15:04","-11.1"
"2018-01-01 15:14","-11.2"
"2018-01-01 15:24","-11.2"
"2018-01-01 15:34","-11.3"
"2018-01-01 15:44","-11.3"
"2018-01-01 15:54","-11.3"
"2018-01-01 16:04","-11.2"
"2018-01-01 16:14","-11.3"
"2018-01-01 16:24","-11.2"
"2018-01-01 16:34","-11.2"
"2018-01-01 16:44","-11.2"
"2018-01-01 16:54","-11.2"
"2018-01-01 17:04","-11.1"
"2018-01-01 17:14","-11.1"
"2018-01-01 17:24","-11.0"
"2018-01-01 17:34","-10.9"
"2018-01-01 17:44","-11.0"
"2018-01-01 17:54","-11.0"
"2018-01-01 18:04","-10.8"
"2018-01-01 18:14","-10.8"
"2018-01-01 18:24","-10.9"
"2018-01-01 18:34","-11.0"
"2018-01-01 18:44","-10.8"
"2018-01-01 18:54","-10.7"
"2018-01-01 19:04","-10.7"
"2018-01-01 19:14","-10.7"
"2018-01-01 19:24","-10.6"
"2018-01-01 19:34","-10.4"
"2018-01-01 19:44","-10.4"
"2018-01-01 19:54","-10.2"
"2018-01-01 20:04","-10.4"
"2018-01-01 20:14","-10.2"
"2018-01-01 20:24","-10.2"
"2018-01-01 20:34","-10.2"
"2018-01-01 20:44","-10.2"
"2018-01-01 20:54","-10.1"
"2018-01-01 21:04","-10.0"
"2018-01-01 21:14","-9.8"
"2018-01-01 21:24","-9.9"
"2018-01-01 21:34","-9.8"
"2018-01-01 21:44","-9.7"
"2018-01-01 21:54","-9.7"
"2018-01-01 22:04","-9.8"
"2018-01-01 22:14","-9.8"
