"Time EST","Pressure (kPa)"
"2018-01-01 00:04","99.10"
"2018-01-01 00:14","99.10"
"2018-01-01 00:24","99.10"
"2018-01-01 00:34","99.10"
"2018-01-01 00:44","99.10"
"2018-01-01 00:54","99.10"
"2018-01-01 01:04","99.10"
"2018-01-01 01:14","99.10"
"2018-01-01 01:24","99.10"
"2018-01-01 01:34","99.06"
"2018-01-01 01:44","99.06"
"2018-01-01 01:54","99.06"
"2018-01-01 02:04","99.06"
"2018-01-01 02:14","99.06"
"2018-01-01 02:24","99.06"
"2018-01-01 02:34","99.06"
"2018-01-01 02:44","99.06"
"2018-01-01 02:54","99.06"
"2018-01-01 03:04","99.03"
"2018-01-01 03:14","99.03"
"2018-01-01 03:24","99.03"
"2018-01-01 03:34","99.03"
"2018-01-01 03:44","98.99"
"2018-01-01 03:54","98.99"
"2018-01-01 04:04","98.99"
"2018-01-01 04:14","98.99"
"2018-01-01 04:24","98.95"
"2018-01-01 04:34","98.95"
"2018-01-01 04:44","98.95"
"2018-01-01 04:54","98.95"
"2018-01-01 05:04","98.95"
"2018-01-01 05:14","98.95"
"2018-01-01 05:24","98.95"
"2018-01-01 05:34","98.95"
"2018-01-01 05:44","98.92"
"2018-01-01 05:54","98.95"
"2018-01-01 06:04","98.95"
"2018-01-01 06:14","98.95"
"2018-01-01 06:24","98.95"
"2018-01-01 06:34","98.95"
"2018-01-01 06:44","98.95"
"2018-01-01 06:54","98.95"
"2018-01-01 07:04","98.95"
"2018-01-01 07:14","98.92"
"2018-01-01 07:24","98.92"
"2018-01-01 07:34","98.95"
"2018-01-01 07:44","98.92"
"2018-01-01 07:54","98.92"
"2018-01-01 08:04","98.92"
"2018-01-01 08:14","98.92"
"2018-01-01 08:24","98.92"
"2018-01-01 08:34","98.92"
"2018-01-01 08:44","98.92"
"2018-01-01 08:55","98.92"
"2018-01-01 09:04","98.92"
"2018-01-01 09:14","98.92"
"2018-01-01 09:24","98.92"
"2018-01-01 09:34","98.92"
"2018-01-01 09:44","98.92"
"2018-01-01 09:54","98.92"
"2018-01-01 10:04","98.92"
"2018-01-01 10:14","98.92"
"2018-01-01 10:24","98.92"
"2018-01-01 10:34","98.92"
"2018-01-01 10:44","98.92"
"2018-01-01 10:54","98.92"
"2018-01-01 11:04","98.92"
"2018-01-01 11:14","98.92"
"2018-01-01 11:24","98.92"
"2018-01-01 11:34","98.88"
"2018-01-01 11:44","98.88"
"2018-01-01 11:54","98.88"
"2018-01-01 12:04","98.88"
"2018-01-01 12:15","98.88"
"2018-01-01 12:24","98.88"
"2018-01-01 12:34","98.88"
"2018-01-01 12:44","98.85"
"2018-01-01 12:54","98.85"
"2018-01-01 13:04","98.88"
"2018-01-01 13:14","98.85"
"2018-01-01 13:24","98.88"
"2018-01-01 13:34","98.88"
"2018-01-01 13:44","98.88"
"2018-01-01 13:54","98.88"
"2018-01-01 14:04","98.85"
"2018-01-01 14:14","98.88"
"2018-01-01 14:24","98.88"
"2018-01-01 14:35","98.88"
