"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:04","14","S","18"
"2017-11-01 00:14","14","S","19"
"2017-11-01 00:24","13","S","17"
"2017-11-01 00:34","13","SSE","19"
"2017-11-01 00:44","11","S","18"
"2017-11-01 00:54","10","SSE","18"
"2017-11-01 01:05","12","SSE","15"
"2017-11-01 01:14","11","S","16"
"2017-11-01 01:24","13","S","17"
"2017-11-01 01:34","12","SSE","16"
"2017-11-01 01:44","11","S","16"
"2017-11-01 01:54","8","S","14"
"2017-11-01 02:04","8","S","12"
"2017-11-01 02:14","7","SSE","12"
"2017-11-01 02:24","7","SSE","9"
"2017-11-01 02:34","6","SSE","9"
"2017-11-01 02:44","10","S","13"
"2017-11-01 02:54","12","SSE","15"
"2017-11-01 03:04","10","SSE","15"
"2017-11-01 03:14","10","SSE","14"
"2017-11-01 03:24","9","SSE","15"
"2017-11-01 03:34","12","SSE","15"
"2017-11-01 03:44","13","SSE","15"
"2017-11-01 03:54","12","SSE","16"
"2017-11-01 04:04","10","SSE","17"
"2017-11-01 04:14","8","SE","13"
"2017-11-01 04:24","10","SSE","13"
"2017-11-01 04:34","13","SSE","16"
"2017-11-01 04:44","13","SSE","17"
"2017-11-01 04:54","12","SSE","17"
"2017-11-01 05:04","14","SSE","16"
"2017-11-01 05:14","14","SSE","17"
"2017-11-01 05:24","13","SSE","18"
"2017-11-01 05:34","14","SSE","18"
"2017-11-01 05:44","12","SSE","18"
"2017-11-01 05:54","12","SSE","16"
"2017-11-01 06:04","12","SSE","17"
"2017-11-01 06:14","10","SSE","16"
"2017-11-01 06:24","12","SSE","18"
"2017-11-01 06:34","12","SE","16"
"2017-11-01 06:44","12","SSE","17"
"2017-11-01 06:54","10","SE","15"
"2017-11-01 07:04","11","SSE","14"
"2017-11-01 07:14","12","SE","14"
"2017-11-01 07:24","12","SSE","16"
"2017-11-01 07:34","9","SE","13"
"2017-11-01 07:44","8","SE","11"
"2017-11-01 07:54","5","S","7"
"2017-11-01 08:04","6","S","7"
"2017-11-01 08:14","4","S","5"
"2017-11-01 08:24","4","S","5"
"2017-11-01 08:34","8","SE","8"
"2017-11-01 08:44","7","ESE","8"
"2017-11-01 08:54","7","ESE","9"
"2017-11-01 09:04","8","ESE","10"
"2017-11-01 09:14","6","ESE","9"
"2017-11-01 09:24","8","ESE","10"
"2017-11-01 09:34","10","ESE","13"
"2017-11-01 09:44","8","ESE","13"
"2017-11-01 09:54","8","E","14"
"2017-11-01 10:04","10","E","14"
"2017-11-01 10:14","12","E","16"
"2017-11-01 10:24","13","ESE","18"
"2017-11-01 10:34","9","E","15"
"2017-11-01 10:44","11","E","13"
"2017-11-01 10:54","15","ESE","21"
"2017-11-01 11:04","13","ESE","20"
"2017-11-01 11:14","8","E","18"
"2017-11-01 11:24","11","E","15"
"2017-11-01 11:34","13","E","20"
"2017-11-01 11:44","13","E","16"
"2017-11-01 11:54","8","E","17"
"2017-11-01 12:04","10","E","13"
"2017-11-01 12:14","12","E","15"
"2017-11-01 12:24","13","E","19"
"2017-11-01 12:34","7","E","15"
"2017-11-01 12:44","12","ESE","14"
"2017-11-01 12:54","12","ESE","16"
"2017-11-01 13:04","11","E","15"
"2017-11-01 13:14","12","E","18"
"2017-11-01 13:24","9","E","16"
"2017-11-01 13:34","11","E","14"
"2017-11-01 13:44","12","E","15"
"2017-11-01 13:54","10","ESE","18"
"2017-11-01 14:04","14","SE","18"
"2017-11-01 14:14","12","SSE","18"
"2017-11-01 14:24","9","SSE","16"
"2017-11-01 14:34","11","SE","16"
"2017-11-01 14:44","11","ESE","13"
"2017-11-01 14:54","10","SE","17"
"2017-11-01 15:04","11","ESE","15"
"2017-11-01 15:14","8","ESE","15"
"2017-11-01 15:24","12","ESE","14"
"2017-11-01 15:34","8","E","14"
"2017-11-01 15:44","10","ESE","16"
"2017-11-01 15:54","11","E","17"
"2017-11-01 16:04","13","E","17"
"2017-11-01 16:14","12","ESE","16"
"2017-11-01 16:24","9","E","15"
"2017-11-01 16:34","9","ESE","18"
"2017-11-01 16:44","10","ESE","13"
"2017-11-01 16:54","9","E","14"
"2017-11-01 17:04","9","E","14"
"2017-11-01 17:14","10","E","14"
"2017-11-01 17:24","8","ENE","14"
"2017-11-01 17:34","7","ENE","10"
"2017-11-01 17:44","5","NE","10"
"2017-11-01 17:54","10","NE","14"
"2017-11-01 18:04","8","ENE","12"
"2017-11-01 18:14","9","ENE","13"
"2017-11-01 18:24","13","ENE","17"
"2017-11-01 18:34","10","ENE","16"
"2017-11-01 18:44","13","ENE","16"
"2017-11-01 18:54","10","ENE","14"
"2017-11-01 19:04","13","ENE","20"
"2017-11-01 19:14","10","NE","18"
"2017-11-01 19:24","12","ENE","19"
"2017-11-01 19:34","11","ENE","15"
"2017-11-01 19:44","11","ENE","18"
"2017-11-01 19:54","14","E","19"
"2017-11-01 20:04","15","E","22"
"2017-11-01 20:14","17","E","23"
"2017-11-01 20:24","15","ENE","23"
"2017-11-01 20:34","15","E","23"
"2017-11-01 20:44","14","E","21"
"2017-11-01 20:54","16","E","20"
"2017-11-01 21:04","12","ENE","19"
"2017-11-01 21:14","12","ENE","18"
"2017-11-01 21:24","12","ENE","17"
"2017-11-01 21:34","13","ENE","18"
"2017-11-01 21:44","10","ENE","17"
