"Time EST","Pressure (kPa)"
"2017-12-01 00:04","96.59"
"2017-12-01 00:14","96.62"
"2017-12-01 00:24","96.62"
"2017-12-01 00:34","96.62"
"2017-12-01 00:44","96.63"
"2017-12-01 00:54","96.65"
"2017-12-01 01:04","96.65"
"2017-12-01 01:14","96.66"
"2017-12-01 01:24","96.66"
"2017-12-01 01:34","96.68"
"2017-12-01 01:44","96.70"
"2017-12-01 01:54","96.72"
"2017-12-01 02:04","96.73"
"2017-12-01 02:14","96.76"
"2017-12-01 02:24","96.76"
"2017-12-01 02:34","96.78"
"2017-12-01 02:44","96.78"
"2017-12-01 02:54","96.80"
"2017-12-01 03:04","96.81"
"2017-12-01 03:14","96.80"
"2017-12-01 03:34","96.82"
"2017-12-01 03:54","96.84"
"2017-12-01 04:14","96.86"
"2017-12-01 04:34","96.88"
"2017-12-01 04:54","96.90"
"2017-12-01 05:14","96.92"
"2017-12-01 05:34","96.94"
"2017-12-01 05:54","96.98"
"2017-12-01 06:14","97.00"
"2017-12-01 06:34","97.03"
"2017-12-01 06:54","97.04"
"2017-12-01 07:14","97.07"
"2017-12-01 07:34","97.09"
"2017-12-01 07:54","97.09"
"2017-12-01 08:14","97.12"
"2017-12-01 08:34","97.14"
"2017-12-01 08:54","97.15"
"2017-12-01 09:14","97.16"
"2017-12-01 09:34","97.15"
"2017-12-01 09:54","97.18"
"2017-12-01 10:14","97.22"
"2017-12-01 10:34","97.25"
"2017-12-01 10:54","97.24"
"2017-12-01 11:14","97.24"
"2017-12-01 11:34","97.21"
"2017-12-01 11:54","97.19"
"2017-12-01 12:14","97.19"
"2017-12-01 12:34","97.16"
"2017-12-01 12:54","97.16"
"2017-12-01 13:14","97.17"
"2017-12-01 13:34","97.17"
"2017-12-01 13:44","97.16"
"2017-12-01 13:54","97.17"
"2017-12-01 14:04","97.17"
"2017-12-01 14:14","97.15"
"2017-12-01 14:24","97.16"
"2017-12-01 14:34","97.15"
"2017-12-01 14:44","97.15"
"2017-12-01 14:54","97.14"
"2017-12-01 15:04","97.13"
"2017-12-01 15:14","97.14"
