"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:04","-14.9","32"
"2018-02-01 00:14","-14.8","32"
"2018-02-01 00:24","-14.7","32"
"2018-02-01 00:34","-14.7","32"
"2018-02-01 00:44","-14.6","32"
"2018-02-01 00:54","-14.6","33"
"2018-02-01 01:04","-14.5","33"
"2018-02-01 01:14","-14.4","33"
"2018-02-01 01:24","-14.4","33"
"2018-02-01 01:34","-14.3","34"
"2018-02-01 01:44","-14.2","34"
"2018-02-01 01:54","-14.1","34"
"2018-02-01 02:04","-14.1","34"
"2018-02-01 02:14","-14.0","34"
"2018-02-01 02:24","-14.0","34"
"2018-02-01 02:34","-14.0","34"
"2018-02-01 02:44","-13.9","35"
"2018-02-01 02:54","-13.9","35"
"2018-02-01 03:04","-13.8","35"
"2018-02-01 03:14","-13.9","35"
"2018-02-01 03:24","-13.8","35"
"2018-02-01 03:34","-13.8","35"
"2018-02-01 03:44","-13.6","36"
"2018-02-01 03:54","-13.7","36"
"2018-02-01 04:04","-13.6","36"
"2018-02-01 04:14","-13.6","36"
"2018-02-01 04:24","-13.6","36"
"2018-02-01 04:34","-13.7","36"
"2018-02-01 04:44","-13.7","36"
"2018-02-01 04:54","-13.6","36"
"2018-02-01 05:04","-13.7","36"
"2018-02-01 05:14","-13.7","36"
"2018-02-01 05:24","-13.7","36"
"2018-02-01 05:34","-13.8","35"
"2018-02-01 05:44","-13.8","35"
"2018-02-01 05:54","-13.8","36"
"2018-02-01 06:04","-13.8","35"
"2018-02-01 06:14","-13.7","36"
"2018-02-01 06:24","-13.7","36"
"2018-02-01 06:34","-13.8","36"
"2018-02-01 06:44","-13.8","35"
"2018-02-01 06:54","-13.7","36"
"2018-02-01 07:04","-13.7","36"
"2018-02-01 07:14","-13.7","36"
"2018-02-01 07:24","-13.7","36"
"2018-02-01 07:34","-13.7","35"
"2018-02-01 07:44","-13.8","35"
"2018-02-01 07:54","-13.8","35"
"2018-02-01 08:04","-13.8","35"
"2018-02-01 08:14","-13.8","35"
"2018-02-01 08:24","-13.8","35"
"2018-02-01 08:34","-13.7","35"
"2018-02-01 08:44","-13.8","35"
"2018-02-01 08:54","-13.8","35"
"2018-02-01 09:04","-13.8","35"
"2018-02-01 09:14","-13.8","35"
"2018-02-01 09:24","-13.9","34"
"2018-02-01 09:34","-14.0","34"
"2018-02-01 09:44","-14.2","33"
"2018-02-01 09:54","-14.3","33"
"2018-02-01 10:04","-14.4","32"
"2018-02-01 10:14","-14.5","32"
"2018-02-01 10:24","-14.5","32"
"2018-02-01 10:34","-14.4","32"
"2018-02-01 10:44","-14.5","32"
"2018-02-01 10:54","-14.4","32"
"2018-02-01 11:04","-14.7","32"
"2018-02-01 11:14","-14.8","32"
"2018-02-01 11:24","-15.3","30"
"2018-02-01 11:34","-15.7","29"
"2018-02-01 11:44","-16.4","28"
"2018-02-01 11:54","-16.4","28"
"2018-02-01 12:04","-14.6","33"
"2018-02-01 12:14","-14.6","34"
"2018-02-01 12:24","-14.8","35"
"2018-02-01 12:34","-14.9","35"
"2018-02-01 12:44","-14.8","36"
"2018-02-01 12:54","-15.0","36"
"2018-02-01 13:04","-15.1","36"
"2018-02-01 13:14","-15.6","35"
"2018-02-01 13:24","-15.6","35"
"2018-02-01 13:34","-16.3","34"
"2018-02-01 13:44","-16.3","33"
"2018-02-01 13:54","-16.4","33"
"2018-02-01 14:04","-16.2","34"
"2018-02-01 14:14","-16.4","34"
"2018-02-01 14:24","-16.2","34"
"2018-02-01 14:34","-16.0","35"
"2018-02-01 14:44","-16.3","34"
"2018-02-01 14:54","-16.7","33"
"2018-02-01 15:04","-17.2","32"
"2018-02-01 15:14","-16.7","33"
"2018-02-01 15:24","-16.5","34"
"2018-02-01 15:34","-16.0","36"
"2018-02-01 15:44","-16.2","36"
"2018-02-01 15:54","-16.1","36"
"2018-02-01 16:04","-16.3","36"
"2018-02-01 16:14","-16.5","36"
"2018-02-01 16:24","-16.7","35"
"2018-02-01 16:34","-16.7","35"
"2018-02-01 16:44","-17.0","35"
"2018-02-01 16:54","-17.2","34"
"2018-02-01 17:04","-17.3","34"
"2018-02-01 17:14","-17.5","34"
"2018-02-01 17:24","-18.5","31"
"2018-02-01 17:34","-19.0","30"
"2018-02-01 17:44","-18.9","30"
"2018-02-01 17:54","-18.9","30"
"2018-02-01 18:04","-18.7","31"
"2018-02-01 18:14","-18.7","31"
"2018-02-01 18:24","-18.4","32"
"2018-02-01 18:34","-18.0","33"
"2018-02-01 18:44","-17.9","33"
"2018-02-01 18:54","-18.0","33"
"2018-02-01 19:04","-18.2","33"
"2018-02-01 19:14","-18.5","32"
"2018-02-01 19:24","-18.9","31"
"2018-02-01 19:34","-19.8","28"
"2018-02-01 19:44","-20.5","27"
"2018-02-01 19:54","-19.8","29"
"2018-02-01 20:04","-19.1","31"
"2018-02-01 20:14","-18.5","32"
"2018-02-01 20:24","-18.1","34"
"2018-02-01 20:34","-17.9","34"
"2018-02-01 20:44","-17.7","35"
"2018-02-01 20:54","-17.5","35"
"2018-02-01 21:04","-17.4","36"
"2018-02-01 21:14","-17.6","35"
"2018-02-01 21:24","-17.8","34"
"2018-02-01 21:34","-18.1","34"
"2018-02-01 21:44","-17.9","34"
"2018-02-01 21:54","-17.9","34"
"2018-02-01 22:04","-17.9","35"
"2018-02-01 22:14","-17.8","35"
"2018-02-01 22:24","-17.7","35"
"2018-02-01 22:34","-17.8","35"
"2018-02-01 22:44","-17.8","35"
"2018-02-01 22:54","-17.9","34"
"2018-02-01 23:04","-18.2","34"
"2018-02-01 23:14","-18.4","33"
"2018-02-01 23:24","-18.5","33"
"2018-02-01 23:34","-18.4","33"
"2018-02-01 23:44","-18.4","33"
"2018-02-01 23:54","-18.3","34"
"2018-02-02 00:14","-18.1","34"
"2018-02-02 00:24","-18.0","35"
"2018-02-02 00:34","-17.9","35"
"2018-02-02 00:44","-17.7","35"
"2018-02-02 00:54","-17.6","35"
"2018-02-02 01:04","-17.5","36"
"2018-02-02 01:14","-17.2","36"
"2018-02-02 01:24","-17.5","36"
"2018-02-02 01:34","-17.6","36"
"2018-02-02 01:44","-17.7","36"
"2018-02-02 01:54","-17.7","36"
"2018-02-02 02:04","-17.8","36"
"2018-02-02 02:14","-17.9","35"
"2018-02-02 02:24","-18.3","35"
"2018-02-02 02:34","-18.3","35"
"2018-02-02 02:44","-18.6","34"
"2018-02-02 02:54","-18.8","34"
"2018-02-02 03:04","-18.9","34"
"2018-02-02 03:14","-18.9","34"
"2018-02-02 03:24","-19.0","34"
"2018-02-02 03:34","-19.0","34"
"2018-02-02 03:44","-19.2","34"
"2018-02-02 03:54","-19.3","34"
"2018-02-02 04:04","-19.5","34"
"2018-02-02 04:14","-19.6","34"
"2018-02-02 04:24","-19.8","33"
"2018-02-02 04:34","-20.0","33"
"2018-02-02 04:44","-20.1","33"
"2018-02-02 04:54","-20.2","33"
"2018-02-02 05:04","-20.2","33"
"2018-02-02 05:14","-20.3","33"
"2018-02-02 05:24","-20.4","33"
"2018-02-02 05:34","-20.5","33"
"2018-02-02 05:44","-20.7","33"
"2018-02-02 05:54","-20.7","33"
"2018-02-02 06:04","-20.6","34"
"2018-02-02 06:14","-20.6","33"
"2018-02-02 06:24","-20.7","33"
"2018-02-02 06:34","-20.8","33"
"2018-02-02 06:44","-20.9","33"
"2018-02-02 06:54","-20.8","33"
"2018-02-02 07:04","-20.9","33"
"2018-02-02 07:14","-20.8","33"
"2018-02-02 07:24","-21.1","32"
"2018-02-02 07:34","-20.9","33"
"2018-02-02 07:44","-20.7","33"
"2018-02-02 07:54","-20.8","33"
"2018-02-02 08:04","-21.2","32"
"2018-02-02 08:14","-21.0","32"
"2018-02-02 08:24","-20.8","32"
"2018-02-02 08:34","-20.9","32"
"2018-02-02 08:44","-21.1","31"
"2018-02-02 08:54","-21.2","30"
"2018-02-02 09:04","-21.1","30"
"2018-02-02 09:14","-21.3","30"
"2018-02-02 09:24","-21.1","30"
"2018-02-02 09:34","-21.4","29"
"2018-02-02 09:44","-21.3","29"
"2018-02-02 09:54","-21.4","29"
"2018-02-02 10:04","-21.1","30"
"2018-02-02 10:14","-21.2","29"
"2018-02-02 10:24","-21.4","29"
"2018-02-02 10:34","-21.3","29"
"2018-02-02 10:44","-21.3","28"
