"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:04","6","W","10"
"2018-02-01 00:14","5","W","9"
"2018-02-01 00:24","6","W","10"
"2018-02-01 00:34","8","W","13"
"2018-02-01 00:44","5","W","9"
"2018-02-01 00:54","8","W","10"
"2018-02-01 01:04","8","W","11"
"2018-02-01 01:14","8","W","10"
"2018-02-01 01:24","6","WSW","9"
"2018-02-01 01:34","0","W","0"
"2018-02-01 01:44","3","W","8"
"2018-02-01 01:54","5","W","9"
"2018-02-01 02:04","4","W","9"
"2018-02-01 02:14","5","W","10"
"2018-02-01 02:24","4","W","7"
"2018-02-01 02:34","4","W","9"
"2018-02-01 02:44","7","W","12"
"2018-02-01 02:54","7","W","10"
"2018-02-01 03:04","9","W","13"
"2018-02-01 03:14","5","WSW","10"
"2018-02-01 03:24","8","WSW","13"
"2018-02-01 03:34","8","WSW","12"
"2018-02-01 03:44","13","WSW","17"
"2018-02-01 03:54","8","WSW","12"
"2018-02-01 04:04","7","WSW","12"
"2018-02-01 04:14","10","WSW","15"
"2018-02-01 04:24","9","WSW","15"
"2018-02-01 04:34","10","WSW","15"
"2018-02-01 04:44","11","WSW","14"
"2018-02-01 04:54","12","WSW","15"
"2018-02-01 05:04","8","WSW","15"
"2018-02-01 05:14","8","WSW","17"
"2018-02-01 05:24","14","W","18"
"2018-02-01 05:34","10","W","14"
"2018-02-01 05:44","7","WSW","12"
"2018-02-01 05:54","6","WSW","10"
"2018-02-01 06:04","4","WSW","11"
"2018-02-01 06:14","8","WSW","13"
"2018-02-01 06:24","6","WSW","13"
"2018-02-01 06:34","12","WSW","17"
"2018-02-01 06:44","11","WSW","17"
"2018-02-01 06:54","8","WSW","20"
"2018-02-01 07:04","14","WSW","17"
"2018-02-01 07:14","16","WSW","21"
"2018-02-01 07:24","12","WSW","20"
"2018-02-01 07:34","11","SW","19"
"2018-02-01 07:44","14","WSW","24"
"2018-02-01 07:54","10","WSW","17"
"2018-02-01 08:04","12","WSW","16"
"2018-02-01 08:14","9","WSW","17"
"2018-02-01 08:24","10","WSW","18"
"2018-02-01 08:34","13","WSW","20"
"2018-02-01 08:44","15","SW","23"
"2018-02-01 08:54","14","WSW","23"
"2018-02-01 09:04","18","WSW","27"
"2018-02-01 09:14","17","WSW","26"
