"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:04","-23.8","31"
"2018-01-01 00:14","-23.8","31"
"2018-01-01 00:24","-23.4","31"
"2018-01-01 00:34","-23.6","31"
"2018-01-01 00:44","-23.4","31"
"2018-01-01 00:54","-22.9","32"
"2018-01-01 01:04","-23.0","32"
"2018-01-01 01:14","-22.6","32"
"2018-01-01 01:24","-22.4","33"
"2018-01-01 01:34","-22.8","32"
"2018-01-01 01:44","-22.7","32"
"2018-01-01 01:54","-22.3","33"
"2018-01-01 02:04","-23.0","31"
"2018-01-01 02:14","-22.4","32"
"2018-01-01 02:24","-22.4","32"
"2018-01-01 02:34","-22.2","33"
"2018-01-01 02:44","-22.1","33"
"2018-01-01 02:54","-21.7","33"
"2018-01-01 03:04","-21.5","33"
"2018-01-01 03:14","-21.1","34"
"2018-01-01 03:24","-20.8","34"
"2018-01-01 03:34","-20.5","34"
"2018-01-01 03:44","-20.5","34"
"2018-01-01 03:54","-20.3","35"
"2018-01-01 04:04","-20.1","35"
"2018-01-01 04:14","-20.1","35"
"2018-01-01 04:24","-19.9","35"
"2018-01-01 04:34","-19.9","35"
"2018-01-01 04:44","-19.7","35"
"2018-01-01 04:54","-19.5","35"
"2018-01-01 05:04","-19.5","35"
"2018-01-01 05:14","-19.6","35"
"2018-01-01 05:24","-19.6","35"
"2018-01-01 05:34","-19.6","35"
"2018-01-01 05:44","-19.6","35"
"2018-01-01 05:54","-19.6","35"
"2018-01-01 06:04","-19.5","35"
"2018-01-01 06:14","-19.4","35"
"2018-01-01 06:24","-19.5","35"
"2018-01-01 06:34","-19.2","36"
"2018-01-01 06:44","-19.4","35"
"2018-01-01 06:54","-19.2","36"
"2018-01-01 07:04","-19.0","36"
"2018-01-01 07:14","-19.0","36"
"2018-01-01 07:24","-18.6","36"
"2018-01-01 07:34","-18.4","37"
"2018-01-01 07:44","-18.3","37"
"2018-01-01 07:54","-18.2","37"
"2018-01-01 08:04","-18.1","37"
"2018-01-01 08:14","-18.1","37"
"2018-01-01 08:24","-18.1","37"
"2018-01-01 08:34","-18.0","37"
"2018-01-01 08:44","-18.0","37"
"2018-01-01 08:54","-17.8","37"
"2018-01-01 09:04","-17.6","37"
"2018-01-01 09:14","-17.6","37"
"2018-01-01 09:24","-17.5","37"
"2018-01-01 09:34","-17.5","37"
"2018-01-01 09:44","-17.4","37"
"2018-01-01 09:54","-17.4","38"
"2018-01-01 10:04","-17.4","37"
"2018-01-01 10:14","-17.3","37"
"2018-01-01 10:24","-17.3","37"
"2018-01-01 10:34","-17.2","37"
"2018-01-01 10:44","-17.1","37"
"2018-01-01 10:54","-17.1","38"
"2018-01-01 11:04","-17.1","37"
"2018-01-01 11:14","-17.1","37"
"2018-01-01 11:24","-16.9","37"
