"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:04","0","WSW","0"
"2018-01-01 00:14","0","W","0"
"2018-01-01 00:24","0","WSW","0"
"2018-01-01 00:34","0","WSW","0"
"2018-01-01 00:44","0","WSW","0"
"2018-01-01 00:54","0","WSW","0"
"2018-01-01 01:04","0","SW","0"
"2018-01-01 01:14","0","SW","0"
"2018-01-01 01:24","0","SW","0"
"2018-01-01 01:34","0","SW","0"
"2018-01-01 01:44","0","SW","0"
"2018-01-01 01:54","0","SW","0"
"2018-01-01 02:04","0","SW","0"
"2018-01-01 02:14","0","SW","0"
"2018-01-01 02:24","0","SW","0"
"2018-01-01 02:34","0","SW","0"
"2018-01-01 02:44","0","SW","0"
"2018-01-01 02:54","0","SW","0"
"2018-01-01 03:04","0","SW","0"
"2018-01-01 03:14","0","SSW","0"
"2018-01-01 03:24","0","SW","0"
"2018-01-01 03:34","0","SSW","0"
"2018-01-01 03:44","0","SSW","0"
"2018-01-01 03:54","0","SSW","0"
"2018-01-01 04:04","0","SSW","0"
"2018-01-01 04:14","0","SSW","0"
"2018-01-01 04:24","0","SSW","0"
"2018-01-01 04:34","0","SSW","0"
"2018-01-01 04:44","0","SW","0"
"2018-01-01 04:54","0","WSW","0"
"2018-01-01 05:04","0","WSW","0"
"2018-01-01 05:14","0","WSW","0"
"2018-01-01 05:24","0","WSW","0"
"2018-01-01 05:34","0","WSW","0"
"2018-01-01 05:44","0","WSW","0"
"2018-01-01 05:54","0","WSW","0"
"2018-01-01 06:04","0","WSW","0"
"2018-01-01 06:14","0","WSW","0"
"2018-01-01 06:24","0","WSW","0"
"2018-01-01 06:34","0","WSW","0"
"2018-01-01 06:44","0","WSW","0"
"2018-01-01 06:54","0","WSW","0"
"2018-01-01 07:04","0","WSW","0"
"2018-01-01 07:14","0","WSW","0"
"2018-01-01 07:24","0","W","0"
"2018-01-01 07:34","0","W","0"
"2018-01-01 07:44","0","W","0"
"2018-01-01 07:54","0","W","0"
"2018-01-01 08:04","0","W","0"
"2018-01-01 08:14","0","W","0"
"2018-01-01 08:24","0","W","0"
"2018-01-01 08:34","0","W","0"
"2018-01-01 08:44","0","W","0"
"2018-01-01 08:54","0","WNW","0"
"2018-01-01 09:04","0","WNW","0"
"2018-01-01 09:14","0","WNW","0"
"2018-01-01 09:24","0","W","0"
"2018-01-01 09:34","0","W","0"
"2018-01-01 09:44","0","W","0"
"2018-01-01 09:54","0","W","0"
"2018-01-01 10:04","0","W","0"
"2018-01-01 10:14","0","W","0"
"2018-01-01 10:24","0","W","0"
"2018-01-01 10:34","0","W","0"
"2018-01-01 10:44","0","W","0"
"2018-01-01 10:54","0","W","0"
"2018-01-01 11:04","0","W","0"
"2018-01-01 11:14","0","W","0"
"2018-01-01 11:24","0","WNW","0"
"2018-01-01 11:34","0","WNW","0"
"2018-01-01 11:44","0","NW","0"
"2018-01-01 11:54","0","NW","0"
"2018-01-01 12:04","0","NW","0"
"2018-01-01 12:15","0","NW","0"
"2018-01-01 12:24","0","NW","0"
"2018-01-01 12:34","0","NW","0"
"2018-01-01 12:44","0","NW","0"
"2018-01-01 12:54","0","WNW","0"
"2018-01-01 13:04","0","NW","0"
"2018-01-01 13:14","0","NNE","0"
"2018-01-01 13:24","0","N","0"
"2018-01-01 13:34","0","N","0"
"2018-01-01 13:44","0","NNW","0"
"2018-01-01 13:54","0","NNW","0"
"2018-01-01 14:04","0","NNW","0"
"2018-01-01 14:14","0","NNW","0"
"2018-01-01 14:24","0","N","0"
"2018-01-01 14:34","0","N","0"
"2018-01-01 14:44","0","N","0"
"2018-01-01 14:54","0","N","0"
"2018-01-01 15:04","0","N","0"
"2018-01-01 15:14","0","NNW","0"
"2018-01-01 15:24","0","NNW","0"
"2018-01-01 15:34","0","NNW","0"
"2018-01-01 15:44","0","NNW","0"
"2018-01-01 15:54","0","NNW","0"
"2018-01-01 16:04","0","NNW","0"
