"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:04","-14.3","32"
"2018-03-01 00:14","-14.2","33"
"2018-03-01 00:24","-14.0","33"
"2018-03-01 00:34","-13.9","33"
"2018-03-01 00:44","-14.0","33"
"2018-03-01 00:54","-14.0","33"
"2018-03-01 01:04","-13.9","33"
"2018-03-01 01:14","-13.8","34"
"2018-03-01 01:24","-13.8","34"
"2018-03-01 01:34","-13.6","35"
"2018-03-01 01:44","-13.3","36"
"2018-03-01 01:54","-13.1","36"
"2018-03-01 02:04","-13.2","36"
"2018-03-01 02:14","-13.2","36"
"2018-03-01 02:24","-12.9","37"
"2018-03-01 02:34","-12.9","37"
"2018-03-01 02:44","-12.9","37"
"2018-03-01 02:54","-12.9","37"
"2018-03-01 03:04","-12.9","37"
"2018-03-01 03:14","-12.9","37"
"2018-03-01 03:24","-12.9","37"
"2018-03-01 03:34","-12.9","37"
"2018-03-01 03:44","-13.0","37"
"2018-03-01 03:54","-13.0","37"
"2018-03-01 04:04","-13.0","37"
"2018-03-01 04:14","-13.2","36"
"2018-03-01 04:24","-13.4","36"
"2018-03-01 04:34","-13.7","35"
"2018-03-01 04:44","-14.1","34"
"2018-03-01 04:54","-14.2","33"
"2018-03-01 05:04","-14.3","33"
"2018-03-01 05:14","-14.4","33"
"2018-03-01 05:24","-14.5","33"
"2018-03-01 05:34","-14.5","33"
"2018-03-01 05:44","-14.5","32"
"2018-03-01 05:54","-14.5","32"
"2018-03-01 06:04","-14.7","32"
"2018-03-01 06:14","-14.7","32"
"2018-03-01 06:24","-14.8","32"
"2018-03-01 06:34","-14.7","32"
"2018-03-01 06:44","-14.7","32"
"2018-03-01 06:54","-14.8","32"
"2018-03-01 07:04","-14.6","32"
"2018-03-01 07:14","-14.8","32"
"2018-03-01 07:24","-14.9","31"
"2018-03-01 08:24","-15.5","30"
"2018-03-01 08:34","-15.4","30"
"2018-03-01 08:44","-15.4","30"
"2018-03-01 08:54","-15.8","29"
"2018-03-01 09:04","-15.6","29"
"2018-03-01 09:14","-15.7","29"
"2018-03-01 09:24","-16.1","28"
"2018-03-01 09:34","-16.5","27"
"2018-03-01 09:44","-16.3","28"
"2018-03-01 09:54","-16.3","27"
"2018-03-01 10:04","-16.6","27"
"2018-03-01 10:14","-16.5","27"
"2018-03-01 10:24","-16.8","26"
"2018-03-01 10:34","-17.4","25"
"2018-03-01 10:44","-17.4","25"
"2018-03-01 10:54","-17.3","25"
"2018-03-01 11:04","-17.3","25"
"2018-03-01 11:14","-17.6","24"
"2018-03-01 11:24","-17.1","25"
"2018-03-01 11:34","-17.7","24"
"2018-03-01 11:44","-17.8","24"
"2018-03-01 11:54","-17.4","24"
"2018-03-01 12:04","-17.4","25"
"2018-03-01 12:14","-17.1","25"
"2018-03-01 12:24","-17.3","25"
"2018-03-01 12:34","-16.9","25"
"2018-03-01 12:44","-17.3","25"
"2018-03-01 12:54","-17.4","25"
"2018-03-01 13:04","-17.6","24"
"2018-03-01 13:14","-17.6","24"
"2018-03-01 13:24","-17.6","24"
"2018-03-01 13:34","-17.7","24"
"2018-03-01 13:44","-17.3","24"
"2018-03-01 13:54","-17.0","25"
"2018-03-01 14:04","-17.3","25"
"2018-03-01 14:14","-17.2","25"
"2018-03-01 14:24","-17.3","25"
"2018-03-01 14:34","-17.7","24"
"2018-03-01 14:44","-17.8","24"
"2018-03-01 14:54","-17.5","24"
"2018-03-01 15:04","-17.9","23"
"2018-03-01 15:14","-17.7","24"
"2018-03-01 15:24","-18.7","22"
"2018-03-01 15:34","-19.0","21"
"2018-03-01 15:44","-18.8","22"
"2018-03-01 15:54","-18.7","22"
"2018-03-01 16:04","-19.0","21"
"2018-03-01 16:14","-19.1","21"
"2018-03-01 16:24","-19.5","20"
"2018-03-01 16:34","-19.8","20"
"2018-03-01 16:44","-19.8","20"
"2018-03-01 16:54","-20.2","19"
"2018-03-01 17:04","-20.5","19"
"2018-03-01 17:14","-21.0","18"
"2018-03-01 17:24","-21.2","17"
"2018-03-01 17:34","-20.7","18"
"2018-03-01 17:44","-20.4","19"
"2018-03-01 17:54","-20.9","18"
"2018-03-01 18:04","-20.5","19"
"2018-03-01 18:14","-20.1","19"
"2018-03-01 18:24","-20.2","19"
"2018-03-01 18:34","-20.2","19"
"2018-03-01 18:44","-20.0","19"
"2018-03-01 18:54","-20.1","19"
"2018-03-01 19:04","-20.0","20"
"2018-03-01 19:14","-20.5","19"
"2018-03-01 19:24","-20.6","19"
"2018-03-01 19:34","-20.1","19"
"2018-03-01 19:44","-20.6","19"
"2018-03-01 19:54","-20.5","19"
"2018-03-01 20:04","-20.6","19"
"2018-03-01 20:14","-20.7","18"
"2018-03-01 20:24","-20.3","19"
"2018-03-01 20:34","-19.8","20"
"2018-03-01 20:44","-19.4","21"
"2018-03-01 20:54","-19.3","21"
"2018-03-01 21:04","-19.7","20"
"2018-03-01 21:14","-19.6","20"
"2018-03-01 21:24","-20.1","20"
"2018-03-01 21:34","-20.1","20"
"2018-03-01 21:44","-20.1","20"
"2018-03-01 21:54","-20.0","20"
"2018-03-01 22:04","-19.9","20"
"2018-03-01 22:14","-19.9","20"
"2018-03-01 22:24","-19.8","20"
"2018-03-01 22:34","-19.8","20"
"2018-03-01 22:44","-19.5","21"
"2018-03-01 22:54","-19.8","20"
"2018-03-01 23:04","-19.6","21"
"2018-03-01 23:14","-19.0","22"
"2018-03-01 23:24","-18.8","23"
"2018-03-01 23:34","-18.4","23"
"2018-03-01 23:44","-18.4","23"
"2018-03-01 23:54","-18.5","23"
"2018-03-02 00:04","-18.0","24"
"2018-03-02 00:14","-17.4","26"
"2018-03-02 00:24","-17.0","27"
"2018-03-02 00:34","-17.3","26"
"2018-03-02 00:44","-17.5","26"
"2018-03-02 00:54","-17.5","26"
"2018-03-02 01:04","-17.8","25"
"2018-03-02 01:14","-17.2","26"
"2018-03-02 01:24","-16.7","28"
"2018-03-02 01:34","-16.2","29"
"2018-03-02 01:44","-16.0","30"
"2018-03-02 01:54","-15.4","31"
"2018-03-02 02:04","-15.3","32"
"2018-03-02 02:14","-15.3","32"
"2018-03-02 02:24","-15.3","32"
"2018-03-02 02:34","-16.5","29"
"2018-03-02 02:44","-17.0","27"
"2018-03-02 02:54","-17.6","26"
"2018-03-02 03:04","-17.6","26"
"2018-03-02 03:14","-18.0","25"
"2018-03-02 03:24","-17.8","26"
"2018-03-02 03:34","-18.0","25"
"2018-03-02 03:44","-18.0","25"
"2018-03-02 03:54","-18.3","25"
"2018-03-02 04:04","-18.2","25"
"2018-03-02 04:14","-18.1","25"
"2018-03-02 04:24","-18.3","25"
"2018-03-02 04:34","-18.4","25"
"2018-03-02 04:44","-18.6","24"
"2018-03-02 04:54","-18.5","24"
"2018-03-02 05:04","-18.8","24"
"2018-03-02 05:14","-19.0","23"
"2018-03-02 05:24","-19.0","23"
"2018-03-02 05:34","-18.7","24"
"2018-03-02 05:44","-19.1","23"
"2018-03-02 05:54","-18.6","24"
"2018-03-02 06:04","-18.6","24"
"2018-03-02 06:14","-18.6","24"
"2018-03-02 06:24","-18.5","24"
"2018-03-02 06:34","-19.0","23"
"2018-03-02 06:44","-18.8","24"
"2018-03-02 06:54","-19.2","23"
"2018-03-02 07:04","-19.0","23"
"2018-03-02 07:14","-18.7","24"
"2018-03-02 07:24","-18.7","24"
"2018-03-02 07:34","-18.7","24"
"2018-03-02 07:44","-18.8","24"
"2018-03-02 07:54","-18.8","24"
"2018-03-02 08:04","-18.9","24"
"2018-03-02 08:14","-19.1","23"
"2018-03-02 08:24","-19.0","24"
"2018-03-02 08:34","-19.1","23"
"2018-03-02 08:44","-19.2","23"
"2018-03-02 08:54","-19.7","22"
"2018-03-02 09:04","-20.1","21"
"2018-03-02 09:14","-20.1","21"
"2018-03-02 09:24","-20.7","20"
"2018-03-02 09:34","-20.7","20"
"2018-03-02 09:44","-21.5","18"
"2018-03-02 09:54","-21.8","18"
"2018-03-02 10:04","-22.0","17"
"2018-03-02 10:14","-22.5","17"
"2018-03-02 10:24","-23.1","16"
"2018-03-02 10:34","-23.4","15"
"2018-03-02 10:44","-22.9","16"
"2018-03-02 10:54","-23.5","15"
"2018-03-02 11:04","-24.0","14"
"2018-03-02 11:14","-25.3","13"
"2018-03-02 11:24","-23.5","15"
"2018-03-02 11:34","-24.2","14"
"2018-03-02 11:44","-24.5","13"
"2018-03-02 11:54","-24.4","13"
"2018-03-02 12:04","-23.8","14"
"2018-03-02 12:14","-24.8","13"
"2018-03-02 12:24","-23.2","15"
"2018-03-02 12:34","-24.7","13"
"2018-03-02 12:44","-23.4","15"
"2018-03-02 12:54","-24.1","14"
"2018-03-02 13:04","-23.4","15"
"2018-03-02 13:14","-23.5","14"
"2018-03-02 13:24","-25.5","12"
"2018-03-02 13:34","-25.0","13"
"2018-03-02 13:44","-25.5","12"
"2018-03-02 13:54","-25.9","12"
"2018-03-02 14:04","-25.2","12"
"2018-03-02 14:14","-25.8","12"
"2018-03-02 14:24","-25.6","12"
"2018-03-02 14:34","-25.2","12"
"2018-03-02 14:44","-25.8","12"
"2018-03-02 14:54","-25.7","12"
"2018-03-02 15:04","-25.1","12"
"2018-03-02 15:14","-26.4","11"
"2018-03-02 15:24","-27.1","10"
"2018-03-02 15:34","-24.9","13"
"2018-03-02 15:44","-26.6","11"
"2018-03-02 15:54","-26.4","11"
"2018-03-02 16:04","-25.8","12"
"2018-03-02 16:14","-28.5","9"
"2018-03-02 16:24","-25.3","12"
"2018-03-02 16:34","-25.3","12"
"2018-03-02 16:44","-25.2","13"
"2018-03-02 16:54","-22.8","16"
"2018-03-02 17:04","-22.9","16"
"2018-03-02 17:14","-22.2","17"
"2018-03-02 17:24","-22.1","17"
"2018-03-02 17:34","-22.3","17"
"2018-03-02 17:44","-21.9","18"
"2018-03-02 17:54","-21.9","18"
"2018-03-02 18:04","-22.1","18"
"2018-03-02 18:14","-22.1","18"
"2018-03-02 18:24","-21.8","18"
"2018-03-02 18:34","-21.9","18"
"2018-03-02 18:44","-22.2","18"
"2018-03-02 18:54","-21.9","18"
"2018-03-02 19:04","-22.3","18"
"2018-03-02 19:14","-22.3","18"
"2018-03-02 19:24","-21.9","18"
"2018-03-02 19:34","-21.6","19"
"2018-03-02 19:44","-21.1","20"
"2018-03-02 19:54","-21.2","20"
"2018-03-02 20:04","-20.7","21"
"2018-03-02 20:14","-20.3","21"
"2018-03-02 20:24","-19.8","22"
"2018-03-02 20:34","-19.6","23"
"2018-03-02 20:44","-19.6","23"
"2018-03-02 20:54","-19.4","23"
"2018-03-02 21:04","-19.1","24"
"2018-03-02 21:14","-18.9","24"
"2018-03-02 21:24","-18.8","25"
"2018-03-02 21:34","-18.9","24"
"2018-03-02 21:44","-18.7","25"
"2018-03-02 21:54","-18.6","25"
"2018-03-02 22:04","-18.5","25"
"2018-03-02 22:14","-18.3","26"
"2018-03-02 22:24","-18.2","26"
"2018-03-02 22:34","-18.0","27"
"2018-03-02 22:44","-17.8","27"
"2018-03-02 22:54","-17.8","27"
"2018-03-02 23:04","-17.5","28"
"2018-03-02 23:14","-17.5","28"
"2018-03-02 23:24","-17.3","29"
"2018-03-02 23:34","-17.1","29"
"2018-03-02 23:44","-17.2","29"
"2018-03-02 23:54","-17.2","29"
"2018-03-03 00:04","-17.3","29"
"2018-03-03 00:14","-17.3","29"
"2018-03-03 00:24","-17.7","28"
"2018-03-03 00:34","-18.1","27"
"2018-03-03 00:44","-18.4","26"
"2018-03-03 00:54","-18.6","26"
"2018-03-03 01:04","-18.8","25"
"2018-03-03 01:14","-18.8","25"
"2018-03-03 01:24","-19.2","25"
"2018-03-03 01:34","-19.5","24"
"2018-03-03 01:44","-19.7","24"
"2018-03-03 01:54","-19.9","23"
"2018-03-03 02:04","-20.2","23"
"2018-03-03 02:14","-20.1","23"
"2018-03-03 02:24","-20.1","23"
"2018-03-03 02:34","-20.1","23"
"2018-03-03 02:44","-20.2","23"
"2018-03-03 02:54","-19.9","23"
"2018-03-03 03:04","-20.0","23"
"2018-03-03 03:14","-19.9","24"
"2018-03-03 03:24","-19.8","24"
"2018-03-03 03:34","-20.0","23"
"2018-03-03 03:44","-19.8","24"
"2018-03-03 03:54","-19.7","24"
"2018-03-03 04:04","-19.6","24"
"2018-03-03 04:14","-19.6","25"
"2018-03-03 04:24","-19.4","25"
"2018-03-03 04:34","-19.5","25"
"2018-03-03 04:44","-19.4","25"
"2018-03-03 04:54","-19.3","25"
"2018-03-03 05:04","-19.1","26"
"2018-03-03 05:14","-19.1","26"
"2018-03-03 05:24","-19.1","26"
"2018-03-03 05:34","-18.9","26"
"2018-03-03 05:44","-18.8","27"
"2018-03-03 05:54","-18.6","27"
"2018-03-03 06:04","-18.4","28"
"2018-03-03 06:14","-18.1","28"
"2018-03-03 06:24","-18.0","29"
"2018-03-03 06:34","-17.9","29"
"2018-03-03 06:44","-17.8","29"
"2018-03-03 06:54","-17.7","30"
"2018-03-03 07:04","-17.6","30"
"2018-03-03 07:14","-17.6","30"
"2018-03-03 07:24","-17.5","30"
"2018-03-03 07:34","-17.4","30"
"2018-03-03 07:44","-17.4","30"
"2018-03-03 07:54","-17.4","30"
"2018-03-03 08:04","-17.3","30"
"2018-03-03 08:14","-17.3","29"
"2018-03-03 08:24","-17.1","29"
"2018-03-03 08:34","-17.4","28"
"2018-03-03 08:44","-17.7","28"
"2018-03-03 08:54","-17.5","28"
"2018-03-03 09:04","-17.5","28"
"2018-03-03 09:14","-17.7","28"
"2018-03-03 09:24","-18.4","26"
"2018-03-03 09:34","-19.1","24"
"2018-03-03 09:44","-20.9","20"
"2018-03-03 09:54","-21.0","20"
"2018-03-03 10:04","-21.1","19"
"2018-03-03 10:14","-21.0","20"
"2018-03-03 10:24","-22.3","18"
"2018-03-03 10:34","-22.4","17"
"2018-03-03 10:44","-22.1","17"
"2018-03-03 10:54","-22.2","17"
"2018-03-03 11:04","-23.0","16"
"2018-03-03 11:14","-23.2","16"
"2018-03-03 11:24","-22.7","16"
"2018-03-03 11:34","-23.1","15"
"2018-03-03 11:44","-24.3","14"
"2018-03-03 11:54","-24.2","14"
"2018-03-03 12:04","-24.8","13"
"2018-03-03 12:14","-23.5","15"
"2018-03-03 12:24","-23.1","15"
"2018-03-03 12:34","-24.2","14"
"2018-03-03 12:44","-24.4","14"
"2018-03-03 12:54","-25.4","12"
"2018-03-03 13:04","-23.8","14"
"2018-03-03 13:14","-27.4","10"
