"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 00:04","-11.9","38"
"2017-11-01 00:14","-11.5","40"
"2017-11-01 00:25","-11.4","40"
"2017-11-01 00:34","-11.3","40"
"2017-11-01 00:44","-11.3","40"
"2017-11-01 00:54","-11.5","39"
"2017-11-01 01:05","-11.5","39"
"2017-11-01 01:14","-11.6","39"
"2017-11-01 01:25","-11.5","39"
"2017-11-01 01:34","-11.5","39"
"2017-11-01 01:44","-11.5","40"
"2017-11-01 01:54","-11.3","40"
"2017-11-01 02:05","-11.3","40"
"2017-11-01 02:14","-11.4","40"
"2017-11-01 02:24","-11.4","40"
"2017-11-01 02:34","-11.4","40"
"2017-11-01 02:45","-11.4","40"
"2017-11-01 02:54","-11.3","40"
"2017-11-01 03:04","-11.4","40"
"2017-11-01 03:14","-11.4","40"
"2017-11-01 03:24","-11.5","40"
"2017-11-01 03:34","-11.5","40"
"2017-11-01 03:44","-11.5","40"
"2017-11-01 03:54","-11.6","40"
"2017-11-01 04:04","-11.6","40"
"2017-11-01 04:14","-11.6","40"
"2017-11-01 04:24","-11.6","40"
"2017-11-01 04:34","-11.6","40"
"2017-11-01 04:44","-11.6","40"
"2017-11-01 04:54","-11.7","40"
"2017-11-01 05:04","-11.8","39"
"2017-11-01 05:14","-11.8","39"
"2017-11-01 05:24","-11.9","39"
"2017-11-01 05:34","-11.9","39"
"2017-11-01 05:44","-12.0","39"
"2017-11-01 05:54","-12.1","39"
"2017-11-01 06:04","-12.1","39"
"2017-11-01 06:14","-12.1","39"
"2017-11-01 06:24","-12.1","39"
"2017-11-01 06:34","-12.1","38"
"2017-11-01 06:44","-12.1","38"
"2017-11-01 06:54","-12.3","38"
"2017-11-01 07:04","-12.2","38"
"2017-11-01 07:14","-12.3","38"
"2017-11-01 07:24","-12.4","38"
"2017-11-01 07:34","-12.5","37"
"2017-11-01 07:44","-12.5","37"
"2017-11-01 07:54","-12.7","37"
"2017-11-01 08:04","-12.8","37"
"2017-11-01 08:14","-12.9","36"
"2017-11-01 08:24","-12.9","36"
"2017-11-01 08:34","-13.0","36"
"2017-11-01 08:44","-13.0","36"
"2017-11-01 08:54","-13.0","36"
"2017-11-01 09:04","-13.1","36"
"2017-11-01 09:14","-13.2","35"
"2017-11-01 09:25","-13.3","35"
"2017-11-01 09:34","-13.5","34"
"2017-11-01 09:45","-13.4","34"
"2017-11-01 09:54","-13.3","34"
"2017-11-01 10:04","-13.4","34"
"2017-11-01 10:14","-13.3","34"
"2017-11-01 10:24","-13.8","32"
"2017-11-01 10:34","-13.9","32"
"2017-11-01 10:44","-13.7","32"
"2017-11-01 10:54","-14.4","30"
"2017-11-01 11:04","-14.3","30"
"2017-11-01 11:14","-15.0","29"
"2017-11-01 11:24","-15.3","28"
"2017-11-01 11:34","-15.5","27"
"2017-11-01 11:44","-15.9","26"
"2017-11-01 11:54","-15.8","26"
"2017-11-01 12:04","-15.5","27"
"2017-11-01 12:14","-15.1","28"
"2017-11-01 12:24","-15.8","26"
"2017-11-01 12:34","-15.2","27"
"2017-11-01 12:44","-16.3","25"
"2017-11-01 12:54","-14.9","28"
"2017-11-01 13:04","-15.7","26"
"2017-11-01 13:14","-16.3","24"
"2017-11-01 13:24","-15.7","26"
"2017-11-01 13:34","-16.4","24"
"2017-11-01 13:45","-16.6","24"
"2017-11-01 13:54","-15.3","26"
"2017-11-01 14:05","-15.5","26"
"2017-11-01 14:14","-15.6","26"
"2017-11-01 14:25","-16.8","23"
"2017-11-01 14:34","-14.4","29"
"2017-11-01 14:45","-14.4","29"
"2017-11-01 14:54","-15.2","27"
"2017-11-01 15:04","-14.5","28"
"2017-11-01 15:14","-14.5","28"
"2017-11-01 15:24","-14.1","29"
"2017-11-01 15:34","-14.5","29"
"2017-11-01 15:45","-14.1","29"
"2017-11-01 15:54","-14.2","29"
"2017-11-01 16:05","-14.0","30"
"2017-11-01 16:14","-13.5","31"
"2017-11-01 16:25","-13.3","32"
"2017-11-01 16:34","-13.0","32"
"2017-11-01 16:45","-13.1","32"
"2017-11-01 16:54","-13.2","32"
"2017-11-01 17:05","-13.2","32"
"2017-11-01 17:14","-12.9","33"
"2017-11-01 17:25","-12.8","33"
"2017-11-01 17:34","-12.6","33"
"2017-11-01 17:44","-12.7","33"
"2017-11-01 17:54","-12.5","34"
"2017-11-01 18:05","-12.3","34"
"2017-11-01 18:14","-12.1","35"
"2017-11-01 18:25","-12.0","35"
"2017-11-01 18:34","-11.7","36"
"2017-11-01 18:44","-11.7","36"
"2017-11-01 18:54","-11.7","37"
"2017-11-01 19:05","-11.5","37"
"2017-11-01 19:14","-11.5","37"
"2017-11-01 19:25","-11.3","38"
"2017-11-01 19:34","-11.5","37"
"2017-11-01 19:45","-11.2","38"
"2017-11-01 19:54","-11.3","38"
"2017-11-01 20:04","-11.2","38"
"2017-11-01 20:14","-11.1","39"
"2017-11-01 20:24","-11.1","39"
"2017-11-01 20:34","-11.1","39"
"2017-11-01 20:44","-11.1","39"
"2017-11-01 20:54","-10.9","39"
"2017-11-01 21:04","-10.8","39"
"2017-11-01 21:14","-10.5","40"
"2017-11-01 21:24","-10.3","41"
"2017-11-01 21:34","-9.6","43"
"2017-11-01 21:44","-9.4","44"
"2017-11-01 21:54","-9.1","45"
"2017-11-01 22:04","-8.8","46"
"2017-11-01 22:14","-8.1","48"
"2017-11-01 22:24","-8.0","48"
"2017-11-01 22:34","-8.5","46"
"2017-11-01 22:44","-8.8","45"
"2017-11-01 22:54","-9.1","44"
"2017-11-01 23:04","-9.1","44"
"2017-11-01 23:14","-9.0","44"
"2017-11-01 23:24","-8.9","45"
"2017-11-01 23:34","-8.9","45"
"2017-11-01 23:44","-8.9","45"
"2017-11-01 23:54","-8.7","45"
"2017-11-02 00:04","-8.5","46"
"2017-11-02 00:14","-7.8","48"
"2017-11-02 00:24","-7.2","51"
"2017-11-02 00:34","-6.0","55"
"2017-11-02 00:44","-5.5","58"
"2017-11-02 00:54","-4.2","63"
"2017-11-02 01:04","-3.8","65"
"2017-11-02 01:14","-3.4","67"
"2017-11-02 01:24","-3.4","67"
"2017-11-02 01:34","-3.2","68"
"2017-11-02 01:44","-3.2","67"
"2017-11-02 01:54","-3.5","66"
"2017-11-02 02:04","-3.9","64"
"2017-11-02 02:14","-5.7","56"
"2017-11-02 02:24","-6.3","53"
"2017-11-02 02:34","-8.2","46"
"2017-11-02 02:44","-8.4","45"
"2017-11-02 02:54","-8.6","45"
"2017-11-02 03:04","-8.7","44"
"2017-11-02 03:14","-9.2","43"
"2017-11-02 03:24","-9.2","43"
"2017-11-02 03:34","-9.2","43"
"2017-11-02 03:44","-9.2","43"
"2017-11-02 03:54","-9.1","43"
"2017-11-02 04:04","-9.2","43"
"2017-11-02 04:14","-9.2","42"
"2017-11-02 04:24","-9.2","42"
"2017-11-02 04:34","-9.3","42"
"2017-11-02 04:44","-9.3","42"
"2017-11-02 04:54","-9.3","42"
"2017-11-02 05:04","-9.2","42"
"2017-11-02 05:14","-8.9","43"
"2017-11-02 05:24","-8.6","44"
"2017-11-02 05:34","-7.2","49"
"2017-11-02 05:44","-6.7","51"
"2017-11-02 05:54","-7.0","49"
"2017-11-02 06:04","-7.6","47"
"2017-11-02 06:14","-7.7","46"
"2017-11-02 06:24","-7.6","47"
"2017-11-02 06:34","-6.5","51"
"2017-11-02 06:44","-5.6","54"
"2017-11-02 06:54","-3.8","61"
"2017-11-02 07:04","-3.4","63"
"2017-11-02 07:14","-3.0","64"
"2017-11-02 07:24","-2.5","66"
"2017-11-02 07:34","-2.3","67"
"2017-11-02 07:44","-2.3","67"
"2017-11-02 07:54","-2.1","68"
"2017-11-02 08:04","-2.0","68"
"2017-11-02 08:14","-1.7","69"
"2017-11-02 08:24","-1.7","69"
"2017-11-02 08:34","-1.5","69"
"2017-11-02 08:44","-1.5","69"
"2017-11-02 08:54","-1.3","70"
"2017-11-02 09:04","-1.3","70"
"2017-11-02 09:14","-1.2","70"
"2017-11-02 09:24","-1.1","70"
"2017-11-02 09:34","-1.0","70"
"2017-11-02 09:44","-1.0","70"
"2017-11-02 09:54","-0.8","70"
"2017-11-02 10:04","-0.7","70"
"2017-11-02 10:14","-0.5","70"
"2017-11-02 10:24","-0.4","70"
"2017-11-02 10:34","-0.3","71"
"2017-11-02 10:44","-0.3","71"
"2017-11-02 10:54","-0.3","71"
"2017-11-02 11:04","-0.3","70"
"2017-11-02 11:14","-0.9","67"
"2017-11-02 11:24","-1.4","64"
"2017-11-02 11:34","-2.0","61"
"2017-11-02 11:44","-2.7","58"
"2017-11-02 11:54","-4.5","50"
"2017-11-02 12:04","-4.8","49"
"2017-11-02 12:14","-5.7","46"
"2017-11-02 12:24","-5.6","46"
"2017-11-02 12:34","-5.2","47"
"2017-11-02 12:44","-5.0","48"
"2017-11-02 12:54","-3.9","52"
"2017-11-02 13:04","-3.2","55"
"2017-11-02 13:14","-2.4","58"
"2017-11-02 13:24","-2.2","59"
"2017-11-02 13:34","-1.9","60"
"2017-11-02 13:44","-2.0","60"
"2017-11-02 13:54","-1.1","64"
"2017-11-02 14:04","-1.0","64"
"2017-11-02 14:14","-0.9","65"
"2017-11-02 14:24","-1.1","64"
"2017-11-02 14:34","-0.8","65"
"2017-11-02 14:44","-0.4","67"
"2017-11-02 14:54","-0.4","67"
"2017-11-02 15:04","-0.5","67"
"2017-11-02 15:14","-1.0","64"
"2017-11-02 15:24","-1.0","65"
"2017-11-02 15:34","-0.8","65"
"2017-11-02 15:44","-0.8","65"
"2017-11-02 15:54","-1.1","64"
"2017-11-02 16:04","-1.3","63"
"2017-11-02 16:14","-1.5","62"
"2017-11-02 16:24","-1.7","61"
"2017-11-02 16:34","-1.8","61"
"2017-11-02 16:44","-1.9","61"
"2017-11-02 16:54","-1.5","62"
"2017-11-02 17:04","-1.3","63"
"2017-11-02 17:14","-0.6","67"
"2017-11-02 17:24","-0.4","68"
"2017-11-02 17:34","-0.1","69"
"2017-11-02 17:44","0.0","69"
"2017-11-02 17:54","0.1","70"
"2017-11-02 18:04","0.2","70"
"2017-11-02 18:14","0.2","70"
"2017-11-02 18:24","0.2","70"
"2017-11-02 18:34","0.2","71"
"2017-11-02 18:44","0.3","71"
"2017-11-02 18:54","0.3","71"
"2017-11-02 19:04","0.3","71"
"2017-11-02 19:14","0.2","71"
"2017-11-02 19:24","0.2","71"
"2017-11-02 19:34","0.1","71"
"2017-11-02 19:44","0.1","71"
"2017-11-02 19:54","0.1","71"
"2017-11-02 20:04","0.1","71"
"2017-11-02 20:14","0.0","71"
"2017-11-02 20:24","0.0","71"
