"Time EST","Pressure (kPa)"
"2017-11-01 00:04","96.90"
"2017-11-01 00:14","96.92"
"2017-11-01 00:25","96.92"
"2017-11-01 00:34","96.92"
"2017-11-01 00:44","96.91"
"2017-11-01 00:54","96.89"
"2017-11-01 01:05","96.89"
"2017-11-01 01:14","96.87"
"2017-11-01 01:25","96.88"
"2017-11-01 01:34","96.89"
"2017-11-01 01:44","96.89"
"2017-11-01 01:54","96.86"
"2017-11-01 02:05","96.87"
"2017-11-01 02:14","96.86"
"2017-11-01 02:24","96.86"
"2017-11-01 02:34","96.84"
"2017-11-01 02:45","96.85"
"2017-11-01 02:54","96.84"
"2017-11-01 03:04","96.86"
"2017-11-01 03:14","96.87"
"2017-11-01 03:24","96.88"
"2017-11-01 03:34","96.88"
"2017-11-01 03:44","96.86"
"2017-11-01 03:54","96.86"
"2017-11-01 04:04","96.87"
"2017-11-01 04:14","96.89"
"2017-11-01 04:24","96.88"
"2017-11-01 04:34","96.86"
"2017-11-01 04:44","96.87"
"2017-11-01 04:54","96.88"
"2017-11-01 05:04","96.88"
"2017-11-01 05:14","96.90"
"2017-11-01 05:24","96.89"
"2017-11-01 05:34","96.89"
"2017-11-01 05:44","96.89"
"2017-11-01 05:54","96.89"
"2017-11-01 06:04","96.90"
"2017-11-01 06:14","96.91"
"2017-11-01 06:24","96.93"
"2017-11-01 06:34","96.92"
"2017-11-01 06:44","96.93"
"2017-11-01 06:54","96.93"
"2017-11-01 07:04","96.94"
"2017-11-01 07:14","96.95"
"2017-11-01 07:24","96.96"
"2017-11-01 07:34","96.95"
"2017-11-01 07:44","96.95"
"2017-11-01 07:54","96.96"
"2017-11-01 08:04","96.96"
"2017-11-01 08:14","96.95"
"2017-11-01 08:24","96.96"
"2017-11-01 08:34","96.97"
"2017-11-01 08:44","96.98"
"2017-11-01 08:54","96.98"
"2017-11-01 09:04","96.99"
"2017-11-01 09:14","96.98"
"2017-11-01 09:25","96.99"
"2017-11-01 09:34","96.99"
"2017-11-01 09:45","96.99"
"2017-11-01 09:54","97.00"
"2017-11-01 10:04","96.98"
"2017-11-01 10:14","97.00"
"2017-11-01 10:24","97.01"
"2017-11-01 10:34","96.99"
"2017-11-01 10:44","97.02"
"2017-11-01 10:54","97.00"
"2017-11-01 11:04","97.00"
"2017-11-01 11:14","96.97"
"2017-11-01 11:24","96.96"
"2017-11-01 11:34","96.96"
"2017-11-01 11:44","96.97"
"2017-11-01 11:54","96.98"
"2017-11-01 12:04","96.96"
"2017-11-01 12:14","96.97"
"2017-11-01 12:24","96.96"
"2017-11-01 12:34","96.93"
"2017-11-01 12:44","96.92"
"2017-11-01 12:54","96.92"
"2017-11-01 13:04","96.92"
"2017-11-01 13:14","96.92"
"2017-11-01 13:24","96.91"
"2017-11-01 13:34","96.89"
"2017-11-01 13:45","96.87"
"2017-11-01 13:54","96.88"
"2017-11-01 14:05","96.89"
"2017-11-01 14:14","96.88"
"2017-11-01 14:25","96.88"
"2017-11-01 14:34","96.88"
"2017-11-01 14:45","96.87"
"2017-11-01 14:54","96.85"
"2017-11-01 15:04","96.84"
"2017-11-01 15:14","96.82"
"2017-11-01 15:24","96.82"
"2017-11-01 15:34","96.81"
"2017-11-01 15:45","96.80"
"2017-11-01 15:54","96.82"
"2017-11-01 16:05","96.81"
"2017-11-01 16:14","96.80"
"2017-11-01 16:25","96.79"
"2017-11-01 16:34","96.79"
"2017-11-01 16:45","96.80"
"2017-11-01 16:54","96.81"
"2017-11-01 17:05","96.80"
"2017-11-01 17:14","96.77"
"2017-11-01 17:25","96.76"
"2017-11-01 17:34","96.79"
"2017-11-01 17:44","96.79"
"2017-11-01 17:54","96.77"
"2017-11-01 18:05","96.77"
"2017-11-01 18:14","96.74"
"2017-11-01 18:25","96.75"
"2017-11-01 18:34","96.73"
"2017-11-01 18:44","96.76"
"2017-11-01 18:54","96.75"
"2017-11-01 19:05","96.76"
"2017-11-01 19:14","96.75"
"2017-11-01 19:25","96.75"
"2017-11-01 19:34","96.74"
"2017-11-01 19:45","96.74"
"2017-11-01 19:54","96.73"
"2017-11-01 20:04","96.73"
"2017-11-01 20:14","96.75"
"2017-11-01 20:24","96.74"
"2017-11-01 20:34","96.75"
"2017-11-01 20:44","96.76"
"2017-11-01 20:54","96.76"
"2017-11-01 21:04","96.76"
"2017-11-01 21:14","96.74"
"2017-11-01 21:24","96.75"
"2017-11-01 21:34","96.74"
"2017-11-01 21:44","96.74"
"2017-11-01 21:54","96.72"
"2017-11-01 22:04","96.70"
"2017-11-01 22:14","96.67"
"2017-11-01 22:24","96.68"
"2017-11-01 22:34","96.67"
"2017-11-01 22:44","96.66"
"2017-11-01 22:54","96.68"
"2017-11-01 23:04","96.68"
"2017-11-01 23:14","96.69"
"2017-11-01 23:24","96.68"
"2017-11-01 23:34","96.67"
"2017-11-01 23:44","96.66"
"2017-11-01 23:54","96.65"
"2017-11-02 00:04","96.63"
"2017-11-02 00:14","96.63"
"2017-11-02 00:24","96.62"
"2017-11-02 00:34","96.59"
"2017-11-02 00:44","96.60"
"2017-11-02 00:54","96.59"
"2017-11-02 01:04","96.58"
"2017-11-02 01:14","96.58"
"2017-11-02 01:24","96.57"
"2017-11-02 01:34","96.55"
"2017-11-02 01:44","96.52"
"2017-11-02 01:54","96.49"
"2017-11-02 02:04","96.47"
"2017-11-02 02:14","96.45"
"2017-11-02 02:24","96.44"
"2017-11-02 02:34","96.42"
"2017-11-02 02:44","96.41"
"2017-11-02 02:54","96.37"
"2017-11-02 03:04","96.33"
"2017-11-02 03:14","96.32"
"2017-11-02 03:24","96.30"
"2017-11-02 03:34","96.31"
"2017-11-02 03:44","96.32"
"2017-11-02 03:54","96.30"
"2017-11-02 04:04","96.29"
"2017-11-02 04:14","96.32"
"2017-11-02 04:24","96.31"
"2017-11-02 04:34","96.30"
"2017-11-02 04:44","96.29"
"2017-11-02 04:54","96.26"
"2017-11-02 05:04","96.29"
"2017-11-02 05:14","96.26"
"2017-11-02 05:24","96.25"
"2017-11-02 05:34","96.24"
"2017-11-02 05:44","96.25"
"2017-11-02 05:54","96.26"
"2017-11-02 06:04","96.23"
"2017-11-02 06:14","96.23"
"2017-11-02 06:24","96.23"
"2017-11-02 06:34","96.24"
"2017-11-02 06:44","96.23"
"2017-11-02 06:54","96.23"
"2017-11-02 07:04","96.23"
"2017-11-02 07:14","96.24"
"2017-11-02 07:24","96.25"
"2017-11-02 07:34","96.26"
"2017-11-02 07:44","96.27"
"2017-11-02 07:54","96.26"
"2017-11-02 08:04","96.27"
"2017-11-02 08:14","96.27"
"2017-11-02 08:24","96.28"
"2017-11-02 08:34","96.26"
"2017-11-02 08:44","96.27"
"2017-11-02 08:54","96.29"
"2017-11-02 09:04","96.29"
"2017-11-02 09:14","96.32"
"2017-11-02 09:24","96.32"
"2017-11-02 09:34","96.34"
"2017-11-02 09:44","96.35"
"2017-11-02 09:54","96.35"
"2017-11-02 10:04","96.34"
"2017-11-02 10:14","96.33"
"2017-11-02 10:24","96.34"
"2017-11-02 10:34","96.35"
"2017-11-02 10:44","96.35"
"2017-11-02 10:54","96.36"
"2017-11-02 11:04","96.36"
"2017-11-02 11:14","96.36"
"2017-11-02 11:24","96.36"
"2017-11-02 11:34","96.36"
"2017-11-02 11:44","96.35"
"2017-11-02 11:54","96.37"
"2017-11-02 12:04","96.37"
"2017-11-02 12:14","96.36"
"2017-11-02 12:24","96.36"
"2017-11-02 12:34","96.36"
"2017-11-02 12:44","96.37"
"2017-11-02 12:54","96.36"
"2017-11-02 13:04","96.34"
"2017-11-02 13:14","96.33"
"2017-11-02 13:24","96.33"
"2017-11-02 13:34","96.35"
"2017-11-02 13:44","96.36"
"2017-11-02 13:54","96.35"
"2017-11-02 14:04","96.35"
"2017-11-02 14:14","96.36"
"2017-11-02 14:24","96.37"
"2017-11-02 14:34","96.37"
"2017-11-02 14:44","96.37"
"2017-11-02 14:54","96.38"
"2017-11-02 15:04","96.36"
"2017-11-02 15:14","96.39"
"2017-11-02 15:24","96.36"
"2017-11-02 15:34","96.36"
"2017-11-02 15:44","96.35"
"2017-11-02 15:54","96.34"
