"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:04","4","W","13"
"2017-11-01 00:14","1","W","10"
"2017-11-01 00:25","0","W","0"
"2017-11-01 00:34","0","W","0"
"2017-11-01 00:44","0","W","0"
"2017-11-01 00:54","0","WNW","0"
"2017-11-01 01:05","0","WNW","0"
"2017-11-01 01:14","0","W","0"
"2017-11-01 01:25","0","W","0"
"2017-11-01 01:34","0","W","0"
"2017-11-01 01:44","0","W","0"
"2017-11-01 01:54","0","SSW","0"
"2017-11-01 02:05","0","SSW","0"
"2017-11-01 02:14","0","SSW","0"
"2017-11-01 02:24","0","SSW","0"
"2017-11-01 02:34","0","SSW","0"
"2017-11-01 02:45","0","SSW","0"
"2017-11-01 02:54","0","SSW","0"
"2017-11-01 03:04","0","SSW","0"
"2017-11-01 03:14","0","SW","0"
"2017-11-01 03:24","0","SW","0"
"2017-11-01 03:34","0","SW","0"
"2017-11-01 03:44","0","SW","0"
"2017-11-01 03:54","0","SW","0"
"2017-11-01 04:04","0","SW","0"
"2017-11-01 04:14","0","SW","0"
"2017-11-01 04:24","0","SW","0"
"2017-11-01 04:34","0","SW","0"
"2017-11-01 04:44","0","SSW","0"
"2017-11-01 04:54","0","SW","0"
"2017-11-01 05:04","0","SSW","0"
"2017-11-01 05:14","0","SW","0"
"2017-11-01 05:24","0","SSW","0"
"2017-11-01 05:34","0","SW","0"
"2017-11-01 05:44","0","SW","0"
"2017-11-01 05:54","0","SW","0"
"2017-11-01 06:04","0","SW","0"
"2017-11-01 06:14","0","SW","0"
"2017-11-01 06:24","0","SSW","0"
"2017-11-01 06:34","0","SSW","0"
"2017-11-01 06:44","0","SW","0"
"2017-11-01 06:54","0","SW","0"
"2017-11-01 07:04","0","SSW","0"
"2017-11-01 07:14","0","SSW","0"
"2017-11-01 07:24","0","SSW","0"
"2017-11-01 07:34","0","SSW","0"
"2017-11-01 07:44","0","SSW","0"
"2017-11-01 07:54","0","SW","0"
"2017-11-01 08:04","0","SW","0"
"2017-11-01 08:14","0","SW","0"
"2017-11-01 08:24","0","SW","0"
