"Time EST","Pressure (kPa)"
"2017-12-01 00:04","99.85"
"2017-12-01 00:14","99.85"
"2017-12-01 00:24","99.85"
"2017-12-01 00:34","99.89"
"2017-12-01 00:44","99.89"
"2017-12-01 00:54","99.89"
"2017-12-01 01:04","99.89"
"2017-12-01 01:14","99.92"
"2017-12-01 01:24","99.92"
"2017-12-01 01:34","99.92"
"2017-12-01 01:44","99.92"
"2017-12-01 01:54","99.96"
"2017-12-01 02:04","99.99"
"2017-12-01 02:14","99.99"
"2017-12-01 02:24","99.99"
"2017-12-01 02:34","100.06"
"2017-12-01 02:44","100.06"
"2017-12-01 02:54","100.03"
"2017-12-01 03:04","100.03"
"2017-12-01 03:14","100.03"
"2017-12-01 03:34","100.03"
"2017-12-01 03:54","100.03"
"2017-12-01 04:14","100.06"
"2017-12-01 04:34","100.10"
"2017-12-01 04:54","100.13"
"2017-12-01 05:14","100.13"
"2017-12-01 05:34","100.13"
"2017-12-01 05:54","100.17"
"2017-12-01 06:14","100.17"
"2017-12-01 06:34","100.20"
"2017-12-01 06:54","100.24"
"2017-12-01 07:14","100.28"
"2017-12-01 07:34","100.28"
"2017-12-01 07:54","100.28"
"2017-12-01 08:14","100.31"
"2017-12-01 08:34","100.31"
"2017-12-01 08:54","100.34"
"2017-12-01 09:14","100.38"
"2017-12-01 09:34","100.38"
"2017-12-01 09:54","100.38"
"2017-12-01 10:14","100.42"
"2017-12-01 10:34","100.42"
"2017-12-01 10:54","100.42"
"2017-12-01 11:14","100.42"
"2017-12-01 11:34","100.38"
"2017-12-01 11:54","100.38"
"2017-12-01 12:14","100.38"
"2017-12-01 12:34","100.34"
"2017-12-01 12:54","100.34"
"2017-12-01 13:14","100.34"
"2017-12-01 13:34","100.31"
"2017-12-01 13:44","100.31"
"2017-12-01 13:54","100.31"
"2017-12-01 14:04","100.28"
"2017-12-01 14:14","100.28"
"2017-12-01 14:24","100.28"
"2017-12-01 14:34","100.28"
"2017-12-01 14:44","100.24"
"2017-12-01 14:54","100.28"
"2017-12-01 15:04","100.28"
"2017-12-01 15:14","100.28"
"2017-12-01 15:24","100.31"
"2017-12-01 15:34","100.31"
"2017-12-01 15:44","100.31"
"2017-12-01 15:54","100.31"
"2017-12-01 16:04","100.31"
"2017-12-01 16:14","100.31"
"2017-12-01 16:24","100.28"
"2017-12-01 16:34","100.28"
"2017-12-01 16:44","100.28"
"2017-12-01 16:54","100.28"
"2017-12-01 17:04","100.28"
"2017-12-01 17:14","100.28"
"2017-12-01 17:24","100.28"
"2017-12-01 17:34","100.28"
"2017-12-01 17:44","100.31"
"2017-12-01 17:54","100.31"
"2017-12-01 18:04","100.34"
"2017-12-01 18:14","100.34"
"2017-12-01 18:24","100.31"
"2017-12-01 18:34","100.34"
"2017-12-01 18:44","100.34"
"2017-12-01 18:54","100.34"
"2017-12-01 19:04","100.34"
"2017-12-01 19:14","100.31"
"2017-12-01 19:24","100.31"
"2017-12-01 19:34","100.31"
"2017-12-01 19:44","100.31"
"2017-12-01 19:54","100.31"
"2017-12-01 20:04","100.31"
"2017-12-01 20:14","100.28"
"2017-12-01 20:24","100.31"
"2017-12-01 20:34","100.31"
"2017-12-01 20:44","100.28"
"2017-12-01 20:54","100.28"
"2017-12-01 21:04","100.28"
"2017-12-01 21:14","100.28"
"2017-12-01 21:24","100.28"
"2017-12-01 21:34","100.28"
"2017-12-01 21:44","100.28"
"2017-12-01 21:54","100.28"
"2017-12-01 22:04","100.28"
"2017-12-01 22:14","100.28"
"2017-12-01 22:24","100.28"
"2017-12-01 22:34","100.24"
"2017-12-01 22:44","100.24"
"2017-12-01 22:54","100.28"
"2017-12-01 23:04","100.28"
"2017-12-01 23:14","100.28"
"2017-12-01 23:24","100.28"
"2017-12-01 23:34","100.24"
"2017-12-01 23:44","100.28"
"2017-12-01 23:54","100.24"
"2017-12-02 00:04","100.24"
"2017-12-02 00:14","100.24"
"2017-12-02 00:24","100.24"
"2017-12-02 00:34","100.24"
"2017-12-02 00:44","100.24"
"2017-12-02 00:54","100.24"
"2017-12-02 01:04","100.24"
"2017-12-02 01:14","100.20"
"2017-12-02 01:24","100.24"
"2017-12-02 01:34","100.24"
"2017-12-02 01:44","100.20"
"2017-12-02 01:54","100.20"
"2017-12-02 02:04","100.20"
"2017-12-02 02:14","100.20"
"2017-12-02 02:24","100.24"
"2017-12-02 02:34","100.24"
"2017-12-02 02:44","100.24"
"2017-12-02 02:54","100.24"
"2017-12-02 03:04","100.20"
"2017-12-02 03:14","100.20"
"2017-12-02 03:24","100.24"
"2017-12-02 03:34","100.20"
"2017-12-02 03:44","100.20"
"2017-12-02 03:54","100.20"
"2017-12-02 04:04","100.20"
"2017-12-02 04:14","100.17"
"2017-12-02 04:24","100.17"
"2017-12-02 04:34","100.17"
"2017-12-02 04:44","100.17"
"2017-12-02 04:54","100.17"
"2017-12-02 05:04","100.17"
"2017-12-02 05:14","100.13"
"2017-12-02 05:24","100.13"
"2017-12-02 05:34","100.13"
"2017-12-02 05:44","100.13"
"2017-12-02 05:54","100.17"
"2017-12-02 06:04","100.17"
"2017-12-02 06:14","100.13"
"2017-12-02 06:24","100.13"
"2017-12-02 06:34","100.13"
"2017-12-02 06:44","100.13"
"2017-12-02 06:54","100.13"
"2017-12-02 07:04","100.13"
"2017-12-02 07:14","100.13"
"2017-12-02 07:24","100.17"
"2017-12-02 07:34","100.17"
"2017-12-02 07:44","100.17"
"2017-12-02 07:54","100.17"
"2017-12-02 08:04","100.20"
"2017-12-02 08:14","100.20"
"2017-12-02 08:24","100.17"
"2017-12-02 08:34","100.20"
"2017-12-02 08:44","100.24"
"2017-12-02 08:54","100.20"
"2017-12-02 09:04","100.17"
"2017-12-02 09:14","100.13"
"2017-12-02 09:24","100.10"
"2017-12-02 09:34","100.13"
"2017-12-02 09:44","100.17"
"2017-12-02 09:54","100.17"
"2017-12-02 10:04","100.17"
"2017-12-02 10:14","100.17"
"2017-12-02 10:24","100.17"
"2017-12-02 10:34","100.20"
"2017-12-02 10:44","100.17"
"2017-12-02 10:54","100.17"
"2017-12-02 11:04","100.13"
"2017-12-02 11:14","100.10"
"2017-12-02 11:24","100.10"
"2017-12-02 11:34","100.06"
"2017-12-02 11:44","100.06"
"2017-12-02 11:54","99.96"
"2017-12-02 12:04","100.03"
"2017-12-02 12:14","100.03"
"2017-12-02 12:24","100.03"
"2017-12-02 12:34","100.03"
"2017-12-02 12:44","100.03"
"2017-12-02 12:54","99.96"
"2017-12-02 13:04","99.96"
"2017-12-02 13:14","99.92"
"2017-12-02 13:24","99.92"
"2017-12-02 13:34","99.85"
"2017-12-02 13:44","99.85"
"2017-12-02 13:54","99.85"
"2017-12-02 14:04","99.85"
"2017-12-02 14:14","99.82"
"2017-12-02 14:24","99.82"
"2017-12-02 14:34","99.82"
"2017-12-02 14:44","99.82"
"2017-12-02 14:54","99.82"
"2017-12-02 15:04","99.78"
"2017-12-02 15:14","99.82"
"2017-12-02 15:24","99.82"
"2017-12-02 15:34","99.85"
"2017-12-02 15:44","99.85"
"2017-12-02 15:54","99.85"
"2017-12-02 16:04","99.85"
"2017-12-02 16:14","99.85"
"2017-12-02 16:24","99.85"
"2017-12-02 16:34","99.85"
"2017-12-02 16:44","99.89"
"2017-12-02 16:54","99.89"
"2017-12-02 17:04","99.89"
"2017-12-02 17:14","99.92"
"2017-12-02 17:24","99.92"
"2017-12-02 17:34","99.92"
"2017-12-02 17:44","99.92"
"2017-12-02 17:54","99.92"
"2017-12-02 18:04","99.89"
"2017-12-02 18:14","99.85"
"2017-12-02 18:24","99.85"
"2017-12-02 18:34","99.85"
"2017-12-02 18:44","99.89"
"2017-12-02 18:54","99.89"
"2017-12-02 19:04","99.89"
"2017-12-02 19:14","99.89"
"2017-12-02 19:24","99.89"
"2017-12-02 19:34","99.89"
"2017-12-02 19:44","99.89"
"2017-12-02 19:54","99.85"
"2017-12-02 20:04","99.89"
"2017-12-02 20:14","99.89"
"2017-12-02 20:24","99.89"
"2017-12-02 20:34","99.89"
"2017-12-02 20:44","99.85"
"2017-12-02 20:54","99.89"
"2017-12-02 21:04","99.85"
"2017-12-02 21:14","99.85"
"2017-12-02 21:24","99.89"
"2017-12-02 21:34","99.89"
"2017-12-02 21:44","99.89"
"2017-12-02 21:54","99.89"
"2017-12-02 22:04","99.89"
"2017-12-02 22:14","99.89"
"2017-12-02 22:24","99.89"
"2017-12-02 22:34","99.89"
"2017-12-02 22:44","99.89"
"2017-12-02 22:54","99.89"
"2017-12-02 23:04","99.89"
"2017-12-02 23:14","99.89"
"2017-12-02 23:24","99.89"
"2017-12-02 23:34","99.85"
"2017-12-02 23:44","99.89"
"2017-12-02 23:54","99.89"
"2017-12-03 00:04","99.89"
"2017-12-03 00:14","99.89"
"2017-12-03 00:24","99.85"
"2017-12-03 00:34","99.85"
"2017-12-03 00:44","99.85"
"2017-12-03 00:54","99.85"
"2017-12-03 01:04","99.85"
"2017-12-03 01:14","99.85"
"2017-12-03 01:24","99.85"
"2017-12-03 01:34","99.85"
"2017-12-03 01:44","99.82"
"2017-12-03 01:54","99.85"
"2017-12-03 02:04","99.85"
"2017-12-03 02:14","99.85"
"2017-12-03 02:24","99.85"
"2017-12-03 02:34","99.89"
"2017-12-03 02:44","99.85"
"2017-12-03 02:54","99.85"
"2017-12-03 03:04","99.85"
"2017-12-03 03:14","99.85"
"2017-12-03 03:24","99.85"
"2017-12-03 03:34","99.85"
"2017-12-03 03:44","99.85"
"2017-12-03 03:54","99.85"
"2017-12-03 04:04","99.85"
"2017-12-03 04:14","99.85"
"2017-12-03 04:24","99.85"
"2017-12-03 04:34","99.85"
"2017-12-03 04:44","99.85"
"2017-12-03 04:54","99.85"
"2017-12-03 05:04","99.89"
"2017-12-03 05:14","99.89"
"2017-12-03 05:24","99.89"
"2017-12-03 05:34","99.89"
"2017-12-03 05:44","99.89"
"2017-12-03 05:54","99.92"
"2017-12-03 06:04","99.92"
"2017-12-03 06:14","99.92"
"2017-12-03 06:24","99.92"
"2017-12-03 06:34","99.96"
"2017-12-03 06:44","99.96"
"2017-12-03 06:54","99.99"
"2017-12-03 07:04","99.96"
"2017-12-03 07:14","99.99"
"2017-12-03 07:24","100.03"
"2017-12-03 07:34","100.06"
"2017-12-03 07:44","100.06"
"2017-12-03 07:54","100.06"
"2017-12-03 08:04","100.06"
"2017-12-03 08:14","100.10"
"2017-12-03 08:24","100.10"
"2017-12-03 08:34","100.10"
"2017-12-03 08:44","100.10"
"2017-12-03 08:54","100.13"
"2017-12-03 09:04","100.13"
"2017-12-03 09:14","100.13"
"2017-12-03 09:24","100.13"
"2017-12-03 09:34","100.17"
"2017-12-03 09:44","100.17"
"2017-12-03 09:54","100.17"
"2017-12-03 10:04","100.17"
"2017-12-03 10:14","100.17"
"2017-12-03 10:24","100.17"
"2017-12-03 10:34","100.20"
"2017-12-03 10:44","100.20"
"2017-12-03 10:54","100.20"
"2017-12-03 11:04","100.17"
"2017-12-03 11:14","100.17"
"2017-12-03 11:24","100.13"
"2017-12-03 11:34","100.17"
"2017-12-03 11:44","100.17"
"2017-12-03 11:54","100.13"
"2017-12-03 12:04","100.13"
"2017-12-03 12:14","100.13"
"2017-12-03 12:24","100.13"
"2017-12-03 12:34","100.13"
"2017-12-03 12:44","100.10"
"2017-12-03 12:54","100.10"
"2017-12-03 13:04","100.13"
"2017-12-03 13:14","100.10"
"2017-12-03 13:24","100.10"
"2017-12-03 13:34","100.10"
"2017-12-03 13:44","100.10"
"2017-12-03 13:54","100.10"
"2017-12-03 14:04","100.10"
"2017-12-03 14:14","100.10"
"2017-12-03 14:24","100.10"
"2017-12-03 14:34","100.10"
"2017-12-03 14:44","100.06"
"2017-12-03 14:54","100.10"
"2017-12-03 15:04","100.10"
"2017-12-03 15:14","100.10"
"2017-12-03 15:24","100.10"
"2017-12-03 15:34","100.10"
"2017-12-03 15:44","100.10"
"2017-12-03 15:54","100.10"
"2017-12-03 16:04","100.10"
"2017-12-03 16:14","100.10"
"2017-12-03 16:24","100.13"
"2017-12-03 16:34","100.13"
"2017-12-03 16:44","100.10"
"2017-12-03 16:54","100.10"
"2017-12-03 17:04","100.13"
"2017-12-03 17:14","100.13"
"2017-12-03 17:24","100.13"
"2017-12-03 17:34","100.13"
"2017-12-03 17:44","100.17"
"2017-12-03 17:54","100.17"
"2017-12-03 18:04","100.17"
"2017-12-03 18:14","100.17"
"2017-12-03 18:24","100.17"
"2017-12-03 18:34","100.17"
"2017-12-03 18:44","100.17"
"2017-12-03 18:54","100.17"
"2017-12-03 19:04","100.20"
"2017-12-03 19:14","100.20"
"2017-12-03 19:24","100.20"
"2017-12-03 19:34","100.24"
"2017-12-03 19:44","100.20"
"2017-12-03 19:54","100.24"
"2017-12-03 20:04","100.24"
"2017-12-03 20:14","100.24"
"2017-12-03 20:24","100.20"
"2017-12-03 20:34","100.20"
"2017-12-03 20:44","100.20"
"2017-12-03 20:54","100.20"
"2017-12-03 21:04","100.20"
"2017-12-03 21:14","100.20"
"2017-12-03 21:24","100.20"
"2017-12-03 21:34","100.24"
"2017-12-03 21:44","100.20"
"2017-12-03 21:54","100.20"
"2017-12-03 22:04","100.20"
"2017-12-03 22:14","100.24"
"2017-12-03 22:24","100.20"
"2017-12-03 22:34","100.24"
"2017-12-03 22:44","100.24"
"2017-12-03 22:54","100.20"
"2017-12-03 23:04","100.20"
"2017-12-03 23:14","100.20"
"2017-12-03 23:24","100.24"
"2017-12-03 23:34","100.20"
"2017-12-03 23:44","100.20"
"2017-12-03 23:54","100.20"
"2017-12-04 00:04","100.20"
"2017-12-04 00:14","100.17"
"2017-12-04 00:24","100.17"
"2017-12-04 00:34","100.13"
"2017-12-04 00:44","100.13"
"2017-12-04 00:54","100.13"
"2017-12-04 01:04","100.13"
"2017-12-04 01:14","100.13"
"2017-12-04 01:24","100.13"
"2017-12-04 01:34","100.13"
"2017-12-04 01:44","100.13"
"2017-12-04 01:54","100.13"
"2017-12-04 02:04","100.13"
"2017-12-04 02:15","100.17"
"2017-12-04 02:24","100.17"
"2017-12-04 02:34","100.17"
"2017-12-04 02:44","100.17"
"2017-12-04 02:54","100.17"
"2017-12-04 03:04","100.13"
"2017-12-04 03:14","100.17"
"2017-12-04 03:24","100.17"
"2017-12-04 03:34","100.17"
"2017-12-04 03:44","100.17"
"2017-12-04 03:54","100.17"
"2017-12-04 04:04","100.17"
"2017-12-04 04:14","100.17"
"2017-12-04 04:24","100.17"
"2017-12-04 04:34","100.13"
"2017-12-04 04:44","100.17"
"2017-12-04 04:54","100.13"
"2017-12-04 05:04","100.13"
"2017-12-04 05:14","100.10"
"2017-12-04 05:24","100.13"
"2017-12-04 05:34","100.13"
"2017-12-04 05:44","100.10"
"2017-12-04 05:54","100.10"
"2017-12-04 06:04","100.10"
"2017-12-04 06:14","100.10"
"2017-12-04 06:24","100.06"
"2017-12-04 06:34","100.10"
"2017-12-04 06:44","100.10"
"2017-12-04 06:54","100.06"
