"Time EST","Air Temp (°C)"
"2018-01-01 00:04","-18.7"
"2018-01-01 00:14","-18.8"
"2018-01-01 00:24","-19.5"
"2018-01-01 00:34","-20.1"
"2018-01-01 00:44","-18.4"
"2018-01-01 00:54","-18.4"
"2018-01-01 01:04","-19.0"
"2018-01-01 01:14","-18.8"
"2018-01-01 01:24","-17.7"
"2018-01-01 01:34","-17.3"
"2018-01-01 01:44","-17.4"
"2018-01-01 01:54","-17.1"
"2018-01-01 02:04","-17.8"
"2018-01-01 02:14","-17.8"
"2018-01-01 02:24","-17.4"
"2018-01-01 02:34","-17.6"
"2018-01-01 02:44","-17.4"
"2018-01-01 02:54","-17.0"
"2018-01-01 03:04","-17.2"
"2018-01-01 03:14","-17.0"
"2018-01-01 03:24","-16.6"
"2018-01-01 03:34","-15.7"
"2018-01-01 03:44","-15.3"
"2018-01-01 03:54","-14.8"
"2018-01-01 04:04","-14.3"
"2018-01-01 04:14","-14.1"
"2018-01-01 04:24","-14.0"
"2018-01-01 04:34","-14.0"
"2018-01-01 04:44","-14.2"
"2018-01-01 04:54","-14.3"
"2018-01-01 05:04","-14.2"
"2018-01-01 05:14","-14.5"
"2018-01-01 05:24","-14.5"
"2018-01-01 05:34","-14.5"
"2018-01-01 05:44","-14.5"
"2018-01-01 05:54","-14.1"
"2018-01-01 06:04","-13.3"
"2018-01-01 06:14","-13.1"
"2018-01-01 06:24","-13.1"
"2018-01-01 06:34","-13.1"
"2018-01-01 06:44","-13.0"
"2018-01-01 06:54","-13.0"
"2018-01-01 07:04","-13.1"
"2018-01-01 07:14","-13.4"
"2018-01-01 07:24","-13.5"
"2018-01-01 07:34","-13.5"
"2018-01-01 07:44","-13.6"
"2018-01-01 07:54","-13.9"
"2018-01-01 08:04","-13.9"
"2018-01-01 08:14","-14.1"
"2018-01-01 08:24","-14.1"
"2018-01-01 08:34","-14.1"
"2018-01-01 08:44","-13.9"
"2018-01-01 08:54","-14.1"
"2018-01-01 09:04","-14.0"
"2018-01-01 09:14","-13.6"
"2018-01-01 09:24","-13.3"
"2018-01-01 09:34","-13.1"
"2018-01-01 09:44","-13.0"
"2018-01-01 09:54","-12.9"
"2018-01-01 10:04","-12.9"
"2018-01-01 10:14","-13.0"
"2018-01-01 10:24","-12.7"
"2018-01-01 10:34","-12.8"
"2018-01-01 10:44","-12.6"
"2018-01-01 10:54","-12.5"
"2018-01-01 11:04","-12.4"
"2018-01-01 11:14","-12.2"
"2018-01-01 11:24","-12.1"
"2018-01-01 11:34","-11.9"
"2018-01-01 11:44","-11.8"
"2018-01-01 11:54","-11.8"
"2018-01-01 12:04","-11.6"
"2018-01-01 12:14","-11.4"
"2018-01-01 12:24","-11.6"
"2018-01-01 12:34","-11.4"
"2018-01-01 12:44","-11.4"
"2018-01-01 12:54","-11.2"
"2018-01-01 13:04","-10.9"
"2018-01-01 13:14","-10.9"
"2018-01-01 13:24","-10.8"
"2018-01-01 13:34","-11.1"
"2018-01-01 13:44","-10.8"
"2018-01-01 13:54","-10.5"
"2018-01-01 14:04","-10.6"
"2018-01-01 14:14","-10.6"
"2018-01-01 14:24","-10.7"
"2018-01-01 14:34","-10.5"
"2018-01-01 14:44","-10.4"
"2018-01-01 14:54","-10.5"
"2018-01-01 15:04","-10.5"
"2018-01-01 15:14","-10.6"
"2018-01-01 15:24","-10.6"
"2018-01-01 15:34","-10.5"
"2018-01-01 15:44","-10.6"
"2018-01-01 15:54","-10.8"
"2018-01-01 16:04","-10.7"
"2018-01-01 16:14","-10.6"
"2018-01-01 16:24","-10.6"
"2018-01-01 16:34","-10.6"
"2018-01-01 16:44","-10.6"
"2018-01-01 16:54","-10.7"
"2018-01-01 17:04","-10.6"
"2018-01-01 17:14","-10.7"
"2018-01-01 17:24","-10.7"
"2018-01-01 17:34","-10.7"
"2018-01-01 17:44","-10.7"
"2018-01-01 17:54","-10.7"
"2018-01-01 18:04","-10.7"
"2018-01-01 18:14","-10.8"
"2018-01-01 18:24","-10.9"
"2018-01-01 18:34","-10.9"
"2018-01-01 18:44","-10.8"
"2018-01-01 18:54","-10.8"
