"Time EST","Pressure (kPa)"
"2018-01-01 00:04","101.08"
"2018-01-01 00:14","101.08"
"2018-01-01 00:24","101.08"
"2018-01-01 00:34","101.08"
"2018-01-01 00:44","101.08"
"2018-01-01 00:54","101.08"
"2018-01-01 01:04","101.05"
"2018-01-01 01:14","101.05"
"2018-01-01 01:24","101.05"
"2018-01-01 01:34","101.05"
"2018-01-01 01:44","101.05"
"2018-01-01 01:54","101.05"
"2018-01-01 02:04","101.08"
"2018-01-01 02:14","101.08"
"2018-01-01 02:24","101.05"
"2018-01-01 02:34","101.08"
"2018-01-01 02:44","101.05"
"2018-01-01 02:54","101.05"
"2018-01-01 03:04","101.05"
"2018-01-01 03:14","101.05"
"2018-01-01 03:24","101.05"
"2018-01-01 03:34","101.05"
"2018-01-01 03:44","101.05"
"2018-01-01 03:54","101.01"
"2018-01-01 04:04","101.01"
"2018-01-01 04:14","101.01"
"2018-01-01 04:24","101.01"
"2018-01-01 04:34","101.01"
"2018-01-01 04:44","101.01"
"2018-01-01 04:54","101.01"
"2018-01-01 05:04","101.01"
"2018-01-01 05:14","100.98"
"2018-01-01 05:24","100.98"
"2018-01-01 05:34","100.98"
"2018-01-01 05:44","100.98"
"2018-01-01 05:54","101.01"
"2018-01-01 06:04","100.98"
"2018-01-01 06:14","100.98"
"2018-01-01 06:24","100.98"
"2018-01-01 06:34","101.01"
"2018-01-01 06:44","101.01"
"2018-01-01 06:54","101.01"
"2018-01-01 07:04","101.01"
"2018-01-01 07:14","101.01"
"2018-01-01 07:24","101.01"
"2018-01-01 07:34","101.01"
"2018-01-01 07:44","101.01"
"2018-01-01 07:54","101.01"
"2018-01-01 08:04","101.01"
"2018-01-01 08:14","101.01"
"2018-01-01 08:24","101.01"
"2018-01-01 08:34","101.01"
"2018-01-01 08:44","101.05"
"2018-01-01 08:54","101.05"
"2018-01-01 09:04","101.05"
"2018-01-01 09:14","101.05"
"2018-01-01 09:24","101.05"
"2018-01-01 09:34","101.05"
"2018-01-01 09:44","101.05"
"2018-01-01 09:54","101.05"
"2018-01-01 10:04","101.05"
"2018-01-01 10:14","101.08"
"2018-01-01 10:24","101.08"
"2018-01-01 10:34","101.08"
"2018-01-01 10:44","101.08"
"2018-01-01 10:54","101.08"
"2018-01-01 11:04","101.08"
"2018-01-01 11:14","101.08"
"2018-01-01 11:24","101.08"
"2018-01-01 11:34","101.08"
"2018-01-01 11:44","101.05"
"2018-01-01 11:54","101.05"
"2018-01-01 12:04","101.01"
"2018-01-01 12:14","101.01"
"2018-01-01 12:24","101.01"
"2018-01-01 12:34","101.01"
"2018-01-01 12:44","100.98"
"2018-01-01 12:54","101.01"
"2018-01-01 13:04","100.98"
"2018-01-01 13:14","100.98"
"2018-01-01 13:24","100.98"
"2018-01-01 13:34","100.98"
"2018-01-01 13:44","101.01"
"2018-01-01 13:54","101.01"
"2018-01-01 14:04","100.98"
"2018-01-01 14:14","101.01"
"2018-01-01 14:24","101.01"
"2018-01-01 14:34","101.01"
"2018-01-01 14:44","101.01"
"2018-01-01 14:54","101.01"
"2018-01-01 15:04","101.01"
"2018-01-01 15:14","101.05"
"2018-01-01 15:24","101.05"
"2018-01-01 15:34","101.08"
"2018-01-01 15:44","101.08"
"2018-01-01 15:54","101.08"
