"Time EST","Pressure (kPa)"
"2017-11-01 00:04","100.06"
"2017-11-01 00:14","100.03"
"2017-11-01 00:24","100.03"
"2017-11-01 00:34","99.99"
"2017-11-01 00:44","100.03"
"2017-11-01 00:54","99.99"
"2017-11-01 01:05","99.99"
"2017-11-01 01:14","99.96"
"2017-11-01 01:24","99.96"
"2017-11-01 01:34","99.99"
"2017-11-01 01:44","99.96"
"2017-11-01 01:54","99.99"
"2017-11-01 02:04","99.99"
"2017-11-01 02:14","99.96"
"2017-11-01 02:24","99.99"
"2017-11-01 02:34","99.99"
"2017-11-01 02:44","99.99"
"2017-11-01 02:54","99.99"
"2017-11-01 03:04","99.99"
"2017-11-01 03:14","99.99"
"2017-11-01 03:24","99.99"
"2017-11-01 03:34","100.03"
"2017-11-01 03:44","100.03"
"2017-11-01 03:54","100.03"
"2017-11-01 04:04","100.03"
"2017-11-01 04:14","100.03"
"2017-11-01 04:24","100.03"
"2017-11-01 04:34","99.99"
"2017-11-01 04:44","99.99"
"2017-11-01 04:54","99.99"
"2017-11-01 05:04","99.99"
"2017-11-01 05:14","99.99"
"2017-11-01 05:24","99.99"
"2017-11-01 05:34","99.96"
"2017-11-01 05:44","99.96"
"2017-11-01 05:54","99.96"
"2017-11-01 06:04","99.96"
"2017-11-01 06:14","99.92"
"2017-11-01 06:24","99.96"
"2017-11-01 06:34","99.92"
"2017-11-01 06:44","99.92"
"2017-11-01 06:54","99.96"
"2017-11-01 07:04","99.92"
"2017-11-01 07:14","99.96"
"2017-11-01 07:24","99.96"
"2017-11-01 07:34","99.96"
"2017-11-01 07:44","99.96"
"2017-11-01 07:54","99.96"
"2017-11-01 08:04","99.96"
"2017-11-01 08:14","99.96"
"2017-11-01 08:24","99.96"
"2017-11-01 08:34","99.96"
"2017-11-01 08:44","99.96"
"2017-11-01 08:54","99.99"
"2017-11-01 09:04","99.99"
"2017-11-01 09:14","99.99"
"2017-11-01 09:24","99.99"
"2017-11-01 09:34","99.99"
"2017-11-01 09:44","99.99"
"2017-11-01 09:54","99.99"
"2017-11-01 10:04","99.99"
"2017-11-01 10:14","99.96"
"2017-11-01 10:24","99.96"
"2017-11-01 10:34","99.96"
"2017-11-01 10:44","99.96"
"2017-11-01 10:54","99.96"
"2017-11-01 11:04","99.96"
"2017-11-01 11:14","99.92"
"2017-11-01 11:24","99.92"
"2017-11-01 11:34","99.96"
"2017-11-01 11:44","99.96"
"2017-11-01 11:54","99.92"
"2017-11-01 12:04","99.92"
"2017-11-01 12:14","99.92"
"2017-11-01 12:24","99.92"
"2017-11-01 12:34","99.89"
"2017-11-01 12:44","99.85"
"2017-11-01 12:54","99.85"
"2017-11-01 13:04","99.85"
"2017-11-01 13:14","99.85"
"2017-11-01 13:24","99.82"
"2017-11-01 13:34","99.82"
"2017-11-01 13:44","99.85"
"2017-11-01 13:54","99.85"
"2017-11-01 14:04","99.82"
"2017-11-01 14:14","99.82"
