"Time EST","Pressure (kPa)"
"2017-12-01 00:04","97.60"
"2017-12-01 00:14","97.61"
"2017-12-01 00:24","97.61"
"2017-12-01 00:34","97.61"
"2017-12-01 00:44","97.61"
"2017-12-01 00:54","97.64"
"2017-12-01 01:04","97.64"
"2017-12-01 01:14","97.66"
"2017-12-01 01:24","97.66"
"2017-12-01 01:34","97.68"
"2017-12-01 01:44","97.69"
"2017-12-01 01:54","97.71"
"2017-12-01 02:04","97.71"
"2017-12-01 02:14","97.73"
"2017-12-01 02:24","97.74"
"2017-12-01 02:34","97.76"
"2017-12-01 02:44","97.76"
"2017-12-01 02:54","97.78"
"2017-12-01 03:04","97.77"
"2017-12-01 03:14","97.79"
"2017-12-01 03:34","97.80"
"2017-12-01 03:54","97.81"
"2017-12-01 04:14","97.82"
"2017-12-01 04:34","97.84"
"2017-12-01 04:54","97.84"
"2017-12-01 05:14","97.87"
"2017-12-01 05:34","97.89"
"2017-12-01 05:54","97.92"
"2017-12-01 06:14","97.96"
"2017-12-01 06:34","97.97"
"2017-12-01 06:54","97.97"
"2017-12-01 07:14","98.00"
"2017-12-01 07:34","98.00"
"2017-12-01 07:54","98.00"
"2017-12-01 08:14","98.03"
"2017-12-01 08:34","98.06"
"2017-12-01 08:54","98.05"
"2017-12-01 09:14","98.06"
"2017-12-01 09:34","98.07"
"2017-12-01 09:54","98.08"
"2017-12-01 10:14","98.10"
"2017-12-01 10:34","98.14"
"2017-12-01 10:54","98.12"
"2017-12-01 11:14","98.12"
"2017-12-01 11:34","98.10"
"2017-12-01 11:54","98.09"
"2017-12-01 12:14","98.09"
"2017-12-01 12:34","98.07"
"2017-12-01 12:54","98.07"
"2017-12-01 13:14","98.08"
"2017-12-01 13:34","98.06"
"2017-12-01 13:44","98.06"
"2017-12-01 13:54","98.07"
"2017-12-01 14:04","98.06"
"2017-12-01 14:14","98.05"
"2017-12-01 14:24","98.05"
"2017-12-01 14:34","98.05"
"2017-12-01 14:44","98.05"
"2017-12-01 14:54","98.04"
"2017-12-01 15:04","98.04"
"2017-12-01 15:14","98.04"
"2017-12-01 15:24","98.04"
"2017-12-01 15:34","98.05"
"2017-12-01 15:44","98.04"
"2017-12-01 15:54","98.05"
"2017-12-01 16:04","98.05"
"2017-12-01 16:14","98.05"
"2017-12-01 16:24","98.05"
"2017-12-01 16:34","98.06"
"2017-12-01 16:44","98.06"
"2017-12-01 16:54","98.07"
"2017-12-01 17:04","98.06"
"2017-12-01 17:14","98.08"
"2017-12-01 17:24","98.09"
"2017-12-01 17:34","98.10"
"2017-12-01 17:44","98.11"
"2017-12-01 17:54","98.11"
"2017-12-01 18:04","98.11"
"2017-12-01 18:14","98.10"
"2017-12-01 18:24","98.11"
"2017-12-01 18:34","98.14"
"2017-12-01 18:44","98.14"
"2017-12-01 18:54","98.13"
"2017-12-01 19:04","98.13"
"2017-12-01 19:14","98.12"
"2017-12-01 19:24","98.12"
"2017-12-01 19:34","98.12"
"2017-12-01 19:44","98.13"
"2017-12-01 19:54","98.14"
"2017-12-01 20:04","98.13"
"2017-12-01 20:14","98.13"
"2017-12-01 20:24","98.12"
"2017-12-01 20:34","98.11"
"2017-12-01 20:44","98.11"
"2017-12-01 20:54","98.11"
"2017-12-01 21:04","98.12"
"2017-12-01 21:14","98.10"
"2017-12-01 21:24","98.09"
"2017-12-01 21:34","98.10"
"2017-12-01 21:44","98.08"
"2017-12-01 21:54","98.07"
"2017-12-01 22:04","98.07"
"2017-12-01 22:14","98.07"
"2017-12-01 22:24","98.06"
"2017-12-01 22:34","98.09"
"2017-12-01 22:44","98.08"
"2017-12-01 22:54","98.09"
"2017-12-01 23:04","98.09"
"2017-12-01 23:14","98.09"
"2017-12-01 23:24","98.08"
"2017-12-01 23:34","98.08"
"2017-12-01 23:44","98.07"
"2017-12-01 23:54","98.07"
"2017-12-02 00:04","98.07"
"2017-12-02 00:14","98.07"
"2017-12-02 00:24","98.07"
"2017-12-02 00:34","98.06"
"2017-12-02 00:44","98.05"
"2017-12-02 00:54","98.05"
"2017-12-02 01:04","98.05"
"2017-12-02 01:14","98.05"
"2017-12-02 01:24","98.05"
"2017-12-02 01:34","98.05"
"2017-12-02 01:44","98.05"
"2017-12-02 01:54","98.06"
"2017-12-02 02:04","98.06"
"2017-12-02 02:14","98.07"
"2017-12-02 02:24","98.06"
"2017-12-02 02:34","98.07"
"2017-12-02 02:44","98.05"
"2017-12-02 02:54","98.06"
"2017-12-02 03:04","98.06"
"2017-12-02 03:14","98.06"
"2017-12-02 03:24","98.06"
"2017-12-02 03:34","98.04"
"2017-12-02 03:44","98.03"
"2017-12-02 03:54","98.01"
"2017-12-02 04:04","98.01"
"2017-12-02 04:14","98.01"
"2017-12-02 04:24","98.00"
"2017-12-02 04:34","98.02"
"2017-12-02 04:44","98.02"
"2017-12-02 04:54","98.01"
"2017-12-02 05:04","98.01"
"2017-12-02 05:14","98.03"
"2017-12-02 05:24","98.02"
"2017-12-02 05:34","98.02"
"2017-12-02 05:44","98.01"
"2017-12-02 05:54","97.99"
"2017-12-02 06:04","97.98"
"2017-12-02 06:14","97.99"
"2017-12-02 06:24","98.00"
"2017-12-02 06:34","98.00"
"2017-12-02 06:44","98.00"
"2017-12-02 06:54","98.01"
"2017-12-02 07:04","98.00"
"2017-12-02 07:14","98.01"
"2017-12-02 07:24","98.02"
"2017-12-02 07:34","98.03"
"2017-12-02 07:44","98.02"
"2017-12-02 07:54","98.01"
"2017-12-02 08:04","98.01"
"2017-12-02 08:14","98.01"
"2017-12-02 08:24","98.02"
"2017-12-02 08:34","98.03"
"2017-12-02 08:44","98.03"
"2017-12-02 08:54","98.02"
"2017-12-02 09:04","98.03"
"2017-12-02 09:14","98.04"
"2017-12-02 09:24","98.04"
"2017-12-02 09:34","98.03"
"2017-12-02 09:44","98.03"
"2017-12-02 09:54","98.04"
"2017-12-02 10:04","98.03"
"2017-12-02 10:14","98.03"
"2017-12-02 10:24","98.03"
"2017-12-02 10:34","98.02"
"2017-12-02 10:44","98.00"
"2017-12-02 10:54","97.99"
"2017-12-02 11:04","97.98"
"2017-12-02 11:14","97.96"
"2017-12-02 11:24","97.95"
"2017-12-02 11:34","97.92"
"2017-12-02 11:44","97.92"
"2017-12-02 11:54","97.90"
"2017-12-02 12:04","97.90"
"2017-12-02 12:14","97.88"
"2017-12-02 12:24","97.87"
"2017-12-02 12:34","97.87"
"2017-12-02 12:44","97.87"
"2017-12-02 12:54","97.84"
"2017-12-02 13:04","97.85"
"2017-12-02 13:14","97.83"
"2017-12-02 13:24","97.83"
"2017-12-02 13:34","97.82"
"2017-12-02 13:44","97.82"
"2017-12-02 13:54","97.79"
"2017-12-02 14:04","97.79"
"2017-12-02 14:14","97.79"
"2017-12-02 14:24","97.79"
"2017-12-02 14:34","97.77"
"2017-12-02 14:44","97.77"
"2017-12-02 14:54","97.77"
"2017-12-02 15:04","97.77"
"2017-12-02 15:14","97.76"
"2017-12-02 15:24","97.77"
"2017-12-02 15:34","97.78"
"2017-12-02 15:44","97.78"
"2017-12-02 15:54","97.79"
"2017-12-02 16:04","97.79"
"2017-12-02 16:14","97.80"
"2017-12-02 16:24","97.79"
"2017-12-02 16:34","97.79"
"2017-12-02 16:44","97.78"
"2017-12-02 16:54","97.77"
"2017-12-02 17:04","97.77"
"2017-12-02 17:14","97.79"
"2017-12-02 17:24","97.81"
"2017-12-02 17:34","97.81"
"2017-12-02 17:44","97.81"
"2017-12-02 17:54","97.82"
"2017-12-02 18:04","97.83"
"2017-12-02 18:14","97.82"
"2017-12-02 18:24","97.82"
"2017-12-02 18:34","97.83"
"2017-12-02 18:44","97.81"
"2017-12-02 18:54","97.82"
"2017-12-02 19:04","97.82"
"2017-12-02 19:14","97.81"
"2017-12-02 19:24","97.80"
"2017-12-02 19:34","97.81"
"2017-12-02 19:44","97.81"
"2017-12-02 19:54","97.80"
"2017-12-02 20:04","97.81"
"2017-12-02 20:14","97.82"
"2017-12-02 20:24","97.81"
"2017-12-02 20:34","97.81"
"2017-12-02 20:44","97.81"
"2017-12-02 20:54","97.80"
"2017-12-02 21:04","97.80"
"2017-12-02 21:14","97.79"
"2017-12-02 21:24","97.79"
"2017-12-02 21:34","97.79"
"2017-12-02 21:44","97.79"
"2017-12-02 21:54","97.78"
"2017-12-02 22:04","97.78"
"2017-12-02 22:14","97.78"
"2017-12-02 22:24","97.77"
"2017-12-02 22:34","97.78"
"2017-12-02 22:44","97.78"
"2017-12-02 22:54","97.78"
"2017-12-02 23:04","97.78"
"2017-12-02 23:14","97.78"
"2017-12-02 23:24","97.78"
"2017-12-02 23:34","97.77"
"2017-12-02 23:44","97.77"
"2017-12-02 23:54","97.76"
"2017-12-03 00:04","97.76"
"2017-12-03 00:14","97.75"
"2017-12-03 00:24","97.75"
"2017-12-03 00:34","97.74"
"2017-12-03 00:44","97.74"
"2017-12-03 00:54","97.73"
"2017-12-03 01:04","97.73"
"2017-12-03 01:14","97.74"
"2017-12-03 01:24","97.73"
"2017-12-03 01:34","97.74"
"2017-12-03 01:44","97.73"
"2017-12-03 01:54","97.74"
"2017-12-03 02:04","97.73"
"2017-12-03 02:14","97.74"
"2017-12-03 02:24","97.74"
"2017-12-03 02:34","97.74"
"2017-12-03 02:44","97.74"
"2017-12-03 02:54","97.74"
"2017-12-03 03:04","97.74"
"2017-12-03 03:14","97.75"
"2017-12-03 03:24","97.74"
"2017-12-03 03:34","97.72"
"2017-12-03 03:44","97.72"
"2017-12-03 03:54","97.71"
"2017-12-03 04:04","97.71"
"2017-12-03 04:14","97.72"
"2017-12-03 04:24","97.72"
"2017-12-03 04:34","97.73"
"2017-12-03 04:44","97.71"
"2017-12-03 04:54","97.72"
"2017-12-03 05:04","97.73"
"2017-12-03 05:14","97.74"
"2017-12-03 05:24","97.74"
"2017-12-03 05:34","97.76"
"2017-12-03 05:44","97.76"
"2017-12-03 05:54","97.76"
"2017-12-03 06:04","97.76"
"2017-12-03 06:14","97.76"
"2017-12-03 06:24","97.76"
"2017-12-03 06:34","97.76"
"2017-12-03 06:44","97.76"
"2017-12-03 06:54","97.77"
"2017-12-03 07:04","97.77"
"2017-12-03 07:14","97.78"
"2017-12-03 07:24","97.78"
"2017-12-03 07:34","97.81"
"2017-12-03 07:44","97.82"
"2017-12-03 07:54","97.84"
"2017-12-03 08:04","97.84"
"2017-12-03 08:14","97.83"
"2017-12-03 08:24","97.84"
"2017-12-03 08:34","97.85"
"2017-12-03 08:44","97.86"
"2017-12-03 08:54","97.85"
"2017-12-03 09:04","97.85"
"2017-12-03 09:14","97.87"
"2017-12-03 09:24","97.88"
"2017-12-03 09:34","97.88"
"2017-12-03 09:44","97.89"
"2017-12-03 09:54","97.91"
"2017-12-03 10:04","97.91"
"2017-12-03 10:14","97.93"
"2017-12-03 10:24","97.94"
"2017-12-03 10:34","97.95"
"2017-12-03 10:44","97.96"
"2017-12-03 10:54","97.95"
"2017-12-03 11:04","97.96"
"2017-12-03 11:14","97.94"
"2017-12-03 11:24","97.94"
"2017-12-03 11:34","97.94"
"2017-12-03 11:44","97.94"
"2017-12-03 11:54","97.95"
"2017-12-03 12:04","97.94"
"2017-12-03 12:14","97.93"
"2017-12-03 12:24","97.92"
"2017-12-03 12:34","97.93"
"2017-12-03 12:44","97.93"
"2017-12-03 12:54","97.92"
"2017-12-03 13:04","97.92"
"2017-12-03 13:14","97.91"
"2017-12-03 13:24","97.91"
"2017-12-03 13:34","97.90"
"2017-12-03 13:44","97.89"
"2017-12-03 13:54","97.90"
"2017-12-03 14:04","97.89"
"2017-12-03 14:14","97.93"
"2017-12-03 14:24","97.92"
"2017-12-03 14:34","97.94"
"2017-12-03 14:44","97.94"
"2017-12-03 14:54","97.92"
"2017-12-03 15:04","97.92"
"2017-12-03 15:14","97.92"
"2017-12-03 15:24","97.93"
"2017-12-03 15:34","97.93"
"2017-12-03 15:44","97.93"
