"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:04","12","NW","15"
"2017-12-01 00:14","17","NW","20"
"2017-12-01 00:24","11","NW","15"
"2017-12-01 00:34","11","WNW","14"
"2017-12-01 00:44","10","NW","14"
"2017-12-01 00:54","8","WNW","10"
"2017-12-01 01:04","8","WNW","12"
"2017-12-01 01:14","1","WNW","6"
"2017-12-01 01:24","7","WNW","10"
"2017-12-01 01:34","5","WNW","8"
"2017-12-01 01:44","5","NW","9"
"2017-12-01 01:54","5","WNW","8"
"2017-12-01 02:04","7","NW","10"
"2017-12-01 02:14","15","NW","19"
"2017-12-01 02:24","11","NW","14"
"2017-12-01 02:34","5","WNW","10"
"2017-12-01 02:44","8","WNW","10"
"2017-12-01 02:54","10","WNW","14"
"2017-12-01 03:04","10","NW","14"
"2017-12-01 03:14","14","NW","20"
"2017-12-01 03:34","9","NNW","12"
"2017-12-01 03:54","11","NNW","14"
"2017-12-01 04:14","9","WNW","12"
"2017-12-01 04:34","9","WNW","13"
"2017-12-01 04:54","9","WNW","13"
"2017-12-01 05:14","7","WNW","11"
"2017-12-01 05:34","0","NW","0"
"2017-12-01 05:54","5","WNW","12"
"2017-12-01 06:14","3","WNW","10"
"2017-12-01 06:34","5","WNW","7"
"2017-12-01 06:54","5","WNW","9"
"2017-12-01 07:14","5","WNW","8"
"2017-12-01 07:34","0","WNW","0"
"2017-12-01 07:54","0","W","0"
"2017-12-01 08:14","1","WSW","4"
"2017-12-01 08:34","0","WSW","0"
"2017-12-01 08:54","1","SW","6"
"2017-12-01 09:14","5","WSW","8"
"2017-12-01 09:34","0","WSW","0"
"2017-12-01 09:54","8","SW","10"
"2017-12-01 10:14","9","SW","12"
"2017-12-01 10:34","7","WSW","9"
"2017-12-01 10:54","7","WSW","9"
"2017-12-01 11:14","5","W","9"
"2017-12-01 11:34","10","W","18"
"2017-12-01 11:54","5","SW","12"
"2017-12-01 12:14","7","NW","10"
"2017-12-01 12:34","3","SW","9"
"2017-12-01 12:54","12","WSW","15"
"2017-12-01 13:14","11","WNW","15"
"2017-12-01 13:34","11","W","13"
"2017-12-01 13:44","5","WSW","9"
"2017-12-01 13:54","8","WSW","12"
"2017-12-01 14:04","3","W","13"
"2017-12-01 14:14","8","W","12"
"2017-12-01 14:24","10","W","14"
"2017-12-01 14:34","13","WSW","17"
"2017-12-01 14:44","12","W","15"
"2017-12-01 14:54","12","SW","15"
