"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:04","-8.5","50"
"2018-02-01 00:14","-8.6","50"
"2018-02-01 00:24","-8.5","50"
"2018-02-01 00:34","-8.4","51"
"2018-02-01 00:44","-8.4","51"
"2018-02-01 00:54","-8.4","51"
"2018-02-01 01:04","-8.5","51"
"2018-02-01 01:14","-8.4","51"
"2018-02-01 01:24","-8.3","52"
"2018-02-01 01:34","-8.2","52"
"2018-02-01 01:44","-8.2","52"
"2018-02-01 01:54","-8.2","53"
"2018-02-01 02:04","-8.1","53"
"2018-02-01 02:14","-8.1","53"
"2018-02-01 02:24","-8.2","53"
"2018-02-01 02:34","-8.2","54"
"2018-02-01 02:44","-8.2","54"
"2018-02-01 02:54","-8.2","55"
"2018-02-01 03:04","-8.1","55"
"2018-02-01 03:14","-8.2","55"
"2018-02-01 03:24","-8.0","56"
"2018-02-01 03:34","-8.1","56"
"2018-02-01 03:44","-8.1","56"
"2018-02-01 03:54","-8.1","56"
"2018-02-01 04:04","-8.0","56"
"2018-02-01 04:14","-8.0","56"
"2018-02-01 04:24","-8.0","56"
"2018-02-01 04:34","-8.1","55"
"2018-02-01 04:44","-8.1","55"
"2018-02-01 04:54","-8.1","55"
"2018-02-01 05:04","-8.2","55"
"2018-02-01 05:14","-8.1","55"
"2018-02-01 05:24","-8.1","55"
"2018-02-01 05:34","-8.2","54"
"2018-02-01 05:44","-8.2","55"
"2018-02-01 05:54","-8.2","54"
"2018-02-01 06:04","-8.2","54"
"2018-02-01 06:14","-8.2","54"
"2018-02-01 06:24","-8.3","54"
"2018-02-01 06:34","-8.3","54"
"2018-02-01 06:44","-8.2","55"
"2018-02-01 06:54","-8.2","54"
"2018-02-01 07:04","-8.1","55"
"2018-02-01 07:14","-8.1","55"
"2018-02-01 07:24","-8.1","54"
"2018-02-01 07:34","-8.1","55"
"2018-02-01 07:44","-8.1","55"
"2018-02-01 07:54","-8.1","55"
"2018-02-01 08:04","-8.1","55"
"2018-02-01 08:14","-8.1","55"
"2018-02-01 08:24","-8.2","54"
"2018-02-01 08:34","-8.2","54"
"2018-02-01 08:44","-8.2","54"
"2018-02-01 08:54","-8.2","54"
"2018-02-01 09:04","-8.2","54"
"2018-02-01 09:14","-8.2","53"
"2018-02-01 09:24","-8.2","53"
"2018-02-01 09:34","-8.3","52"
"2018-02-01 09:44","-8.4","52"
"2018-02-01 09:54","-8.4","51"
"2018-02-01 10:04","-8.4","52"
"2018-02-01 10:14","-8.4","51"
"2018-02-01 10:24","-8.5","51"
"2018-02-01 10:34","-8.6","51"
"2018-02-01 10:44","-8.6","51"
"2018-02-01 10:54","-8.7","51"
"2018-02-01 11:04","-8.5","52"
"2018-02-01 11:14","-8.7","51"
"2018-02-01 11:24","-8.7","51"
"2018-02-01 11:34","-8.8","51"
"2018-02-01 11:44","-8.4","56"
"2018-02-01 11:54","-8.5","57"
"2018-02-01 12:04","-9.4","56"
"2018-02-01 12:14","-9.9","56"
"2018-02-01 12:24","-10.4","56"
"2018-02-01 12:34","-11.1","53"
"2018-02-01 12:44","-11.1","54"
"2018-02-01 12:54","-11.2","54"
"2018-02-01 13:04","-11.6","54"
"2018-02-01 13:14","-11.8","53"
"2018-02-01 13:24","-12.2","53"
"2018-02-01 13:34","-12.0","53"
"2018-02-01 13:44","-12.5","52"
"2018-02-01 13:54","-12.2","53"
"2018-02-01 14:04","-12.3","53"
"2018-02-01 14:14","-12.2","54"
"2018-02-01 14:24","-12.0","54"
"2018-02-01 14:34","-12.4","53"
"2018-02-01 14:44","-12.4","53"
"2018-02-01 14:54","-12.5","53"
"2018-02-01 15:04","-12.6","53"
"2018-02-01 15:14","-12.4","54"
"2018-02-01 15:24","-12.8","53"
"2018-02-01 15:34","-13.0","53"
"2018-02-01 15:44","-13.7","50"
"2018-02-01 15:54","-14.0","50"
"2018-02-01 16:04","-14.0","51"
"2018-02-01 16:14","-13.9","51"
"2018-02-01 16:24","-14.4","49"
"2018-02-01 16:34","-14.4","49"
"2018-02-01 16:44","-14.4","50"
"2018-02-01 16:54","-14.8","48"
"2018-02-01 17:04","-15.1","47"
"2018-02-01 17:14","-15.1","48"
"2018-02-01 17:24","-14.8","49"
"2018-02-01 17:34","-14.7","50"
"2018-02-01 17:44","-15.0","49"
"2018-02-01 17:54","-15.0","49"
"2018-02-01 18:04","-15.2","49"
"2018-02-01 18:14","-15.2","49"
"2018-02-01 18:24","-15.0","49"
"2018-02-01 18:34","-14.9","50"
"2018-02-01 18:44","-14.9","50"
"2018-02-01 18:54","-15.3","49"
"2018-02-01 19:04","-16.2","45"
"2018-02-01 19:14","-16.3","45"
"2018-02-01 19:24","-15.8","47"
"2018-02-01 19:34","-15.4","49"
"2018-02-01 19:44","-14.8","52"
"2018-02-01 19:54","-14.6","54"
"2018-02-01 20:04","-14.4","55"
"2018-02-01 20:14","-14.3","55"
"2018-02-01 20:24","-14.2","56"
"2018-02-01 20:34","-14.1","56"
"2018-02-01 20:44","-14.0","56"
"2018-02-01 20:54","-13.9","56"
"2018-02-01 21:04","-14.1","56"
"2018-02-01 21:14","-14.3","56"
"2018-02-01 21:24","-14.5","55"
"2018-02-01 21:34","-14.6","55"
"2018-02-01 21:44","-14.7","54"
"2018-02-01 21:54","-14.7","54"
"2018-02-01 22:04","-14.6","55"
"2018-02-01 22:14","-14.4","56"
"2018-02-01 22:24","-14.4","55"
"2018-02-01 22:34","-14.7","54"
"2018-02-01 22:44","-14.7","54"
"2018-02-01 22:54","-14.7","54"
"2018-02-01 23:04","-14.8","54"
"2018-02-01 23:14","-14.7","54"
"2018-02-01 23:24","-14.7","55"
"2018-02-01 23:34","-14.7","55"
"2018-02-01 23:44","-14.5","55"
"2018-02-01 23:54","-14.4","56"
"2018-02-02 00:04","-14.3","56"
"2018-02-02 00:14","-14.3","56"
"2018-02-02 00:24","-14.2","57"
"2018-02-02 00:34","-14.1","57"
"2018-02-02 00:44","-14.0","57"
"2018-02-02 00:54","-14.5","56"
"2018-02-02 01:04","-14.7","57"
"2018-02-02 01:14","-14.7","57"
"2018-02-02 01:24","-14.7","57"
"2018-02-02 01:34","-14.8","57"
"2018-02-02 01:44","-14.9","57"
"2018-02-02 01:54","-14.9","57"
"2018-02-02 02:04","-15.2","56"
"2018-02-02 02:14","-15.4","56"
"2018-02-02 02:24","-15.5","56"
"2018-02-02 02:34","-15.8","55"
"2018-02-02 02:44","-16.1","54"
"2018-02-02 02:54","-16.1","55"
"2018-02-02 03:04","-16.1","55"
"2018-02-02 03:14","-16.4","55"
"2018-02-02 03:24","-16.6","54"
"2018-02-02 03:34","-16.8","54"
"2018-02-02 03:44","-17.2","53"
"2018-02-02 03:54","-17.4","53"
"2018-02-02 04:04","-17.8","52"
"2018-02-02 04:14","-18.0","51"
"2018-02-02 04:24","-18.0","52"
"2018-02-02 04:34","-18.1","52"
"2018-02-02 04:44","-18.1","52"
"2018-02-02 04:54","-18.4","52"
"2018-02-02 05:04","-18.3","53"
"2018-02-02 05:14","-18.3","53"
"2018-02-02 05:24","-18.4","54"
"2018-02-02 05:34","-18.3","54"
"2018-02-02 05:44","-18.4","54"
"2018-02-02 05:54","-18.4","55"
"2018-02-02 06:04","-18.6","54"
"2018-02-02 06:14","-18.8","54"
"2018-02-02 06:24","-19.0","53"
"2018-02-02 06:34","-19.2","52"
"2018-02-02 06:44","-19.3","52"
"2018-02-02 06:54","-19.3","52"
"2018-02-02 07:04","-19.5","52"
"2018-02-02 07:14","-19.5","51"
"2018-02-02 07:24","-19.4","51"
"2018-02-02 07:34","-19.3","51"
"2018-02-02 07:44","-19.3","50"
"2018-02-02 07:54","-19.4","49"
"2018-02-02 08:04","-19.3","49"
"2018-02-02 08:14","-19.4","49"
"2018-02-02 08:24","-19.4","49"
"2018-02-02 08:34","-19.4","49"
"2018-02-02 08:44","-19.3","48"
"2018-02-02 08:54","-19.2","48"
"2018-02-02 09:04","-19.2","48"
"2018-02-02 09:14","-19.2","48"
"2018-02-02 09:24","-19.2","48"
"2018-02-02 09:34","-19.0","48"
"2018-02-02 09:44","-19.2","48"
"2018-02-02 09:54","-19.2","47"
"2018-02-02 10:04","-19.1","47"
"2018-02-02 10:14","-19.0","47"
"2018-02-02 10:24","-19.1","47"
"2018-02-02 10:34","-19.0","47"
"2018-02-02 10:44","-19.0","46"
"2018-02-02 10:54","-18.9","47"
"2018-02-02 11:04","-18.6","47"
"2018-02-02 11:14","-18.5","47"
"2018-02-02 11:24","-18.4","48"
"2018-02-02 11:34","-18.5","46"
"2018-02-02 11:44","-18.6","46"
"2018-02-02 11:54","-18.8","46"
"2018-02-02 12:04","-18.7","46"
"2018-02-02 12:14","-18.6","45"
"2018-02-02 12:24","-18.8","43"
"2018-02-02 12:34","-19.0","44"
"2018-02-02 12:44","-18.9","44"
"2018-02-02 12:54","-18.8","44"
"2018-02-02 13:04","-19.9","39"
"2018-02-02 13:14","-21.0","36"
