"Time EST","Pressure (kPa)"
"2018-01-01 00:04","98.46"
"2018-01-01 00:14","98.46"
"2018-01-01 00:24","98.45"
"2018-01-01 00:34","98.45"
"2018-01-01 00:44","98.45"
"2018-01-01 00:54","98.43"
"2018-01-01 01:04","98.44"
"2018-01-01 01:14","98.43"
"2018-01-01 01:24","98.44"
"2018-01-01 01:34","98.41"
"2018-01-01 01:44","98.40"
"2018-01-01 01:54","98.40"
"2018-01-01 02:04","98.40"
"2018-01-01 02:14","98.40"
"2018-01-01 02:24","98.40"
"2018-01-01 02:34","98.41"
"2018-01-01 02:44","98.40"
"2018-01-01 02:54","98.39"
"2018-01-01 03:04","98.38"
"2018-01-01 03:14","98.37"
"2018-01-01 03:24","98.36"
"2018-01-01 03:34","98.35"
"2018-01-01 03:44","98.34"
"2018-01-01 03:54","98.32"
"2018-01-01 04:04","98.32"
"2018-01-01 04:14","98.30"
"2018-01-01 04:24","98.30"
"2018-01-01 04:34","98.28"
"2018-01-01 04:44","98.27"
"2018-01-01 04:54","98.26"
"2018-01-01 05:04","98.25"
"2018-01-01 05:14","98.23"
"2018-01-01 05:24","98.23"
"2018-01-01 05:34","98.22"
"2018-01-01 05:44","98.23"
"2018-01-01 05:54","98.22"
"2018-01-01 06:04","98.21"
"2018-01-01 06:14","98.21"
"2018-01-01 06:24","98.21"
"2018-01-01 06:34","98.22"
"2018-01-01 06:44","98.22"
"2018-01-01 06:54","98.22"
"2018-01-01 07:04","98.21"
"2018-01-01 07:14","98.20"
"2018-01-01 07:24","98.20"
"2018-01-01 07:34","98.20"
"2018-01-01 07:44","98.19"
"2018-01-01 07:54","98.19"
"2018-01-01 08:04","98.19"
"2018-01-01 08:14","98.20"
"2018-01-01 08:24","98.20"
"2018-01-01 08:34","98.19"
"2018-01-01 08:44","98.20"
"2018-01-01 08:54","98.20"
"2018-01-01 09:04","98.19"
"2018-01-01 09:14","98.17"
"2018-01-01 09:24","98.18"
"2018-01-01 09:34","98.18"
"2018-01-01 09:44","98.18"
"2018-01-01 09:54","98.18"
"2018-01-01 10:04","98.18"
"2018-01-01 10:14","98.18"
"2018-01-01 10:24","98.17"
"2018-01-01 10:34","98.17"
"2018-01-01 10:44","98.18"
"2018-01-01 10:54","98.17"
"2018-01-01 11:04","98.18"
"2018-01-01 11:14","98.17"
"2018-01-01 11:24","98.17"
"2018-01-01 11:34","98.16"
"2018-01-01 11:44","98.15"
"2018-01-01 11:54","98.15"
"2018-01-01 12:04","98.16"
"2018-01-01 12:14","98.15"
"2018-01-01 12:24","98.15"
"2018-01-01 12:34","98.14"
"2018-01-01 12:44","98.14"
"2018-01-01 12:54","98.15"
"2018-01-01 13:04","98.14"
"2018-01-01 13:14","98.14"
"2018-01-01 13:24","98.15"
"2018-01-01 13:34","98.15"
"2018-01-01 13:44","98.15"
"2018-01-01 13:54","98.16"
"2018-01-01 14:04","98.16"
"2018-01-01 14:14","98.17"
"2018-01-01 14:24","98.17"
"2018-01-01 14:34","98.17"
"2018-01-01 14:44","98.17"
"2018-01-01 14:54","98.17"
"2018-01-01 15:04","98.19"
"2018-01-01 15:14","98.19"
"2018-01-01 15:24","98.19"
"2018-01-01 15:34","98.21"
"2018-01-01 15:44","98.22"
"2018-01-01 15:54","98.24"
"2018-01-01 16:04","98.24"
"2018-01-01 16:14","98.24"
"2018-01-01 16:24","98.25"
"2018-01-01 16:34","98.25"
"2018-01-01 16:44","98.26"
"2018-01-01 16:54","98.27"
"2018-01-01 17:04","98.28"
"2018-01-01 17:14","98.30"
"2018-01-01 17:24","98.31"
"2018-01-01 17:34","98.31"
"2018-01-01 17:44","98.33"
"2018-01-01 17:54","98.34"
"2018-01-01 18:04","98.36"
"2018-01-01 18:14","98.35"
"2018-01-01 18:24","98.36"
