"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:04","0","SSW","0"
"2018-01-01 00:14","0","SW","0"
"2018-01-01 00:24","0","SW","0"
"2018-01-01 00:34","0","SSW","0"
"2018-01-01 00:44","0","S","0"
"2018-01-01 00:54","0","SSE","0"
"2018-01-01 01:04","0","S","0"
"2018-01-01 01:14","0","S","0"
"2018-01-01 01:24","0","SSW","0"
"2018-01-01 01:34","0","S","0"
"2018-01-01 01:44","0","S","0"
"2018-01-01 01:54","0","S","0"
"2018-01-01 02:04","6","S","8"
"2018-01-01 02:14","7","S","9"
"2018-01-01 02:24","9","SSW","11"
"2018-01-01 02:34","6","SSW","9"
"2018-01-01 02:44","7","S","11"
"2018-01-01 02:54","7","S","10"
"2018-01-01 03:04","4","S","8"
"2018-01-01 03:14","0","S","6"
"2018-01-01 03:24","6","S","9"
"2018-01-01 03:34","3","S","10"
"2018-01-01 03:44","10","S","13"
"2018-01-01 03:54","9","S","13"
"2018-01-01 04:04","7","S","10"
"2018-01-01 04:14","8","S","13"
"2018-01-01 04:24","5","S","10"
"2018-01-01 04:34","12","SSW","16"
"2018-01-01 04:44","13","SSW","16"
"2018-01-01 04:54","14","SSW","17"
"2018-01-01 05:04","15","SSW","18"
"2018-01-01 05:14","14","SW","17"
"2018-01-01 05:24","15","SW","18"
"2018-01-01 05:34","14","SW","20"
"2018-01-01 05:44","14","SW","17"
"2018-01-01 05:54","14","SW","19"
"2018-01-01 06:04","15","WSW","18"
"2018-01-01 06:14","16","WSW","21"
"2018-01-01 06:24","18","WSW","22"
"2018-01-01 06:34","18","WSW","21"
"2018-01-01 06:44","17","WSW","21"
"2018-01-01 06:54","15","WSW","18"
"2018-01-01 07:04","18","WSW","24"
"2018-01-01 07:14","15","WSW","18"
"2018-01-01 07:24","15","WSW","18"
"2018-01-01 07:34","12","WSW","15"
"2018-01-01 07:44","13","WSW","17"
"2018-01-01 07:54","14","WSW","17"
"2018-01-01 08:04","12","WSW","15"
"2018-01-01 08:14","12","WSW","17"
"2018-01-01 08:24","14","WSW","18"
"2018-01-01 08:34","9","W","13"
"2018-01-01 08:44","14","W","20"
"2018-01-01 08:54","13","W","18"
"2018-01-01 09:04","12","W","16"
"2018-01-01 09:14","17","W","24"
"2018-01-01 09:24","17","W","22"
"2018-01-01 09:34","16","W","21"
"2018-01-01 09:44","18","W","25"
"2018-01-01 09:54","16","W","21"
"2018-01-01 10:04","17","W","21"
"2018-01-01 10:14","18","W","22"
"2018-01-01 10:24","20","W","25"
"2018-01-01 10:34","20","W","26"
"2018-01-01 10:44","18","W","23"
"2018-01-01 10:54","20","W","26"
"2018-01-01 11:04","16","W","21"
"2018-01-01 11:14","16","W","22"
"2018-01-01 11:24","20","WNW","25"
"2018-01-01 11:34","21","W","26"
"2018-01-01 11:44","22","WNW","26"
"2018-01-01 11:54","12","NNW","17"
