"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:04","-6.1","59"
"2018-03-01 00:14","-6.1","59"
"2018-03-01 00:24","-6.1","60"
"2018-03-01 00:34","-5.9","60"
"2018-03-01 00:44","-6.0","60"
"2018-03-01 00:54","-6.0","61"
"2018-03-01 01:04","-6.0","61"
"2018-03-01 01:14","-5.8","62"
"2018-03-01 01:24","-5.7","63"
"2018-03-01 01:34","-5.8","63"
"2018-03-01 01:44","-5.7","63"
"2018-03-01 01:54","-5.7","63"
"2018-03-01 02:04","-5.7","64"
"2018-03-01 02:14","-5.7","64"
"2018-03-01 02:24","-5.7","64"
"2018-03-01 02:34","-5.6","64"
"2018-03-01 02:44","-5.6","64"
"2018-03-01 02:54","-5.7","64"
"2018-03-01 03:04","-5.7","64"
"2018-03-01 03:14","-5.7","64"
"2018-03-01 03:24","-5.8","64"
"2018-03-01 03:34","-5.8","64"
"2018-03-01 03:44","-5.9","64"
"2018-03-01 03:54","-5.8","64"
"2018-03-01 04:04","-5.9","64"
"2018-03-01 04:14","-6.0","63"
"2018-03-01 04:24","-6.0","63"
"2018-03-01 04:34","-6.3","62"
"2018-03-01 04:44","-6.3","62"
"2018-03-01 04:54","-6.5","61"
"2018-03-01 05:04","-6.6","60"
"2018-03-01 05:14","-6.7","60"
"2018-03-01 05:24","-6.6","60"
"2018-03-01 05:34","-6.6","60"
"2018-03-01 05:44","-6.6","60"
"2018-03-01 05:54","-6.7","59"
"2018-03-01 06:04","-6.8","59"
"2018-03-01 06:14","-6.8","59"
"2018-03-01 06:24","-6.9","59"
"2018-03-01 06:34","-6.9","59"
"2018-03-01 06:44","-6.8","59"
"2018-03-01 06:54","-6.8","59"
"2018-03-01 07:04","-6.8","59"
"2018-03-01 07:14","-6.9","58"
"2018-03-01 07:24","-6.9","58"
"2018-03-01 08:24","-7.3","56"
"2018-03-01 08:34","-7.2","56"
"2018-03-01 08:44","-7.5","55"
"2018-03-01 08:54","-7.4","55"
"2018-03-01 09:04","-7.7","54"
"2018-03-01 09:14","-7.7","53"
"2018-03-01 09:24","-7.8","53"
"2018-03-01 09:34","-7.8","53"
"2018-03-01 09:44","-7.7","53"
"2018-03-01 09:54","-8.1","51"
"2018-03-01 10:04","-8.0","51"
"2018-03-01 10:14","-8.0","51"
"2018-03-01 10:24","-8.1","51"
"2018-03-01 10:34","-8.2","50"
"2018-03-01 10:44","-8.2","49"
"2018-03-01 10:54","-8.7","48"
"2018-03-01 11:04","-8.6","48"
"2018-03-01 11:14","-8.4","48"
"2018-03-01 11:24","-8.9","46"
"2018-03-01 11:34","-9.2","45"
"2018-03-01 11:44","-8.7","46"
"2018-03-01 11:54","-8.9","46"
"2018-03-01 12:04","-8.6","47"
"2018-03-01 12:14","-8.4","47"
"2018-03-01 12:24","-8.3","48"
"2018-03-01 12:34","-8.5","47"
"2018-03-01 12:44","-8.5","47"
"2018-03-01 12:54","-8.5","47"
"2018-03-01 13:04","-9.0","45"
"2018-03-01 13:14","-8.9","45"
"2018-03-01 13:24","-8.8","46"
"2018-03-01 13:34","-8.9","45"
"2018-03-01 13:44","-8.8","46"
"2018-03-01 13:54","-9.0","45"
"2018-03-01 14:04","-9.0","45"
"2018-03-01 14:14","-8.8","46"
"2018-03-01 14:24","-8.5","46"
"2018-03-01 14:34","-9.0","45"
"2018-03-01 14:44","-8.6","46"
"2018-03-01 14:54","-8.9","46"
"2018-03-01 15:04","-9.0","45"
"2018-03-01 15:14","-9.0","45"
"2018-03-01 15:24","-9.1","45"
"2018-03-01 15:34","-9.0","46"
"2018-03-01 15:44","-9.3","44"
"2018-03-01 15:54","-9.7","43"
"2018-03-01 16:04","-10.2","41"
"2018-03-01 16:14","-10.2","41"
"2018-03-01 16:24","-9.9","42"
"2018-03-01 16:34","-10.5","40"
"2018-03-01 16:44","-10.4","41"
"2018-03-01 16:54","-10.3","41"
"2018-03-01 17:04","-10.7","39"
"2018-03-01 17:14","-10.7","39"
"2018-03-01 17:24","-11.0","38"
"2018-03-01 17:34","-11.2","38"
"2018-03-01 17:44","-11.1","38"
"2018-03-01 17:54","-11.1","38"
"2018-03-01 18:04","-11.1","38"
"2018-03-01 18:14","-10.7","39"
"2018-03-01 18:24","-10.7","40"
"2018-03-01 18:34","-10.6","40"
"2018-03-01 18:44","-10.6","40"
"2018-03-01 18:54","-10.8","40"
"2018-03-01 19:04","-10.9","39"
"2018-03-01 19:14","-11.0","39"
"2018-03-01 19:24","-10.7","40"
"2018-03-01 19:34","-10.7","41"
"2018-03-01 19:44","-10.4","41"
"2018-03-01 19:54","-10.4","42"
"2018-03-01 20:04","-10.1","43"
"2018-03-01 20:14","-10.0","43"
"2018-03-01 20:24","-10.0","43"
"2018-03-01 20:34","-9.9","44"
"2018-03-01 20:44","-10.0","44"
"2018-03-01 20:54","-10.0","44"
"2018-03-01 21:04","-9.7","45"
"2018-03-01 21:14","-9.8","45"
"2018-03-01 21:24","-9.8","45"
"2018-03-01 21:34","-9.9","45"
"2018-03-01 21:44","-9.8","45"
"2018-03-01 21:54","-9.7","45"
"2018-03-01 22:04","-9.8","45"
"2018-03-01 22:14","-9.8","45"
"2018-03-01 22:24","-9.6","46"
"2018-03-01 22:34","-9.6","46"
"2018-03-01 22:44","-9.5","47"
"2018-03-01 22:54","-9.5","47"
"2018-03-01 23:04","-9.5","47"
"2018-03-01 23:14","-9.3","48"
"2018-03-01 23:24","-9.2","49"
"2018-03-01 23:34","-9.4","48"
"2018-03-01 23:44","-9.5","48"
"2018-03-01 23:54","-9.3","49"
"2018-03-02 00:04","-9.1","50"
"2018-03-02 00:14","-9.4","49"
