"Time EST","Pressure (kPa)"
"2017-12-01 00:04","104.82"
"2017-12-01 00:14","104.84"
"2017-12-01 00:24","104.84"
"2017-12-01 00:34","104.83"
"2017-12-01 00:44","104.84"
"2017-12-01 00:54","104.85"
"2017-12-01 00:55","104.86"
"2017-12-01 01:04","104.86"
"2017-12-01 01:14","104.88"
"2017-12-01 01:24","104.88"
"2017-12-01 01:34","104.89"
"2017-12-01 01:44","104.90"
"2017-12-01 01:54","104.90"
"2017-12-01 01:55","104.90"
"2017-12-01 02:04","104.91"
"2017-12-01 02:14","104.92"
"2017-12-01 02:24","104.92"
"2017-12-01 02:34","104.93"
"2017-12-01 02:44","104.93"
"2017-12-01 02:54","104.95"
"2017-12-01 02:55","104.94"
"2017-12-01 03:04","104.94"
"2017-12-01 03:14","104.96"
"2017-12-01 03:34","104.94"
"2017-12-01 03:54","104.95"
"2017-12-01 03:55","104.95"
"2017-12-01 04:14","104.96"
"2017-12-01 04:34","104.98"
"2017-12-01 04:54","104.99"
"2017-12-01 04:55","104.99"
"2017-12-01 05:14","105.00"
"2017-12-01 05:34","105.01"
"2017-12-01 05:54","105.02"
"2017-12-01 05:55","105.03"
"2017-12-01 06:14","105.03"
"2017-12-01 06:34","105.05"
"2017-12-01 06:54","105.05"
"2017-12-01 06:55","105.05"
"2017-12-01 07:14","105.05"
"2017-12-01 07:34","105.05"
"2017-12-01 07:54","105.08"
"2017-12-01 07:55","105.08"
"2017-12-01 08:14","105.09"
"2017-12-01 08:34","105.09"
"2017-12-01 08:54","105.09"
"2017-12-01 08:55","105.09"
"2017-12-01 09:14","105.10"
"2017-12-01 09:34","105.10"
"2017-12-01 09:54","105.13"
"2017-12-01 09:55","105.13"
"2017-12-01 10:14","105.15"
"2017-12-01 10:34","105.14"
"2017-12-01 10:54","105.15"
"2017-12-01 10:55","105.15"
"2017-12-01 11:14","105.15"
"2017-12-01 11:34","105.15"
"2017-12-01 11:54","105.14"
"2017-12-01 11:55","105.13"
"2017-12-01 12:14","105.13"
"2017-12-01 12:34","105.12"
"2017-12-01 12:54","105.13"
"2017-12-01 12:55","105.13"
"2017-12-01 13:14","105.12"
"2017-12-01 13:34","105.12"
"2017-12-01 13:44","105.12"
"2017-12-01 13:54","105.12"
"2017-12-01 13:55","105.11"
"2017-12-01 14:04","105.11"
"2017-12-01 14:14","105.11"
"2017-12-01 14:24","105.11"
"2017-12-01 14:34","105.11"
"2017-12-01 14:44","105.10"
"2017-12-01 14:54","105.10"
"2017-12-01 14:55","105.10"
"2017-12-01 15:04","105.09"
"2017-12-01 15:14","105.08"
"2017-12-01 15:24","105.09"
"2017-12-01 15:34","105.09"
"2017-12-01 15:44","105.09"
"2017-12-01 15:54","105.09"
"2017-12-01 15:55","105.10"
"2017-12-01 16:04","105.10"
"2017-12-01 16:14","105.10"
"2017-12-01 16:24","105.10"
"2017-12-01 16:34","105.11"
"2017-12-01 16:44","105.11"
"2017-12-01 16:54","105.11"
"2017-12-01 16:55","105.12"
"2017-12-01 17:04","105.11"
"2017-12-01 17:14","105.12"
"2017-12-01 17:24","105.11"
"2017-12-01 17:34","105.13"
"2017-12-01 17:44","105.13"
"2017-12-01 17:54","105.13"
"2017-12-01 17:55","105.13"
"2017-12-01 18:04","105.14"
"2017-12-01 18:14","105.14"
"2017-12-01 18:24","105.13"
"2017-12-01 18:34","105.12"
