"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:04","15","NW","20"
"2017-12-01 00:14","18","N","27"
"2017-12-01 00:24","27","NW","35"
"2017-12-01 00:34","14","NW","19"
"2017-12-01 00:44","18","NW","24"
"2017-12-01 00:54","18","NNW","30"
"2017-12-01 00:55","20","NNW","24"
"2017-12-01 01:04","18","N","26"
"2017-12-01 01:14","19","NNW","25"
"2017-12-01 01:24","15","NNW","22"
"2017-12-01 01:34","21","NW","25"
"2017-12-01 01:44","19","NNW","25"
"2017-12-01 01:54","14","NW","20"
"2017-12-01 01:55","15","NW","20"
"2017-12-01 02:04","17","NNW","23"
"2017-12-01 02:14","16","NNW","24"
"2017-12-01 02:24","18","NNW","27"
"2017-12-01 02:34","17","NNW","22"
"2017-12-01 02:44","18","NNW","24"
"2017-12-01 02:54","18","NNW","23"
"2017-12-01 02:55","17","NNW","23"
"2017-12-01 03:04","15","NNW","21"
"2017-12-01 03:14","17","NW","24"
"2017-12-01 03:34","15","NNW","21"
"2017-12-01 03:54","17","NW","21"
"2017-12-01 03:55","18","NNW","24"
"2017-12-01 04:14","15","N","22"
"2017-12-01 04:34","13","NNW","19"
"2017-12-01 04:54","17","NW","20"
"2017-12-01 04:55","13","NW","17"
"2017-12-01 05:14","12","NW","16"
"2017-12-01 05:34","13","N","19"
"2017-12-01 05:54","11","NNW","18"
"2017-12-01 05:55","14","N","18"
"2017-12-01 06:14","12","NNW","16"
"2017-12-01 06:34","13","NNE","17"
"2017-12-01 06:54","16","N","22"
"2017-12-01 06:55","13","N","21"
"2017-12-01 07:14","7","NW","10"
"2017-12-01 07:34","10","N","15"
"2017-12-01 07:54","9","N","13"
"2017-12-01 07:55","9","NNW","14"
"2017-12-01 08:14","10","NNW","14"
"2017-12-01 08:34","10","N","13"
"2017-12-01 08:54","12","NNW","15"
"2017-12-01 08:55","9","N","13"
"2017-12-01 09:14","8","NNE","10"
"2017-12-01 09:34","6","NNE","8"
"2017-12-01 09:54","6","NW","10"
"2017-12-01 09:55","6","NW","8"
"2017-12-01 10:14","12","NW","18"
"2017-12-01 10:34","10","WNW","13"
"2017-12-01 10:54","14","WNW","17"
"2017-12-01 10:55","12","WNW","15"
"2017-12-01 11:14","10","WNW","12"
"2017-12-01 11:34","14","WNW","18"
"2017-12-01 11:54","12","WNW","17"
"2017-12-01 11:55","12","WNW","15"
"2017-12-01 12:14","13","W","16"
"2017-12-01 12:34","13","WNW","18"
"2017-12-01 12:54","15","WNW","20"
"2017-12-01 12:55","15","WNW","19"
"2017-12-01 13:14","14","WNW","18"
"2017-12-01 13:34","14","WNW","21"
"2017-12-01 13:44","15","WNW","19"
"2017-12-01 13:54","15","WNW","19"
"2017-12-01 13:55","14","WNW","18"
"2017-12-01 14:04","15","WNW","18"
"2017-12-01 14:14","17","WNW","23"
"2017-12-01 14:24","15","W","21"
"2017-12-01 14:34","13","W","18"
"2017-12-01 14:44","9","W","13"
"2017-12-01 14:54","10","W","12"
"2017-12-01 14:55","9","W","12"
"2017-12-01 15:04","11","W","15"
"2017-12-01 15:14","12","WSW","15"
"2017-12-01 15:24","10","WSW","16"
"2017-12-01 15:34","8","WSW","10"
"2017-12-01 15:44","13","WSW","17"
"2017-12-01 15:54","9","WSW","13"
"2017-12-01 15:55","8","WSW","11"
"2017-12-01 16:04","12","WSW","18"
"2017-12-01 16:14","8","WSW","10"
"2017-12-01 16:24","6","WSW","8"
"2017-12-01 16:34","5","WSW","8"
"2017-12-01 16:44","6","WSW","8"
"2017-12-01 16:54","6","WSW","10"
"2017-12-01 16:55","5","WSW","9"
"2017-12-01 17:04","5","SW","8"
"2017-12-01 17:14","2","SW","4"
"2017-12-01 17:24","4","WSW","6"
"2017-12-01 17:34","4","WSW","7"
"2017-12-01 17:44","2","SW","4"
"2017-12-01 17:54","3","SSW","5"
"2017-12-01 17:55","1","SSW","3"
"2017-12-01 18:04","2","SSW","4"
"2017-12-01 18:14","0","SW","3"
"2017-12-01 18:24","0","SSW","1"
"2017-12-01 18:34","0","S","0"
"2017-12-01 18:44","0","SSW","3"
"2017-12-01 18:54","0","SSW","0"
"2017-12-01 18:55","0","SSW","0"
"2017-12-01 19:04","0","S","0"
"2017-12-01 19:14","0","S","1"
"2017-12-01 19:24","0","S","0"
"2017-12-01 19:34","0","SSW","0"
"2017-12-01 19:44","0","SSE","0"
"2017-12-01 19:54","0","SSE","1"
"2017-12-01 19:55","0","SSE","3"
"2017-12-01 20:04","0","SE","2"
"2017-12-01 20:14","0","SSE","0"
"2017-12-01 20:24","0","SSE","0"
"2017-12-01 20:34","0","S","0"
"2017-12-01 20:44","0","S","0"
"2017-12-01 20:54","0","SSE","0"
"2017-12-01 20:55","0","S","0"
"2017-12-01 21:04","0","SSE","0"
"2017-12-01 21:14","0","S","0"
"2017-12-01 21:24","0","S","0"
"2017-12-01 21:34","0","S","0"
"2017-12-01 21:44","0","SSE","0"
"2017-12-01 21:54","0","SSE","0"
"2017-12-01 21:55","0","SSE","0"
"2017-12-01 22:04","0","S","0"
"2017-12-01 22:14","0","S","0"
"2017-12-01 22:24","0","SSE","0"
"2017-12-01 22:34","0","S","0"
"2017-12-01 22:44","0","S","0"
"2017-12-01 22:54","0","S","0"
"2017-12-01 22:55","0","S","0"
"2017-12-01 23:04","0","S","0"
"2017-12-01 23:14","0","S","0"
"2017-12-01 23:24","0","SSE","0"
"2017-12-01 23:34","0","S","0"
"2017-12-01 23:44","0","S","0"
"2017-12-01 23:54","0","S","0"
"2017-12-01 23:55","0","SSE","0"
"2017-12-02 00:04","0","SSE","5"
"2017-12-02 00:14","0","SSE","0"
"2017-12-02 00:24","0","SSE","0"
"2017-12-02 00:34","0","SSE","0"
"2017-12-02 00:44","0","S","0"
"2017-12-02 00:54","0","WSW","0"
