"Time EST","Pressure (kPa)"
"2018-02-01 00:04","104.22"
"2018-02-01 00:14","104.22"
"2018-02-01 00:24","104.22"
"2018-02-01 00:34","104.21"
"2018-02-01 00:44","104.21"
"2018-02-01 00:54","104.21"
"2018-02-01 00:55","104.21"
"2018-02-01 01:04","104.21"
"2018-02-01 01:14","104.20"
"2018-02-01 01:24","104.20"
"2018-02-01 01:34","104.20"
"2018-02-01 01:44","104.21"
"2018-02-01 01:54","104.20"
"2018-02-01 01:55","104.20"
"2018-02-01 02:04","104.20"
"2018-02-01 02:14","104.19"
"2018-02-01 02:24","104.19"
"2018-02-01 02:34","104.20"
"2018-02-01 02:44","104.20"
"2018-02-01 02:54","104.19"
"2018-02-01 02:55","104.19"
"2018-02-01 03:04","104.18"
"2018-02-01 03:14","104.17"
"2018-02-01 03:24","104.17"
"2018-02-01 03:34","104.17"
"2018-02-01 03:44","104.17"
"2018-02-01 03:54","104.19"
"2018-02-01 03:55","104.19"
"2018-02-01 04:04","104.18"
"2018-02-01 04:14","104.18"
"2018-02-01 04:24","104.19"
"2018-02-01 04:34","104.19"
"2018-02-01 04:44","104.18"
"2018-02-01 04:54","104.17"
"2018-02-01 04:55","104.17"
"2018-02-01 05:04","104.17"
"2018-02-01 05:14","104.16"
"2018-02-01 05:24","104.15"
"2018-02-01 05:34","104.15"
"2018-02-01 05:44","104.15"
"2018-02-01 05:54","104.13"
"2018-02-01 05:55","104.13"
"2018-02-01 06:04","104.14"
"2018-02-01 06:14","104.13"
"2018-02-01 06:24","104.15"
"2018-02-01 06:34","104.13"
"2018-02-01 06:44","104.11"
"2018-02-01 06:54","104.13"
"2018-02-01 06:55","104.13"
"2018-02-01 07:04","104.13"
"2018-02-01 07:14","104.12"
"2018-02-01 07:24","104.12"
"2018-02-01 07:34","104.12"
"2018-02-01 07:44","104.13"
"2018-02-01 07:54","104.13"
"2018-02-01 07:55","104.13"
"2018-02-01 08:04","104.14"
"2018-02-01 08:14","104.14"
"2018-02-01 08:24","104.13"
"2018-02-01 08:34","104.14"
"2018-02-01 08:44","104.15"
"2018-02-01 08:54","104.15"
"2018-02-01 08:55","104.15"
"2018-02-01 09:04","104.16"
"2018-02-01 09:14","104.17"
"2018-02-01 09:24","104.17"
"2018-02-01 09:34","104.18"
"2018-02-01 09:44","104.19"
"2018-02-01 09:54","104.20"
"2018-02-01 09:55","104.20"
"2018-02-01 10:04","104.22"
"2018-02-01 10:14","104.24"
"2018-02-01 10:24","104.26"
"2018-02-01 10:34","104.27"
"2018-02-01 10:44","104.28"
"2018-02-01 10:54","104.30"
"2018-02-01 10:55","104.30"
"2018-02-01 11:04","104.32"
"2018-02-01 11:14","104.33"
"2018-02-01 11:24","104.34"
"2018-02-01 11:34","104.36"
"2018-02-01 11:44","104.36"
"2018-02-01 11:54","104.37"
"2018-02-01 11:55","104.37"
"2018-02-01 12:04","104.38"
"2018-02-01 12:14","104.39"
"2018-02-01 12:24","104.39"
"2018-02-01 12:34","104.41"
"2018-02-01 12:44","104.42"
"2018-02-01 12:54","104.42"
"2018-02-01 12:55","104.42"
"2018-02-01 13:04","104.44"
"2018-02-01 13:14","104.44"
"2018-02-01 13:24","104.44"
"2018-02-01 13:34","104.45"
"2018-02-01 13:44","104.46"
"2018-02-01 13:54","104.47"
"2018-02-01 13:55","104.47"
"2018-02-01 14:04","104.48"
"2018-02-01 14:14","104.49"
"2018-02-01 14:24","104.50"
