"Time EST","Air Temp (°C)"
"2018-01-01 00:04","-15.5"
"2018-01-01 00:14","-15.5"
"2018-01-01 00:24","-15.4"
"2018-01-01 00:34","-15.3"
"2018-01-01 10:24","-9.9"
"2018-01-01 10:34","-9.8"
"2018-01-01 10:44","-9.8"
"2018-01-01 10:54","-10.7"
"2018-01-01 10:55","-10.5"
"2018-01-01 11:04","-10.4"
"2018-01-01 11:14","-10.8"
"2018-01-01 11:24","-11.9"
"2018-01-01 11:34","-11.9"
"2018-01-01 11:44","-11.8"
"2018-01-01 11:54","-10.2"
"2018-01-01 11:55","-10.2"
"2018-01-01 12:04","-10.3"
"2018-01-01 12:14","-10.1"
"2018-01-01 12:24","-10.5"
"2018-01-01 12:34","-10.4"
"2018-01-01 12:44","-10.5"
"2018-01-01 12:54","-10.7"
"2018-01-01 12:55","-10.7"
"2018-01-01 13:04","-10.9"
"2018-01-01 13:14","-11.0"
"2018-01-01 13:24","-11.1"
"2018-01-01 13:34","-11.1"
"2018-01-01 13:44","-10.8"
"2018-01-01 13:54","-10.9"
"2018-01-01 13:55","-11.0"
"2018-01-01 14:04","-11.0"
"2018-01-01 14:14","-11.0"
"2018-01-01 14:24","-10.9"
"2018-01-01 14:34","-11.0"
"2018-01-01 14:44","-11.0"
"2018-01-01 14:54","-11.1"
"2018-01-01 14:55","-11.1"
"2018-01-01 15:04","-11.0"
"2018-01-01 15:14","-11.0"
"2018-01-01 15:24","-10.9"
"2018-01-01 15:34","-10.8"
"2018-01-01 15:44","-10.7"
"2018-01-01 15:54","-10.7"
"2018-01-01 15:55","-10.7"
"2018-01-01 16:04","-10.5"
"2018-01-01 16:14","-10.6"
"2018-01-01 16:24","-10.4"
"2018-01-01 16:34","-10.5"
"2018-01-01 16:44","-10.4"
"2018-01-01 16:54","-10.3"
"2018-01-01 16:55","-10.4"
"2018-01-01 17:04","-10.4"
"2018-01-01 17:14","-10.4"
"2018-01-01 17:24","-10.4"
"2018-01-01 17:34","-10.3"
"2018-01-01 17:44","-10.3"
"2018-01-01 17:54","-10.0"
"2018-01-01 17:55","-10.1"
"2018-01-01 18:04","-9.9"
"2018-01-01 18:14","-9.6"
"2018-01-01 18:24","-9.6"
"2018-01-01 18:34","-9.3"
"2018-01-01 18:44","-9.2"
"2018-01-01 18:54","-9.0"
"2018-01-01 18:55","-9.0"
