"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:04","-16.8","90"
"2018-01-01 00:14","-16.7","90"
"2018-01-01 00:24","-16.7","90"
"2018-01-01 00:34","-16.6","90"
"2018-01-01 10:24","-10.9","92"
"2018-01-01 10:34","-10.7","93"
"2018-01-01 10:44","-10.9","92"
"2018-01-01 10:54","-11.7","93"
"2018-01-01 10:55","-11.3","94"
"2018-01-01 11:04","-11.4","93"
"2018-01-01 11:14","-11.7","94"
"2018-01-01 11:24","-12.8","93"
"2018-01-01 11:34","-12.8","93"
"2018-01-01 11:44","-12.5","94"
"2018-01-01 11:54","-11.2","93"
"2018-01-01 11:55","-11.2","92"
"2018-01-01 12:04","-11.7","89"
"2018-01-01 12:14","-11.5","90"
"2018-01-01 12:24","-12.0","89"
"2018-01-01 12:34","-12.0","88"
"2018-01-01 12:44","-12.4","86"
"2018-01-01 12:54","-12.5","87"
"2018-01-01 12:55","-12.3","88"
"2018-01-01 13:04","-12.9","86"
"2018-01-01 13:14","-13.0","85"
"2018-01-01 13:24","-13.7","81"
"2018-01-01 13:34","-13.8","80"
"2018-01-01 13:44","-14.5","74"
"2018-01-01 13:54","-14.7","73"
"2018-01-01 13:55","-14.8","73"
"2018-01-01 14:04","-14.9","73"
"2018-01-01 14:14","-15.0","72"
"2018-01-01 14:24","-14.2","77"
"2018-01-01 14:34","-14.8","73"
"2018-01-01 14:44","-14.6","74"
"2018-01-01 14:54","-14.4","77"
"2018-01-01 14:55","-14.4","77"
"2018-01-01 15:04","-14.9","73"
"2018-01-01 15:14","-14.5","75"
"2018-01-01 15:24","-14.6","74"
"2018-01-01 15:34","-14.4","75"
"2018-01-01 15:44","-14.3","75"
"2018-01-01 15:54","-14.7","73"
"2018-01-01 15:55","-14.8","72"
"2018-01-01 16:04","-14.1","75"
"2018-01-01 16:14","-14.7","72"
"2018-01-01 16:24","-14.6","71"
"2018-01-01 16:34","-13.6","77"
"2018-01-01 16:44","-13.9","75"
"2018-01-01 16:54","-12.9","82"
"2018-01-01 16:55","-12.9","82"
"2018-01-01 17:04","-12.0","88"
"2018-01-01 17:14","-11.6","91"
"2018-01-01 17:24","-11.6","91"
"2018-01-01 17:34","-11.5","91"
"2018-01-01 17:44","-11.6","90"
"2018-01-01 17:54","-11.7","87"
"2018-01-01 17:55","-11.7","88"
"2018-01-01 18:04","-12.0","85"
"2018-01-01 18:14","-12.3","80"
"2018-01-01 18:24","-12.0","82"
"2018-01-01 18:34","-12.1","80"
"2018-01-01 18:44","-12.2","79"
"2018-01-01 18:54","-12.8","74"
"2018-01-01 18:55","-12.8","74"
"2018-01-01 19:04","-12.1","78"
"2018-01-01 19:14","-12.6","83"
"2018-01-01 19:24","-12.8","88"
"2018-01-01 19:34","-13.4","88"
"2018-01-01 19:44","-13.3","88"
"2018-01-01 19:54","-13.5","88"
"2018-01-01 19:55","-13.6","87"
"2018-01-01 19:56","-13.6","87"
"2018-01-01 20:04","-14.1","87"
"2018-01-01 20:14","-14.7","87"
"2018-01-01 20:24","-15.3","88"
"2018-01-01 20:34","-15.5","89"
"2018-01-01 20:44","-15.7","89"
"2018-01-01 20:54","-15.6","90"
"2018-01-01 20:55","-15.6","90"
"2018-01-01 21:04","-15.6","90"
"2018-01-01 21:14","-15.7","90"
"2018-01-01 21:24","-15.7","90"
"2018-01-01 21:34","-15.5","91"
"2018-01-01 21:44","-15.5","91"
"2018-01-01 21:54","-15.4","91"
"2018-01-01 21:55","-15.4","91"
"2018-01-01 22:04","-15.3","91"
"2018-01-01 22:14","-15.2","91"
"2018-01-01 22:24","-14.9","91"
"2018-01-01 22:34","-14.8","91"
"2018-01-01 22:44","-14.7","91"
"2018-01-01 22:54","-14.5","91"
"2018-01-01 22:55","-14.6","91"
"2018-01-01 22:56","-14.6","91"
"2018-01-01 23:04","-14.5","91"
"2018-01-01 23:14","-14.0","93"
"2018-01-01 23:24","-13.9","92"
"2018-01-01 23:34","-13.8","92"
"2018-01-01 23:44","-7.1","99"
"2018-01-01 23:54","-7.2","96"
"2018-01-01 23:55","-7.2","96"
"2018-01-02 00:04","-7.0","96"
"2018-01-02 00:14","-6.9","95"
"2018-01-02 00:24","-6.9","94"
"2018-01-02 00:34","-6.9","95"
"2018-01-02 00:44","-6.6","96"
"2018-01-02 00:54","-6.7","97"
"2018-01-02 00:55","-6.6","97"
"2018-01-02 01:04","-6.8","97"
"2018-01-02 01:14","-6.6","97"
"2018-01-02 01:24","-6.7","96"
"2018-01-02 01:34","-6.5","95"
"2018-01-02 01:44","-6.5","93"
"2018-01-02 01:54","-6.5","91"
"2018-01-02 01:55","-6.7","90"
"2018-01-02 02:04","-6.8","89"
"2018-01-02 02:14","-6.6","90"
"2018-01-02 02:24","-7.0","90"
"2018-01-02 02:34","-6.8","90"
"2018-01-02 02:44","-7.1","89"
"2018-01-02 02:54","-7.3","88"
"2018-01-02 02:55","-7.3","88"
"2018-01-02 02:56","-7.4","87"
"2018-01-02 03:04","-7.6","85"
"2018-01-02 03:14","-8.3","80"
"2018-01-02 03:24","-8.6","78"
"2018-01-02 03:34","-8.0","81"
"2018-01-02 03:44","-7.8","82"
"2018-01-02 03:54","-8.2","80"
"2018-01-02 03:55","-8.4","79"
"2018-01-02 03:56","-8.4","79"
"2018-01-02 04:04","-8.5","79"
"2018-01-02 04:14","-8.5","80"
"2018-01-02 04:24","-8.3","81"
"2018-01-02 04:34","-8.0","85"
"2018-01-02 04:44","-8.1","86"
"2018-01-02 04:54","-8.0","88"
"2018-01-02 04:55","-8.0","88"
"2018-01-02 05:04","-8.4","88"
"2018-01-02 05:14","-8.2","92"
"2018-01-02 05:24","-8.4","91"
"2018-01-02 05:34","-8.8","89"
"2018-01-02 05:44","-8.5","91"
"2018-01-02 05:54","-8.8","93"
"2018-01-02 05:55","-8.8","93"
"2018-01-02 06:04","-8.9","93"
"2018-01-02 06:14","-8.9","93"
"2018-01-02 06:24","-9.0","93"
"2018-01-02 06:34","-8.9","93"
"2018-01-02 06:44","-9.2","92"
"2018-01-02 06:54","-9.1","92"
"2018-01-02 06:55","-9.2","92"
"2018-01-02 07:04","-9.1","92"
"2018-01-02 07:14","-9.0","93"
"2018-01-02 07:24","-8.9","93"
"2018-01-02 07:34","-8.6","94"
"2018-01-02 07:44","-8.5","93"
"2018-01-02 07:54","-8.6","93"
"2018-01-02 07:55","-8.6","93"
"2018-01-02 07:56","-8.6","93"
"2018-01-02 08:04","-8.4","94"
"2018-01-02 08:14","-8.3","93"
"2018-01-02 08:24","-8.3","94"
"2018-01-02 08:34","-8.0","94"
"2018-01-02 08:44","-7.8","94"
"2018-01-02 08:54","-7.9","94"
"2018-01-02 08:55","-7.9","94"
"2018-01-02 08:56","-7.9","94"
"2018-01-02 09:04","-7.8","94"
"2018-01-02 09:14","-7.7","94"
"2018-01-02 09:24","-7.5","94"
"2018-01-02 09:34","-7.4","93"
"2018-01-02 09:44","-7.7","90"
"2018-01-02 09:54","-7.7","89"
"2018-01-02 09:55","-7.8","89"
"2018-01-02 09:56","-7.9","89"
"2018-01-02 10:04","-7.7","89"
"2018-01-02 10:14","-7.5","90"
"2018-01-02 10:24","-7.4","91"
"2018-01-02 10:34","-7.5","92"
"2018-01-02 10:44","-7.6","91"
"2018-01-02 10:54","-7.6","92"
"2018-01-02 10:55","-7.7","91"
"2018-01-02 10:56","-7.7","91"
"2018-01-02 11:04","-7.4","92"
"2018-01-02 11:14","-7.6","92"
"2018-01-02 11:24","-7.1","93"
"2018-01-02 11:34","-7.3","91"
"2018-01-02 11:44","-7.8","88"
"2018-01-02 11:54","-7.4","89"
"2018-01-02 11:55","-7.8","87"
"2018-01-02 11:56","-7.8","88"
"2018-01-02 12:04","-7.8","87"
"2018-01-02 12:14","-7.8","87"
"2018-01-02 12:24","-8.0","86"
"2018-01-02 12:34","-7.9","86"
"2018-01-02 12:44","-7.7","86"
"2018-01-02 12:54","-7.4","88"
"2018-01-02 12:55","-7.6","87"
"2018-01-02 12:56","-7.4","88"
"2018-01-02 13:04","-7.5","88"
"2018-01-02 13:14","-7.8","86"
"2018-01-02 13:24","-7.8","87"
"2018-01-02 13:34","-7.5","88"
"2018-01-02 13:44","-7.2","90"
"2018-01-02 13:54","-7.4","89"
"2018-01-02 13:55","-7.4","89"
