"Time EST","Pressure (kPa)"
"2018-01-01 00:04","105.42"
"2018-01-01 00:14","105.42"
"2018-01-01 00:24","105.42"
"2018-01-01 00:34","105.40"
"2018-01-01 10:24","105.28"
"2018-01-01 10:34","105.28"
"2018-01-01 10:44","105.28"
"2018-01-01 10:54","105.28"
"2018-01-01 10:55","105.28"
"2018-01-01 11:04","105.27"
"2018-01-01 11:14","105.26"
"2018-01-01 11:24","105.27"
"2018-01-01 11:34","105.27"
"2018-01-01 11:44","105.27"
"2018-01-01 11:54","105.26"
"2018-01-01 11:55","105.26"
"2018-01-01 12:04","105.26"
"2018-01-01 12:14","105.26"
"2018-01-01 12:24","105.27"
"2018-01-01 12:34","105.27"
"2018-01-01 12:44","105.29"
"2018-01-01 12:54","105.29"
"2018-01-01 12:55","105.29"
"2018-01-01 13:04","105.31"
"2018-01-01 13:14","105.30"
"2018-01-01 13:24","105.30"
"2018-01-01 13:34","105.29"
"2018-01-01 13:44","105.30"
"2018-01-01 13:54","105.30"
"2018-01-01 13:55","105.29"
"2018-01-01 14:04","105.30"
"2018-01-01 14:14","105.29"
"2018-01-01 14:24","105.30"
"2018-01-01 14:34","105.31"
"2018-01-01 14:44","105.32"
"2018-01-01 14:54","105.31"
"2018-01-01 14:55","105.31"
"2018-01-01 15:04","105.32"
"2018-01-01 15:14","105.32"
"2018-01-01 15:24","105.32"
"2018-01-01 15:34","105.34"
"2018-01-01 15:44","105.34"
"2018-01-01 15:54","105.34"
"2018-01-01 15:55","105.35"
"2018-01-01 16:04","105.34"
"2018-01-01 16:14","105.35"
"2018-01-01 16:24","105.36"
"2018-01-01 16:34","105.36"
"2018-01-01 16:44","105.35"
"2018-01-01 16:54","105.36"
"2018-01-01 16:55","105.36"
"2018-01-01 17:04","105.36"
"2018-01-01 17:14","105.37"
"2018-01-01 17:24","105.38"
"2018-01-01 17:34","105.39"
"2018-01-01 17:44","105.39"
"2018-01-01 17:54","105.38"
"2018-01-01 17:55","105.39"
"2018-01-01 18:04","105.37"
"2018-01-01 18:14","105.38"
"2018-01-01 18:24","105.38"
"2018-01-01 18:34","105.37"
"2018-01-01 18:44","105.38"
"2018-01-01 18:54","105.39"
"2018-01-01 18:55","105.37"
"2018-01-01 19:04","105.37"
"2018-01-01 19:14","105.37"
"2018-01-01 19:24","105.37"
"2018-01-01 19:34","105.37"
"2018-01-01 19:44","105.36"
"2018-01-01 19:54","105.36"
"2018-01-01 19:55","105.36"
"2018-01-01 19:56","105.36"
"2018-01-01 20:04","105.37"
"2018-01-01 20:14","105.37"
"2018-01-01 20:24","105.36"
"2018-01-01 20:34","105.37"
"2018-01-01 20:44","105.37"
"2018-01-01 20:54","105.37"
"2018-01-01 20:55","105.37"
"2018-01-01 21:04","105.37"
"2018-01-01 21:14","105.37"
"2018-01-01 21:24","105.37"
"2018-01-01 21:34","105.37"
"2018-01-01 21:44","105.36"
"2018-01-01 21:54","105.35"
"2018-01-01 21:55","105.35"
"2018-01-01 22:04","105.35"
"2018-01-01 22:14","105.34"
"2018-01-01 22:24","105.33"
"2018-01-01 22:34","105.33"
"2018-01-01 22:44","105.33"
"2018-01-01 22:54","105.32"
"2018-01-01 22:55","105.33"
"2018-01-01 22:56","105.33"
"2018-01-01 23:04","105.32"
"2018-01-01 23:14","105.31"
"2018-01-01 23:24","105.33"
"2018-01-01 23:34","105.32"
"2018-01-01 23:44","105.32"
"2018-01-01 23:54","105.31"
"2018-01-01 23:55","105.31"
"2018-01-02 00:04","105.30"
"2018-01-02 00:14","105.29"
"2018-01-02 00:24","105.28"
"2018-01-02 00:34","105.28"
"2018-01-02 00:44","105.28"
"2018-01-02 00:54","105.28"
"2018-01-02 00:55","105.28"
"2018-01-02 01:04","105.28"
"2018-01-02 01:14","105.28"
"2018-01-02 01:24","105.27"
"2018-01-02 01:34","105.26"
"2018-01-02 01:44","105.26"
"2018-01-02 01:54","105.26"
"2018-01-02 01:55","105.26"
"2018-01-02 02:04","105.26"
"2018-01-02 02:14","105.25"
"2018-01-02 02:24","105.26"
"2018-01-02 02:34","105.26"
"2018-01-02 02:44","105.27"
"2018-01-02 02:54","105.27"
"2018-01-02 02:55","105.26"
"2018-01-02 02:56","105.26"
"2018-01-02 03:04","105.27"
"2018-01-02 03:14","105.26"
"2018-01-02 03:24","105.25"
"2018-01-02 03:34","105.25"
"2018-01-02 03:44","105.25"
"2018-01-02 03:54","105.25"
"2018-01-02 03:55","105.25"
"2018-01-02 03:56","105.25"
"2018-01-02 04:04","105.25"
"2018-01-02 04:14","105.24"
"2018-01-02 04:24","105.24"
"2018-01-02 04:34","105.24"
"2018-01-02 04:44","105.24"
"2018-01-02 04:54","105.24"
"2018-01-02 04:55","105.25"
"2018-01-02 05:04","105.23"
"2018-01-02 05:14","105.24"
"2018-01-02 05:24","105.24"
"2018-01-02 05:34","105.23"
"2018-01-02 05:44","105.22"
"2018-01-02 05:54","105.22"
"2018-01-02 05:55","105.22"
"2018-01-02 06:04","105.22"
"2018-01-02 06:14","105.21"
"2018-01-02 06:24","105.20"
"2018-01-02 06:34","105.19"
"2018-01-02 06:44","105.19"
"2018-01-02 06:54","105.18"
"2018-01-02 06:55","105.19"
"2018-01-02 07:04","105.17"
"2018-01-02 07:14","105.17"
"2018-01-02 07:24","105.17"
"2018-01-02 07:34","105.16"
"2018-01-02 07:44","105.15"
"2018-01-02 07:54","105.14"
"2018-01-02 07:55","105.14"
"2018-01-02 07:56","105.14"
"2018-01-02 08:04","105.14"
"2018-01-02 08:14","105.14"
"2018-01-02 08:24","105.13"
"2018-01-02 08:34","105.13"
"2018-01-02 08:44","105.12"
"2018-01-02 08:54","105.11"
"2018-01-02 08:55","105.11"
"2018-01-02 08:56","105.11"
"2018-01-02 09:04","105.10"
"2018-01-02 09:14","105.11"
"2018-01-02 09:24","105.10"
"2018-01-02 09:34","105.09"
"2018-01-02 09:44","105.10"
"2018-01-02 09:54","105.10"
"2018-01-02 09:55","105.10"
"2018-01-02 09:56","105.10"
"2018-01-02 10:04","105.09"
"2018-01-02 10:14","105.10"
"2018-01-02 10:24","105.09"
"2018-01-02 10:34","105.09"
"2018-01-02 10:44","105.09"
"2018-01-02 10:54","105.08"
"2018-01-02 10:55","105.08"
"2018-01-02 10:56","105.08"
"2018-01-02 11:04","105.07"
"2018-01-02 11:14","105.08"
"2018-01-02 11:24","105.06"
"2018-01-02 11:34","105.06"
"2018-01-02 11:44","105.05"
"2018-01-02 11:54","105.04"
"2018-01-02 11:55","105.04"
"2018-01-02 11:56","105.04"
"2018-01-02 12:04","105.03"
"2018-01-02 12:14","105.02"
"2018-01-02 12:24","105.01"
"2018-01-02 12:34","105.00"
"2018-01-02 12:44","104.98"
"2018-01-02 12:54","104.98"
"2018-01-02 12:55","104.98"
"2018-01-02 12:56","104.98"
"2018-01-02 13:04","104.98"
"2018-01-02 13:14","104.97"
"2018-01-02 13:24","104.97"
"2018-01-02 13:34","104.95"
"2018-01-02 13:44","104.95"
"2018-01-02 13:54","104.95"
"2018-01-02 13:55","104.95"
"2018-01-02 14:04","104.95"
"2018-01-02 14:14","104.94"
"2018-01-02 14:24","104.94"
"2018-01-02 14:34","104.95"
"2018-01-02 14:44","104.92"
"2018-01-02 14:54","104.92"
"2018-01-02 14:55","104.93"
"2018-01-02 14:56","104.92"
"2018-01-02 15:04","104.92"
"2018-01-02 15:14","104.92"
"2018-01-02 15:24","104.93"
"2018-01-02 15:34","104.93"
"2018-01-02 15:44","104.92"
"2018-01-02 15:54","104.92"
"2018-01-02 15:55","104.92"
"2018-01-02 15:56","104.92"
"2018-01-02 16:04","104.92"
"2018-01-02 16:14","104.91"
"2018-01-02 16:24","104.92"
"2018-01-02 16:34","104.91"
"2018-01-02 16:44","104.91"
"2018-01-02 16:54","104.92"
"2018-01-02 16:55","104.91"
"2018-01-02 16:56","104.91"
"2018-01-02 17:04","104.91"
"2018-01-02 17:14","104.91"
"2018-01-02 17:24","104.91"
"2018-01-02 17:34","104.91"
"2018-01-02 17:44","104.90"
"2018-01-02 17:54","104.90"
"2018-01-02 17:55","104.90"
"2018-01-02 17:56","104.91"
"2018-01-02 18:04","104.90"
"2018-01-02 18:14","104.89"
"2018-01-02 18:24","104.90"
"2018-01-02 18:34","104.90"
"2018-01-02 18:44","104.89"
"2018-01-02 18:54","104.89"
"2018-01-02 18:55","104.89"
"2018-01-02 18:56","104.89"
"2018-01-02 19:04","104.88"
"2018-01-02 19:14","104.88"
"2018-01-02 19:24","104.88"
"2018-01-02 19:34","104.86"
"2018-01-02 19:44","104.85"
"2018-01-02 19:54","104.84"
"2018-01-02 19:55","104.84"
"2018-01-02 19:56","104.84"
"2018-01-02 20:04","104.83"
"2018-01-02 20:14","104.83"
"2018-01-02 20:24","104.82"
"2018-01-02 20:34","104.82"
"2018-01-02 20:44","104.82"
"2018-01-02 20:54","104.82"
"2018-01-02 20:55","104.82"
"2018-01-02 20:56","104.82"
"2018-01-02 21:04","104.81"
"2018-01-02 21:14","104.82"
"2018-01-02 21:24","104.82"
"2018-01-02 21:34","104.81"
"2018-01-02 21:44","104.81"
"2018-01-02 21:54","104.79"
"2018-01-02 21:55","104.80"
"2018-01-02 21:56","104.79"
"2018-01-02 22:04","104.80"
"2018-01-02 22:14","104.79"
"2018-01-02 22:24","104.79"
"2018-01-02 22:34","104.80"
"2018-01-02 22:44","104.80"
"2018-01-02 22:54","104.79"
"2018-01-02 22:55","104.80"
"2018-01-02 22:56","104.79"
"2018-01-02 23:04","104.79"
"2018-01-02 23:14","104.79"
"2018-01-02 23:24","104.78"
"2018-01-02 23:34","104.79"
"2018-01-02 23:44","104.78"
"2018-01-02 23:54","104.78"
"2018-01-02 23:55","104.78"
"2018-01-02 23:56","104.78"
"2018-01-03 00:04","104.78"
"2018-01-03 00:14","104.77"
"2018-01-03 00:24","104.76"
"2018-01-03 00:34","104.76"
"2018-01-03 00:44","104.75"
"2018-01-03 00:54","104.75"
"2018-01-03 00:55","104.74"
"2018-01-03 00:56","104.74"
"2018-01-03 01:04","104.74"
"2018-01-03 01:14","104.74"
"2018-01-03 01:24","104.74"
"2018-01-03 01:34","104.73"
