"Time EST","Precipitation 1h (mm)","Precipitation Rate (mm/h)","Precipitation Yes/No"
"2018-01-01 00:04","5.3","0.1","Yes"
"2018-01-01 00:14","4.5","0.0","Yes"
"2018-01-01 00:24","3.4","0.0","Yes"
"2018-01-01 00:34","2.4","0.1","Yes"
"2018-01-01 10:24","0.0","0","No"
"2018-01-01 10:34","0.0","0","No"
"2018-01-01 10:44","0.0","0","No"
"2018-01-01 10:54","0.0","0","No"
"2018-01-01 11:04","0.0","0.0","Yes"
"2018-01-01 11:14","1.3","0.4","Yes"
"2018-01-01 11:24","3.2","0.3","Yes"
"2018-01-01 11:34","4.7","0.2","Yes"
"2018-01-01 11:44","5.1","0.1","Yes"
"2018-01-01 11:54","5.5","0.0","Yes"
"2018-01-01 12:04","5.5","0","No"
"2018-01-01 12:14","4.2","0","No"
"2018-01-01 12:24","2.4","0","No"
"2018-01-01 12:34","0.9","0","No"
"2018-01-01 12:44","0.5","0","No"
"2018-01-01 12:54","0.0","0","No"
"2018-01-01 13:04","0.0","0","No"
"2018-01-01 13:14","0.0","0","No"
"2018-01-01 13:24","0.0","0","No"
"2018-01-01 13:34","0.0","0","No"
"2018-01-01 13:44","0.0","0","No"
"2018-01-01 13:54","0.0","0","No"
"2018-01-01 14:04","0.0","0.0","Yes"
"2018-01-01 14:14","0.0","0","No"
"2018-01-01 14:24","0.0","0","No"
"2018-01-01 14:34","0.0","0","No"
"2018-01-01 14:44","0.0","0","No"
"2018-01-01 14:54","0.0","0","No"
"2018-01-01 15:04","0.0","0","No"
"2018-01-01 15:14","0.0","0","No"
"2018-01-01 15:24","0.0","0","No"
"2018-01-01 15:34","0.0","0","No"
"2018-01-01 15:44","0.0","0","No"
"2018-01-01 15:54","0.0","0","No"
"2018-01-01 16:04","0.0","0","No"
"2018-01-01 16:14","0.0","0","No"
"2018-01-01 16:24","0.0","0","No"
"2018-01-01 16:34","0.0","0","No"
"2018-01-01 16:44","0.0","0","No"
"2018-01-01 16:54","0.0","0","No"
"2018-01-01 17:04","0.0","0","No"
"2018-01-01 17:14","0.0","0","No"
"2018-01-01 17:24","0.0","0","No"
"2018-01-01 17:34","0.0","0","No"
"2018-01-01 17:44","0.0","0","No"
"2018-01-01 17:54","0.0","0","No"
"2018-01-01 18:04","0.0","0","No"
"2018-01-01 18:14","0.0","0","No"
"2018-01-01 18:24","0.0","0","No"
"2018-01-01 18:34","0.0","0","No"
"2018-01-01 18:44","0.0","0","No"
"2018-01-01 18:54","0.0","0","No"
"2018-01-01 19:04","0.0","0","No"
"2018-01-01 19:14","0.0","0","No"
"2018-01-01 19:24","0.0","0","No"
"2018-01-01 19:34","0.0","0","No"
"2018-01-01 19:44","0.0","0","No"
"2018-01-01 19:54","0.0","0","No"
"2018-01-01 19:56","0.0","",""
"2018-01-01 20:04","0.0","0","No"
"2018-01-01 20:14","0.2","0.2","Yes"
"2018-01-01 20:24","1.2","0.2","Yes"
"2018-01-01 20:34","2.8","0.3","Yes"
"2018-01-01 20:44","4.4","0.3","Yes"
"2018-01-01 20:54","6.2","0.3","Yes"
"2018-01-01 21:04","6.9","0.2","Yes"
"2018-01-01 21:14","8.0","0.2","Yes"
"2018-01-01 21:24","8.3","0.1","Yes"
"2018-01-01 21:34","7.3","0.1","Yes"
"2018-01-01 21:44","6.5","0.2","Yes"
"2018-01-01 21:54","5.8","0.1","Yes"
"2018-01-01 22:04","6.1","0.1","Yes"
"2018-01-01 22:14","5.3","0.1","Yes"
"2018-01-01 22:24","4.2","0.0","Yes"
"2018-01-01 22:34","3.6","0.1","Yes"
"2018-01-01 22:44","3.5","0.1","Yes"
"2018-01-01 22:54","3.5","0.1","Yes"
"2018-01-01 22:56","3.5","",""
"2018-01-01 23:04","3.1","0.1","Yes"
"2018-01-01 23:14","3.1","0.1","Yes"
"2018-01-01 23:24","3.6","0.1","Yes"
"2018-01-01 23:34","4.2","0.1","Yes"
"2018-01-01 23:44","4.1","0.0","Yes"
"2018-01-01 23:54","3.2","0.0","Yes"
"2018-01-02 00:04","2.7","0.0","Yes"
"2018-01-02 00:14","2.2","0","No"
"2018-01-02 00:24","1.6","0","No"
"2018-01-02 00:34","0.9","0","No"
"2018-01-02 00:44","0.4","0","No"
"2018-01-02 00:54","0.4","0.1","Yes"
"2018-01-02 01:04","0.4","0","No"
"2018-01-02 01:14","0.4","0","No"
"2018-01-02 01:24","0.4","0","No"
"2018-01-02 01:34","0.4","0","No"
"2018-01-02 01:44","0.2","0","No"
"2018-01-02 01:54","0.1","0","No"
"2018-01-02 02:04","0.0","0.0","Yes"
"2018-01-02 02:14","0.3","0","No"
"2018-01-02 02:24","0.3","0","No"
"2018-01-02 02:34","0.3","0","No"
"2018-01-02 02:44","0.3","0","No"
"2018-01-02 02:54","0.3","0","No"
"2018-01-02 02:56","0.3","",""
"2018-01-02 03:04","0.3","0","No"
"2018-01-02 03:14","0.0","0","No"
"2018-01-02 03:24","0.0","0","No"
"2018-01-02 03:34","0.0","0","No"
"2018-01-02 03:44","0.0","0","No"
"2018-01-02 03:54","0.0","0","No"
"2018-01-02 03:56","0.0","",""
"2018-01-02 04:04","0.0","0","No"
"2018-01-02 04:14","0.0","0","No"
"2018-01-02 04:24","0.0","0","No"
"2018-01-02 04:34","0.0","0","No"
"2018-01-02 04:44","0.0","0","No"
"2018-01-02 04:54","0.0","0","No"
"2018-01-02 05:04","0.0","0","No"
"2018-01-02 05:14","0.0","0","No"
"2018-01-02 05:24","0.0","0","No"
"2018-01-02 05:34","0.0","0","No"
"2018-01-02 05:44","0.0","0","No"
"2018-01-02 05:54","0.0","0","No"
"2018-01-02 06:04","0.0","0","No"
"2018-01-02 06:14","0.0","0","No"
"2018-01-02 06:24","0.0","0","No"
"2018-01-02 06:34","0.0","0","No"
"2018-01-02 06:44","0.0","0","No"
"2018-01-02 06:54","0.0","0","No"
"2018-01-02 07:04","0.0","0","No"
"2018-01-02 07:14","0.0","0","No"
"2018-01-02 07:24","0.0","0","No"
"2018-01-02 07:34","0.0","0","No"
"2018-01-02 07:44","0.0","0","No"
"2018-01-02 07:54","0.0","0","No"
"2018-01-02 07:56","0.0","",""
"2018-01-02 08:04","0.0","0","No"
"2018-01-02 08:14","0.0","0","No"
"2018-01-02 08:24","0.0","0","No"
"2018-01-02 08:34","0.0","0","No"
"2018-01-02 08:44","0.0","0","No"
"2018-01-02 08:54","0.0","0","No"
"2018-01-02 08:56","0.0","",""
"2018-01-02 09:04","0.0","0","No"
"2018-01-02 09:14","0.0","0","No"
"2018-01-02 09:24","0.0","0","No"
"2018-01-02 09:34","0.0","0","No"
"2018-01-02 09:44","0.0","0","No"
"2018-01-02 09:54","0.0","0","No"
"2018-01-02 09:56","0.0","",""
"2018-01-02 10:04","0.0","0","No"
"2018-01-02 10:14","0.0","0","No"
"2018-01-02 10:24","0.0","0","No"
"2018-01-02 10:34","0.0","0","No"
"2018-01-02 10:44","0.0","0","No"
"2018-01-02 10:54","0.0","0","No"
"2018-01-02 10:56","0.0","",""
"2018-01-02 11:04","0.0","0","No"
"2018-01-02 11:14","0.0","0","No"
"2018-01-02 11:24","0.0","0","No"
"2018-01-02 11:34","0.0","0","No"
"2018-01-02 11:44","0.0","0","No"
"2018-01-02 11:54","0.0","0","No"
"2018-01-02 11:56","0.0","",""
"2018-01-02 12:04","0.0","0","No"
"2018-01-02 12:14","0.0","0","No"
"2018-01-02 12:24","0.0","0","No"
"2018-01-02 12:34","0.0","0","No"
"2018-01-02 12:44","0.0","0","No"
"2018-01-02 12:54","0.0","0","No"
"2018-01-02 12:56","0.0","",""
"2018-01-02 13:04","0.0","0","No"
"2018-01-02 13:14","0.0","0","No"
"2018-01-02 13:24","0.0","0","No"
"2018-01-02 13:34","0.0","0","No"
"2018-01-02 13:44","0.0","0","No"
"2018-01-02 13:54","0.0","0","No"
"2018-01-02 14:04","0.0","0","No"
"2018-01-02 14:14","0.0","0","No"
"2018-01-02 14:24","0.0","0","No"
"2018-01-02 14:34","0.0","0","No"
"2018-01-02 14:44","0.0","0","No"
"2018-01-02 14:54","0.0","0","No"
"2018-01-02 14:56","0.0","",""
"2018-01-02 15:04","0.0","0","No"
"2018-01-02 15:14","0.0","0","No"
"2018-01-02 15:24","0.0","0","No"
"2018-01-02 15:34","0.0","0","No"
"2018-01-02 15:44","0.0","0","No"
"2018-01-02 15:54","0.0","0","No"
"2018-01-02 15:56","0.0","",""
"2018-01-02 16:04","0.0","0","No"
"2018-01-02 16:14","0.0","0","No"
"2018-01-02 16:24","0.0","0","No"
"2018-01-02 16:34","0.0","0","No"
"2018-01-02 16:44","0.0","0","No"
"2018-01-02 16:54","0.0","0","No"
"2018-01-02 16:56","0.0","",""
"2018-01-02 17:04","0.0","0","No"
"2018-01-02 17:14","0.0","0","No"
"2018-01-02 17:24","0.0","0","No"
"2018-01-02 17:34","0.0","0","No"
"2018-01-02 17:44","0.0","0","No"
"2018-01-02 17:54","0.0","0","No"
"2018-01-02 17:56","0.0","",""
"2018-01-02 18:04","0.0","0","No"
"2018-01-02 18:14","0.0","0","No"
"2018-01-02 18:24","0.0","0","No"
"2018-01-02 18:34","0.0","0","No"
"2018-01-02 18:44","0.0","0","No"
"2018-01-02 18:54","0.0","0","No"
"2018-01-02 18:56","0.0","",""
