"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:04","0","SSE","0"
"2018-01-01 00:14","0","SSW","0"
"2018-01-01 00:24","0","SSW","3"
"2018-01-01 00:34","0","SSW","3"
"2018-01-01 10:24","","N/A","35"
"2018-01-01 10:34","18","N","23"
"2018-01-01 10:44","20","NNW","28"
"2018-01-01 10:54","12","N","18"
"2018-01-01 10:55","12","NNW","23"
"2018-01-01 11:04","18","NE","25"
"2018-01-01 11:14","1","ESE","4"
"2018-01-01 11:24","0","SSE","2"
"2018-01-01 11:34","0","SSW","1"
"2018-01-01 11:44","2","NNW","13"
"2018-01-01 11:54","24","N","36"
"2018-01-01 11:55","26","N","36"
"2018-01-01 12:04","28","N","38"
"2018-01-01 12:14","23","N","32"
"2018-01-01 12:24","31","N","40"
"2018-01-01 12:34","26","N","38"
"2018-01-01 12:44","29","N","39"
"2018-01-01 12:54","28","N","36"
"2018-01-01 12:55","29","N","37"
"2018-01-01 13:04","30","N","42"
"2018-01-01 13:14","26","N","33"
"2018-01-01 13:24","28","N","37"
"2018-01-01 13:34","24","N","30"
"2018-01-01 13:44","26","NNE","39"
"2018-01-01 13:54","31","N","41"
"2018-01-01 13:55","28","N","41"
"2018-01-01 14:04","32","N","43"
"2018-01-01 14:14","30","NNE","43"
"2018-01-01 14:24","24","N","35"
"2018-01-01 14:34","33","N","44"
"2018-01-01 14:44","30","N","39"
"2018-01-01 14:54","29","NNE","39"
"2018-01-01 14:55","30","N","39"
"2018-01-01 15:04","32","N","39"
"2018-01-01 15:14","31","N","44"
"2018-01-01 15:24","30","N","39"
"2018-01-01 15:34","26","NNE","35"
"2018-01-01 15:44","28","N","38"
"2018-01-01 15:54","32","N","44"
"2018-01-01 15:55","30","N","44"
"2018-01-01 16:04","30","N","40"
"2018-01-01 16:14","27","NNE","39"
"2018-01-01 16:24","32","NNE","42"
"2018-01-01 16:34","27","N","34"
"2018-01-01 16:44","29","NNE","36"
"2018-01-01 16:54","29","N","44"
"2018-01-01 16:55","27","N","36"
"2018-01-01 17:04","26","NNE","40"
"2018-01-01 17:14","29","N","38"
"2018-01-01 17:24","26","N","35"
"2018-01-01 17:34","26","N","37"
"2018-01-01 17:44","26","NNE","36"
"2018-01-01 17:54","30","N","40"
"2018-01-01 17:55","25","NNE","35"
"2018-01-01 18:04","23","NNE","32"
"2018-01-01 18:14","28","N","41"
"2018-01-01 18:24","21","NNE","28"
"2018-01-01 18:34","23","NNE","36"
"2018-01-01 18:44","24","N","32"
"2018-01-01 18:54","30","NNE","37"
"2018-01-01 18:55","28","NNE","38"
"2018-01-01 19:04","23","NNE","31"
"2018-01-01 19:14","11","ENE","17"
"2018-01-01 19:24","7","ENE","13"
"2018-01-01 19:34","9","ENE","14"
"2018-01-01 19:44","7","ENE","12"
"2018-01-01 19:54","6","E","8"
"2018-01-01 19:55","6","ESE","8"
"2018-01-01 19:56","6","ESE","8"
"2018-01-01 20:04","4","ESE","6"
"2018-01-01 20:14","0","ESE","4"
"2018-01-01 20:24","1","SE","4"
"2018-01-01 20:34","3","SSE","5"
"2018-01-01 20:44","1","SE","4"
"2018-01-01 20:54","0","SSE","3"
"2018-01-01 20:55","0","SSE","1"
"2018-01-01 21:04","0","SSE","1"
"2018-01-01 21:14","0","S","1"
"2018-01-01 21:24","0","S","0"
"2018-01-01 21:34","0","S","0"
"2018-01-01 21:44","0","SSW","3"
"2018-01-01 21:54","0","S","1"
"2018-01-01 21:55","0","S","1"
"2018-01-01 22:04","3","SSE","4"
"2018-01-01 22:14","0","SE","3"
"2018-01-01 22:24","1","SE","4"
"2018-01-01 22:34","3","SSE","6"
