"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:04","0","ESE","0"
"2018-03-01 00:14","0","E","4"
"2018-03-01 00:24","0","E","0"
"2018-03-01 00:34","0","SSE","0"
"2018-03-01 00:44","1","ESE","4"
"2018-03-01 00:54","2","ESE","6"
"2018-03-01 00:55","3","ESE","5"
"2018-03-01 01:04","2","E","6"
"2018-03-01 01:14","4","E","8"
"2018-03-01 01:24","0","E","4"
"2018-03-01 01:34","1","E","5"
"2018-03-01 01:44","1","E","5"
"2018-03-01 01:54","0","E","0"
"2018-03-01 01:55","0","ENE","4"
"2018-03-01 02:04","0","SE","0"
"2018-03-01 02:14","0","SE","0"
"2018-03-01 02:24","1","E","9"
"2018-03-01 02:34","1","E","6"
"2018-03-01 02:44","3","E","8"
"2018-03-01 02:54","0","ESE","0"
"2018-03-01 02:55","0","E","0"
"2018-03-01 03:04","0","ENE","1"
"2018-03-01 03:14","1","ESE","6"
"2018-03-01 03:24","0","ESE","0"
"2018-03-01 03:34","1","E","5"
"2018-03-01 03:44","3","E","9"
"2018-03-01 03:54","3","E","7"
"2018-03-01 03:55","4","E","8"
"2018-03-01 04:04","6","E","15"
"2018-03-01 04:14","0","ESE","1"
"2018-03-01 04:24","3","E","6"
"2018-03-01 04:34","5","ESE","12"
"2018-03-01 04:44","4","ESE","8"
"2018-03-01 04:54","0","ESE","5"
"2018-03-01 04:55","0","E","1"
"2018-03-01 05:04","0","SE","3"
"2018-03-01 05:14","1","SE","7"
"2018-03-01 05:24","2","ESE","7"
"2018-03-01 05:34","3","ESE","8"
"2018-03-01 05:44","1","ESE","7"
"2018-03-01 05:54","0","E","2"
"2018-03-01 05:55","0","ESE","4"
"2018-03-01 06:04","4","ESE","10"
"2018-03-01 06:14","3","ESE","5"
"2018-03-01 06:24","4","E","8"
"2018-03-01 06:34","5","ESE","9"
"2018-03-01 06:44","4","ESE","7"
"2018-03-01 06:54","1","ESE","5"
"2018-03-01 06:55","2","ESE","9"
"2018-03-01 07:04","3","ESE","8"
"2018-03-01 07:14","1","ESE","5"
"2018-03-01 07:24","4","ESE","8"
"2018-03-01 08:24","5","ESE","12"
"2018-03-01 08:34","4","ESE","6"
"2018-03-01 08:44","0","SE","4"
"2018-03-01 08:54","6","ESE","11"
"2018-03-01 08:55","4","ESE","11"
"2018-03-01 09:04","3","E","8"
"2018-03-01 09:14","2","ESE","7"
"2018-03-01 09:24","1","ESE","5"
"2018-03-01 09:34","4","ESE","10"
"2018-03-01 09:44","7","ESE","13"
"2018-03-01 09:54","6","ESE","13"
"2018-03-01 09:55","3","ESE","9"
"2018-03-01 10:04","4","ESE","9"
"2018-03-01 10:14","3","SE","10"
"2018-03-01 10:24","7","ESE","14"
"2018-03-01 10:34","5","ESE","8"
"2018-03-01 10:44","3","SE","9"
"2018-03-01 10:54","4","ESE","12"
"2018-03-01 10:55","6","ESE","12"
"2018-03-01 11:04","5","ESE","12"
"2018-03-01 11:14","5","ESE","12"
"2018-03-01 11:24","6","SE","11"
"2018-03-01 11:34","3","SE","8"
"2018-03-01 11:44","7","ESE","13"
"2018-03-01 11:54","4","ESE","8"
"2018-03-01 11:55","6","ESE","12"
"2018-03-01 12:04","5","ESE","12"
"2018-03-01 12:14","6","ESE","14"
"2018-03-01 12:24","4","ESE","13"
"2018-03-01 12:34","8","ESE","12"
"2018-03-01 12:44","4","E","8"
"2018-03-01 12:54","7","E","13"
"2018-03-01 12:55","6","E","13"
"2018-03-01 13:04","8","ESE","19"
"2018-03-01 13:14","5","ESE","11"
"2018-03-01 13:24","7","ESE","13"
"2018-03-01 13:34","8","E","17"
"2018-03-01 13:44","7","ESE","14"
"2018-03-01 13:54","4","E","7"
"2018-03-01 13:55","5","E","13"
"2018-03-01 14:04","9","E","15"
"2018-03-01 14:14","7","ESE","12"
"2018-03-01 14:24","7","ESE","11"
"2018-03-01 14:34","5","ESE","9"
"2018-03-01 14:44","8","ESE","13"
"2018-03-01 14:54","9","ESE","12"
"2018-03-01 14:55","9","ESE","14"
"2018-03-01 15:04","6","ESE","16"
"2018-03-01 15:14","7","ESE","11"
"2018-03-01 15:24","8","ESE","14"
"2018-03-01 15:34","7","SE","14"
"2018-03-01 15:44","6","ESE","13"
"2018-03-01 15:54","10","ESE","17"
"2018-03-01 15:55","10","ESE","17"
"2018-03-01 16:04","4","ESE","9"
"2018-03-01 16:14","6","ENE","13"
"2018-03-01 16:24","8","ENE","15"
"2018-03-01 16:34","5","E","8"
"2018-03-01 16:44","6","ENE","9"
"2018-03-01 16:54","10","E","16"
"2018-03-01 16:55","10","E","13"
"2018-03-01 17:04","9","ENE","12"
"2018-03-01 17:14","8","ENE","14"
"2018-03-01 17:24","13","ENE","18"
"2018-03-01 17:34","14","ENE","19"
"2018-03-01 17:44","8","ENE","12"
"2018-03-01 17:54","9","ENE","15"
"2018-03-01 17:55","9","ENE","13"
"2018-03-01 18:04","10","ENE","17"
"2018-03-01 18:14","10","ENE","14"
"2018-03-01 18:24","9","NE","15"
"2018-03-01 18:34","10","ENE","14"
"2018-03-01 18:44","12","ENE","19"
"2018-03-01 18:54","11","ENE","17"
"2018-03-01 18:55","12","ENE","18"
"2018-03-01 19:04","12","ENE","17"
"2018-03-01 19:14","15","ENE","22"
"2018-03-01 19:24","11","ENE","16"
"2018-03-01 19:34","12","ENE","17"
"2018-03-01 19:44","11","ENE","17"
"2018-03-01 19:54","11","ENE","18"
"2018-03-01 19:55","12","ENE","16"
"2018-03-01 20:04","12","ENE","21"
"2018-03-01 20:14","12","ENE","15"
"2018-03-01 20:24","12","ENE","18"
"2018-03-01 20:34","10","ENE","13"
"2018-03-01 20:44","12","ENE","18"
"2018-03-01 20:54","14","NE","23"
"2018-03-01 20:55","12","ENE","23"
"2018-03-01 21:04","12","ENE","19"
"2018-03-01 21:14","15","ENE","23"
"2018-03-01 21:24","13","ENE","21"
"2018-03-01 21:34","15","NE","24"
"2018-03-01 21:44","13","ENE","20"
"2018-03-01 21:54","13","ENE","20"
"2018-03-01 21:55","14","ENE","22"
"2018-03-01 22:04","12","ENE","18"
"2018-03-01 22:14","15","ENE","26"
"2018-03-01 22:24","13","ENE","18"
"2018-03-01 22:34","15","ENE","18"
"2018-03-01 22:44","13","ENE","17"
"2018-03-01 22:54","12","ENE","16"
"2018-03-01 22:55","14","ENE","22"
"2018-03-01 23:04","15","ENE","24"
"2018-03-01 23:14","13","ENE","18"
"2018-03-01 23:24","13","NE","19"
"2018-03-01 23:34","10","NE","17"
"2018-03-01 23:44","13","NE","26"
"2018-03-01 23:54","19","NE","28"
"2018-03-01 23:55","16","ENE","23"
"2018-03-02 00:04","18","ENE","25"
"2018-03-02 00:14","15","ENE","25"
"2018-03-02 00:24","14","ENE","30"
"2018-03-02 00:34","17","ENE","27"
"2018-03-02 00:44","19","ENE","27"
"2018-03-02 00:54","19","NE","27"
"2018-03-02 00:55","17","ENE","23"
"2018-03-02 01:04","13","NE","21"
"2018-03-02 01:14","15","NE","22"
"2018-03-02 01:24","11","NE","18"
