"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:04","21","W","26"
"2018-02-01 00:14","17","W","29"
"2018-02-01 00:24","20","W","30"
"2018-02-01 00:34","18","W","30"
"2018-02-01 00:44","17","W","25"
"2018-02-01 00:54","18","WNW","28"
"2018-02-01 01:04","16","WNW","24"
"2018-02-01 01:14","15","WNW","31"
"2018-02-01 01:24","12","WNW","27"
"2018-02-01 01:34","14","WNW","26"
"2018-02-01 01:44","18","W","23"
"2018-02-01 01:54","13","WNW","22"
"2018-02-01 02:04","19","WNW","24"
"2018-02-01 02:14","16","WNW","27"
"2018-02-01 02:24","14","WNW","26"
"2018-02-01 02:34","14","WNW","22"
"2018-02-01 02:44","13","W","22"
"2018-02-01 02:54","20","W","24"
"2018-02-01 03:04","19","W","30"
"2018-02-01 03:14","15","W","23"
"2018-02-01 03:24","16","W","22"
"2018-02-01 03:34","17","W","28"
"2018-02-01 03:44","15","W","22"
"2018-02-01 03:54","20","W","26"
"2018-02-01 04:04","21","W","30"
"2018-02-01 04:14","19","WSW","29"
"2018-02-01 04:24","18","W","30"
"2018-02-01 04:34","19","WSW","30"
"2018-02-01 04:44","18","W","26"
"2018-02-01 04:54","19","W","28"
"2018-02-01 05:04","21","WNW","30"
"2018-02-01 05:14","21","W","30"
"2018-02-01 05:24","20","W","29"
"2018-02-01 05:34","17","W","32"
"2018-02-01 05:44","19","W","28"
"2018-02-01 05:54","20","W","28"
"2018-02-01 06:04","19","W","28"
"2018-02-01 06:14","20","WSW","30"
"2018-02-01 06:24","18","W","27"
"2018-02-01 06:34","17","WSW","26"
"2018-02-01 06:44","19","WSW","29"
"2018-02-01 06:54","18","WSW","29"
"2018-02-01 07:04","19","WSW","28"
"2018-02-01 07:14","19","WSW","27"
"2018-02-01 07:24","16","W","26"
"2018-02-01 07:34","15","WSW","25"
"2018-02-01 07:44","11","SW","21"
"2018-02-01 07:54","17","WSW","21"
"2018-02-01 08:04","13","SW","19"
"2018-02-01 08:14","18","SW","24"
"2018-02-01 08:24","19","WSW","27"
"2018-02-01 08:34","16","WSW","22"
"2018-02-01 08:44","16","WSW","24"
"2018-02-01 08:54","21","WSW","28"
"2018-02-01 09:04","19","WSW","26"
"2018-02-01 09:14","18","WSW","27"
"2018-02-01 09:24","24","WSW","32"
"2018-02-01 09:34","18","W","31"
"2018-02-01 09:44","21","WSW","40"
"2018-02-01 09:54","26","W","36"
"2018-02-01 10:04","24","WSW","38"
"2018-02-01 10:14","23","W","35"
"2018-02-01 10:24","25","W","36"
"2018-02-01 10:34","20","W","36"
"2018-02-01 10:44","21","WNW","32"
"2018-02-01 10:54","23","WNW","40"
"2018-02-01 11:04","23","W","42"
"2018-02-01 11:14","24","WNW","36"
"2018-02-01 11:24","28","WNW","42"
"2018-02-01 11:34","35","N","41"
"2018-02-01 11:44","17","NW","35"
"2018-02-01 11:54","","NW","31"
"2018-02-01 12:04","22","N","36"
"2018-02-01 12:14","21","N","39"
