"Time EST","Air Temp (°C)"
"2018-01-01 00:04","-27.1"
"2018-01-01 00:14","-26.7"
"2018-01-01 00:24","-28.4"
"2018-01-01 00:34","-28.1"
"2018-01-01 00:44","-25.5"
"2018-01-01 00:54","-24.4"
"2018-01-01 01:04","-22.9"
"2018-01-01 01:14","-21.9"
"2018-01-01 01:24","-22.2"
"2018-01-01 01:34","-23.4"
"2018-01-01 01:44","-22.1"
"2018-01-01 01:54","-22.4"
"2018-01-01 02:04","-23.7"
"2018-01-01 02:14","-23.9"
"2018-01-01 02:24","-23.4"
"2018-01-01 02:34","-23.5"
"2018-01-01 02:44","-24.0"
"2018-01-01 02:54","-23.9"
"2018-01-01 03:04","-24.5"
"2018-01-01 03:14","-20.0"
"2018-01-01 03:24","-19.5"
"2018-01-01 03:34","-19.4"
"2018-01-01 03:44","-19.3"
"2018-01-01 03:54","-19.6"
"2018-01-01 04:04","-19.5"
"2018-01-01 04:14","-19.2"
"2018-01-01 04:24","-18.8"
"2018-01-01 04:34","-18.4"
"2018-01-01 04:44","-17.9"
"2018-01-01 04:54","-17.8"
"2018-01-01 05:04","-18.0"
"2018-01-01 05:14","-17.7"
"2018-01-01 05:24","-17.2"
"2018-01-01 05:34","-16.9"
"2018-01-01 05:44","-16.6"
"2018-01-01 05:54","-16.2"
"2018-01-01 06:04","-15.9"
"2018-01-01 06:14","-15.7"
"2018-01-01 06:24","-15.7"
"2018-01-01 06:34","-15.6"
"2018-01-01 06:44","-15.4"
"2018-01-01 06:54","-15.4"
"2018-01-01 07:04","-15.3"
"2018-01-01 07:14","-15.1"
"2018-01-01 07:24","-14.9"
"2018-01-01 07:34","-14.7"
"2018-01-01 07:44","-14.5"
"2018-01-01 07:54","-14.7"
"2018-01-01 08:04","-14.7"
"2018-01-01 08:14","-14.5"
"2018-01-01 08:24","-14.5"
"2018-01-01 08:34","-14.2"
"2018-01-01 08:44","-13.8"
"2018-01-01 08:54","-13.7"
"2018-01-01 09:04","-13.6"
"2018-01-01 09:14","-13.4"
"2018-01-01 09:24","-13.2"
"2018-01-01 09:34","-13.1"
"2018-01-01 09:44","-13.0"
"2018-01-01 09:54","-12.9"
"2018-01-01 10:04","-12.7"
"2018-01-01 10:14","-12.8"
"2018-01-01 10:24","-12.6"
"2018-01-01 10:34","-12.5"
"2018-01-01 10:44","-13.0"
"2018-01-01 10:54","-13.2"
"2018-01-01 11:04","-13.3"
"2018-01-01 11:14","-13.8"
"2018-01-01 11:24","-13.8"
"2018-01-01 11:34","-13.7"
"2018-01-01 11:44","-13.7"
"2018-01-01 11:54","-13.8"
"2018-01-01 12:04","-13.8"
"2018-01-01 12:14","-13.8"
"2018-01-01 12:24","-13.8"
"2018-01-01 12:34","-13.7"
"2018-01-01 12:44","-13.9"
"2018-01-01 12:54","-14.1"
"2018-01-01 13:04","-14.2"
"2018-01-01 13:14","-14.1"
"2018-01-01 13:24","-14.5"
"2018-01-01 13:34","-14.5"
"2018-01-01 13:44","-14.4"
"2018-01-01 13:54","-14.3"
"2018-01-01 14:04","-14.4"
"2018-01-01 14:14","-14.4"
"2018-01-01 14:24","-14.5"
"2018-01-01 14:34","-14.7"
"2018-01-01 14:44","-14.6"
"2018-01-01 14:54","-14.6"
"2018-01-01 15:04","-14.8"
"2018-01-01 15:14","-14.8"
"2018-01-01 15:24","-14.7"
"2018-01-01 15:34","-14.7"
"2018-01-01 15:44","-15.2"
"2018-01-01 15:54","-15.6"
"2018-01-01 16:04","-15.8"
"2018-01-01 16:14","-15.8"
"2018-01-01 16:24","-15.9"
"2018-01-01 16:34","-16.0"
"2018-01-01 16:44","-16.1"
"2018-01-01 16:54","-16.1"
"2018-01-01 17:04","-16.2"
"2018-01-01 17:14","-16.3"
"2018-01-01 17:24","-16.2"
"2018-01-01 17:34","-16.2"
"2018-01-01 17:44","-16.2"
"2018-01-01 17:54","-16.2"
"2018-01-01 18:04","-16.1"
"2018-01-01 18:14","-16.0"
"2018-01-01 18:24","-15.9"
"2018-01-01 18:34","-16.0"
"2018-01-01 18:44","-16.1"
"2018-01-01 18:54","-16.4"
"2018-01-01 19:04","-16.5"
"2018-01-01 19:14","-16.3"
"2018-01-01 19:24","-16.4"
"2018-01-01 19:34","-16.5"
"2018-01-01 19:44","-16.6"
"2018-01-01 19:54","-16.6"
"2018-01-01 20:04","-17.0"
"2018-01-01 20:14","-17.2"
"2018-01-01 20:24","-17.2"
"2018-01-01 20:34","-18.0"
"2018-01-01 20:44","-18.3"
"2018-01-01 20:54","-19.7"
"2018-01-01 21:04","-19.4"
"2018-01-01 21:14","-19.4"
"2018-01-01 21:24","-19.7"
"2018-01-01 21:34","-19.7"
"2018-01-01 21:44","-19.3"
"2018-01-01 21:54","-19.2"
"2018-01-01 22:04","-18.8"
"2018-01-01 22:14","-18.5"
"2018-01-01 22:24","-17.4"
"2018-01-01 22:34","-16.8"
"2018-01-01 22:44","-16.6"
"2018-01-01 22:54","-16.3"
"2018-01-01 23:04","-16.1"
"2018-01-01 23:14","-16.0"
"2018-01-01 23:24","-15.8"
"2018-01-01 23:34","-15.6"
"2018-01-01 23:44","-15.4"
"2018-01-01 23:54","-15.2"
"2018-01-02 00:04","-15.1"
"2018-01-02 00:14","-14.9"
"2018-01-02 00:24","-14.5"
"2018-01-02 00:34","-14.4"
"2018-01-02 00:44","-14.2"
"2018-01-02 00:54","-14.1"
"2018-01-02 01:04","-14.0"
"2018-01-02 01:14","-13.9"
"2018-01-02 01:24","-13.8"
"2018-01-02 01:34","-13.8"
"2018-01-02 01:44","-13.9"
"2018-01-02 01:54","-14.1"
"2018-01-02 02:04","-14.3"
"2018-01-02 02:14","-14.1"
"2018-01-02 02:24","-13.9"
"2018-01-02 02:34","-13.8"
"2018-01-02 02:44","-13.4"
"2018-01-02 02:54","-13.0"
"2018-01-02 03:04","-12.8"
"2018-01-02 03:14","-12.6"
"2018-01-02 03:24","-12.4"
"2018-01-02 03:34","-12.3"
"2018-01-02 03:44","-12.1"
"2018-01-02 03:54","-11.9"
"2018-01-02 04:04","-11.8"
"2018-01-02 04:14","-11.4"
"2018-01-02 04:24","-10.7"
"2018-01-02 04:34","-10.3"
"2018-01-02 04:44","-10.1"
"2018-01-02 04:54","-9.8"
"2018-01-02 05:04","-9.9"
"2018-01-02 05:14","-9.9"
"2018-01-02 05:24","-9.9"
"2018-01-02 05:34","-10.0"
"2018-01-02 05:44","-10.1"
"2018-01-02 05:54","-10.2"
"2018-01-02 06:04","-10.3"
"2018-01-02 06:14","-10.5"
"2018-01-02 06:24","-10.6"
"2018-01-02 06:34","-10.8"
"2018-01-02 06:44","-10.8"
"2018-01-02 06:54","-10.8"
"2018-01-02 07:04","-11.0"
"2018-01-02 07:14","-11.1"
"2018-01-02 07:24","-11.1"
"2018-01-02 07:34","-11.1"
"2018-01-02 07:44","-11.1"
"2018-01-02 07:54","-11.2"
"2018-01-02 08:04","-11.2"
"2018-01-02 08:14","-11.4"
"2018-01-02 08:24","-11.5"
"2018-01-02 08:34","-11.5"
"2018-01-02 08:44","-11.5"
"2018-01-02 08:54","-11.5"
"2018-01-02 09:04","-11.4"
"2018-01-02 09:14","-11.3"
"2018-01-02 09:24","-11.3"
"2018-01-02 09:34","-11.2"
"2018-01-02 09:44","-11.0"
"2018-01-02 09:54","-10.9"
"2018-01-02 10:04","-10.8"
"2018-01-02 10:14","-10.6"
"2018-01-02 10:24","-10.5"
"2018-01-02 10:34","-10.4"
"2018-01-02 10:44","-10.3"
"2018-01-02 10:54","-10.2"
"2018-01-02 11:04","-10.0"
"2018-01-02 11:14","-10.0"
"2018-01-02 11:24","-9.9"
"2018-01-02 11:34","-9.8"
"2018-01-02 11:44","-9.7"
"2018-01-02 11:54","-9.7"
"2018-01-02 12:04","-9.6"
"2018-01-02 12:14","-9.5"
"2018-01-02 12:24","-9.4"
"2018-01-02 12:34","-9.3"
"2018-01-02 12:44","-9.3"
"2018-01-02 12:54","-9.2"
"2018-01-02 13:04","-9.2"
"2018-01-02 13:14","-9.2"
"2018-01-02 13:24","-9.1"
"2018-01-02 13:34","-9.2"
"2018-01-02 13:44","-9.1"
"2018-01-02 13:54","-9.2"
"2018-01-02 14:04","-9.1"
"2018-01-02 14:14","-9.1"
"2018-01-02 14:24","-9.2"
"2018-01-02 14:34","-9.2"
"2018-01-02 14:44","-9.2"
"2018-01-02 14:54","-9.2"
"2018-01-02 15:04","-9.2"
"2018-01-02 15:14","-9.3"
"2018-01-02 15:24","-9.3"
"2018-01-02 15:34","-9.4"
"2018-01-02 15:44","-9.4"
"2018-01-02 15:54","-9.4"
"2018-01-02 16:04","-9.5"
"2018-01-02 16:14","-9.5"
"2018-01-02 16:24","-9.5"
"2018-01-02 16:34","-9.5"
"2018-01-02 16:44","-9.6"
"2018-01-02 16:54","-9.6"
"2018-01-02 17:04","-9.6"
"2018-01-02 17:14","-9.6"
"2018-01-02 17:24","-9.6"
"2018-01-02 17:34","-9.6"
"2018-01-02 17:44","-9.6"
"2018-01-02 17:54","-9.6"
"2018-01-02 18:04","-10.8"
"2018-01-02 18:14","-11.0"
"2018-01-02 18:24","-11.0"
"2018-01-02 18:34","-11.3"
"2018-01-02 18:44","-11.5"
"2018-01-02 18:54","-11.6"
"2018-01-02 19:04","-11.7"
"2018-01-02 19:14","-11.7"
"2018-01-02 19:24","-11.7"
"2018-01-02 19:34","-11.6"
"2018-01-02 19:44","-11.5"
"2018-01-02 19:54","-11.5"
"2018-01-02 20:04","-11.5"
"2018-01-02 20:14","-11.5"
"2018-01-02 20:24","-11.6"
"2018-01-02 20:34","-11.5"
"2018-01-02 20:44","-11.5"
"2018-01-02 20:54","-12.7"
"2018-01-02 21:04","-13.1"
"2018-01-02 21:14","-13.4"
"2018-01-02 21:24","-13.8"
"2018-01-02 21:34","-14.1"
"2018-01-02 21:44","-13.6"
"2018-01-02 21:54","-13.8"
"2018-01-02 22:04","-14.2"
"2018-01-02 22:14","-14.0"
"2018-01-02 22:24","-13.8"
"2018-01-02 22:34","-13.8"
"2018-01-02 22:44","-13.7"
"2018-01-02 22:54","-13.5"
"2018-01-02 23:04","-13.5"
"2018-01-02 23:14","-13.4"
"2018-01-02 23:24","-13.4"
"2018-01-02 23:34","-13.4"
"2018-01-02 23:44","-13.5"
"2018-01-02 23:54","-13.9"
"2018-01-03 00:04","-14.4"
"2018-01-03 00:14","-14.5"
"2018-01-03 00:24","-14.7"
"2018-01-03 00:34","-14.7"
"2018-01-03 00:44","-14.9"
"2018-01-03 00:54","-15.0"
"2018-01-03 01:04","-15.1"
"2018-01-03 01:14","-15.0"
"2018-01-03 01:24","-15.0"
"2018-01-03 01:34","-15.1"
"2018-01-03 01:44","-15.1"
"2018-01-03 01:54","-15.2"
"2018-01-03 02:04","-15.4"
"2018-01-03 02:14","-15.6"
"2018-01-03 02:24","-15.6"
"2018-01-03 02:34","-15.7"
"2018-01-03 02:44","-15.9"
"2018-01-03 02:54","-15.9"
"2018-01-03 03:04","-15.9"
"2018-01-03 03:14","-16.0"
"2018-01-03 03:24","-16.1"
"2018-01-03 03:34","-16.1"
"2018-01-03 03:44","-16.0"
"2018-01-03 03:54","-16.0"
"2018-01-03 04:04","-15.9"
"2018-01-03 04:14","-15.8"
"2018-01-03 04:24","-15.9"
"2018-01-03 04:34","-15.9"
"2018-01-03 04:44","-16.0"
"2018-01-03 04:54","-15.8"
"2018-01-03 05:04","-15.6"
"2018-01-03 05:14","-15.6"
"2018-01-03 05:24","-15.5"
"2018-01-03 05:34","-15.5"
"2018-01-03 05:44","-15.7"
"2018-01-03 05:54","-15.7"
"2018-01-03 06:04","-15.6"
"2018-01-03 06:15","-15.7"
"2018-01-03 06:24","-15.7"
"2018-01-03 06:34","-15.7"
"2018-01-03 06:44","-15.8"
"2018-01-03 06:54","-15.7"
"2018-01-03 07:04","-15.7"
"2018-01-03 07:14","-15.7"
"2018-01-03 07:24","-15.7"
"2018-01-03 07:34","-15.8"
"2018-01-03 07:44","-15.7"
"2018-01-03 07:54","-15.6"
"2018-01-03 08:04","-15.6"
"2018-01-03 08:15","-15.5"
"2018-01-03 08:24","-15.4"
"2018-01-03 08:34","-15.4"
"2018-01-03 08:44","-15.3"
"2018-01-03 08:54","-15.2"
"2018-01-03 09:04","-15.1"
"2018-01-03 09:19","-14.9"
"2018-01-03 09:24","-14.8"
"2018-01-03 09:44","-14.5"
"2018-01-03 09:54","-14.5"
"2018-01-03 10:04","-14.3"
