"Time EST","Pressure (kPa)"
"2018-03-01 00:04","102.35"
"2018-03-01 00:14","102.35"
"2018-03-01 00:24","102.36"
"2018-03-01 00:34","102.36"
"2018-03-01 00:44","102.36"
"2018-03-01 00:54","102.37"
"2018-03-01 01:04","102.36"
"2018-03-01 01:14","102.36"
"2018-03-01 01:24","102.36"
"2018-03-01 01:34","102.36"
"2018-03-01 01:44","102.36"
"2018-03-01 01:54","102.36"
"2018-03-01 02:04","102.36"
"2018-03-01 02:14","102.36"
"2018-03-01 02:24","102.36"
"2018-03-01 02:34","102.36"
"2018-03-01 02:44","102.36"
"2018-03-01 02:54","102.36"
"2018-03-01 03:04","102.35"
"2018-03-01 03:14","102.36"
"2018-03-01 03:24","102.36"
"2018-03-01 03:34","102.36"
"2018-03-01 03:44","102.35"
"2018-03-01 03:54","102.35"
"2018-03-01 04:04","102.34"
"2018-03-01 04:14","102.34"
"2018-03-01 04:24","102.33"
"2018-03-01 04:34","102.34"
"2018-03-01 04:44","102.34"
"2018-03-01 04:54","102.34"
"2018-03-01 05:04","102.35"
"2018-03-01 05:14","102.36"
"2018-03-01 05:24","102.36"
"2018-03-01 05:34","102.37"
"2018-03-01 05:44","102.37"
"2018-03-01 05:54","102.38"
"2018-03-01 06:04","102.37"
"2018-03-01 06:14","102.37"
"2018-03-01 06:24","102.36"
"2018-03-01 06:34","102.35"
"2018-03-01 06:44","102.37"
"2018-03-01 06:54","102.37"
"2018-03-01 07:04","102.36"
"2018-03-01 07:14","102.36"
"2018-03-01 07:24","102.37"
"2018-03-01 08:24","102.40"
"2018-03-01 08:34","102.39"
"2018-03-01 08:44","102.39"
"2018-03-01 08:54","102.38"
"2018-03-01 09:04","102.40"
"2018-03-01 09:14","102.40"
"2018-03-01 09:24","102.40"
"2018-03-01 09:34","102.38"
"2018-03-01 09:44","102.39"
"2018-03-01 09:54","102.37"
"2018-03-01 10:04","102.36"
"2018-03-01 10:14","102.34"
"2018-03-01 10:24","102.35"
"2018-03-01 10:34","102.35"
"2018-03-01 10:44","102.35"
"2018-03-01 10:54","102.35"
"2018-03-01 11:04","102.36"
"2018-03-01 11:14","102.36"
"2018-03-01 11:24","102.36"
"2018-03-01 11:34","102.35"
"2018-03-01 11:44","102.34"
"2018-03-01 11:54","102.33"
"2018-03-01 12:04","102.33"
"2018-03-01 12:14","102.32"
"2018-03-01 12:24","102.29"
"2018-03-01 12:34","102.29"
"2018-03-01 12:44","102.28"
"2018-03-01 12:54","102.28"
"2018-03-01 13:04","102.27"
"2018-03-01 13:14","102.26"
"2018-03-01 13:24","102.25"
"2018-03-01 13:34","102.24"
"2018-03-01 13:44","102.22"
"2018-03-01 13:54","102.21"
"2018-03-01 14:04","102.22"
"2018-03-01 14:14","102.21"
"2018-03-01 14:24","102.20"
"2018-03-01 14:34","102.21"
"2018-03-01 14:44","102.21"
"2018-03-01 14:54","102.21"
"2018-03-01 15:04","102.20"
"2018-03-01 15:14","102.19"
"2018-03-01 15:24","102.18"
"2018-03-01 15:34","102.18"
"2018-03-01 15:44","102.18"
"2018-03-01 15:54","102.18"
"2018-03-01 16:04","102.18"
"2018-03-01 16:14","102.18"
"2018-03-01 16:24","102.18"
"2018-03-01 16:34","102.18"
"2018-03-01 16:44","102.18"
"2018-03-01 16:54","102.18"
"2018-03-01 17:04","102.18"
"2018-03-01 17:14","102.19"
"2018-03-01 17:24","102.18"
"2018-03-01 17:34","102.20"
"2018-03-01 17:44","102.19"
"2018-03-01 17:54","102.20"
"2018-03-01 18:04","102.20"
"2018-03-01 18:14","102.20"
"2018-03-01 18:24","102.20"
"2018-03-01 18:34","102.20"
"2018-03-01 18:44","102.20"
"2018-03-01 18:54","102.20"
"2018-03-01 19:04","102.21"
"2018-03-01 19:14","102.20"
"2018-03-01 19:24","102.20"
"2018-03-01 19:34","102.20"
"2018-03-01 19:44","102.21"
"2018-03-01 19:54","102.21"
"2018-03-01 20:04","102.22"
"2018-03-01 20:14","102.22"
"2018-03-01 20:24","102.21"
"2018-03-01 20:34","102.21"
"2018-03-01 20:44","102.21"
"2018-03-01 20:54","102.22"
"2018-03-01 21:04","102.22"
"2018-03-01 21:14","102.23"
"2018-03-01 21:24","102.23"
"2018-03-01 21:34","102.24"
"2018-03-01 21:44","102.24"
"2018-03-01 21:54","102.24"
"2018-03-01 22:04","102.24"
"2018-03-01 22:14","102.24"
"2018-03-01 22:24","102.24"
"2018-03-01 22:34","102.25"
"2018-03-01 22:44","102.25"
"2018-03-01 22:54","102.24"
"2018-03-01 23:04","102.25"
