"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:04","10","WNW","20"
"2017-12-01 00:14","12","NW","26"
"2017-12-01 00:24","11","WNW","26"
"2017-12-01 00:34","12","WNW","18"
"2017-12-01 00:44","11","WNW","18"
"2017-12-01 00:54","10","WNW","15"
"2017-12-01 01:04","7","WNW","15"
"2017-12-01 01:14","10","WNW","17"
"2017-12-01 01:24","10","NW","15"
"2017-12-01 01:34","9","NW","17"
"2017-12-01 01:44","8","WNW","17"
"2017-12-01 01:54","9","NW","19"
"2017-12-01 02:04","10","WNW","19"
"2017-12-01 02:14","11","WNW","16"
"2017-12-01 02:24","6","WNW","19"
"2017-12-01 02:34","8","NW","17"
"2017-12-01 02:44","9","WNW","16"
"2017-12-01 02:54","10","NW","18"
"2017-12-01 03:04","10","WNW","21"
"2017-12-01 03:14","10","WNW","17"
"2017-12-01 03:34","10","NW","21"
"2017-12-01 03:54","7","NW","13"
"2017-12-01 04:14","4","WNW","11"
"2017-12-01 04:34","2","WNW","5"
"2017-12-01 04:54","5","NW","9"
"2017-12-01 05:14","6","NW","13"
"2017-12-01 05:34","8","NW","12"
"2017-12-01 05:54","6","WNW","16"
"2017-12-01 06:14","4","WNW","9"
"2017-12-01 06:34","3","WNW","4"
"2017-12-01 06:54","0","NW","0"
"2017-12-01 07:14","0","SSW","0"
"2017-12-01 07:34","0","N","0"
"2017-12-01 07:54","0","WSW","1"
"2017-12-01 08:14","2","WNW","6"
"2017-12-01 08:34","3","W","6"
"2017-12-01 08:54","5","W","9"
"2017-12-01 09:14","8","W","12"
"2017-12-01 09:34","6","W","15"
"2017-12-01 09:54","5","WSW","14"
"2017-12-01 10:14","10","WNW","18"
"2017-12-01 10:34","8","WNW","18"
"2017-12-01 10:54","13","WNW","18"
"2017-12-01 11:14","11","W","21"
"2017-12-01 11:34","6","W","15"
"2017-12-01 11:54","7","W","18"
"2017-12-01 12:14","9","WNW","17"
"2017-12-01 12:34","15","WSW","24"
"2017-12-01 12:54","7","W","18"
"2017-12-01 13:14","12","WSW","23"
"2017-12-01 13:34","6","SW","18"
"2017-12-01 13:44","5","WSW","18"
"2017-12-01 13:54","8","W","22"
"2017-12-01 14:04","10","WNW","22"
"2017-12-01 14:14","9","WSW","22"
"2017-12-01 14:24","8","W","23"
"2017-12-01 14:34","10","WSW","21"
"2017-12-01 14:44","11","WSW","19"
"2017-12-01 14:54","6","SW","15"
"2017-12-01 15:04","5","WSW","15"
"2017-12-01 15:14","6","WSW","15"
"2017-12-01 15:24","7","SW","15"
"2017-12-01 15:34","5","WSW","18"
"2017-12-01 15:44","8","WNW","18"
"2017-12-01 15:54","6","WSW","17"
"2017-12-01 16:04","5","SW","13"
"2017-12-01 16:14","6","SW","16"
"2017-12-01 16:24","7","WSW","14"
"2017-12-01 16:34","5","SW","13"
"2017-12-01 16:44","4","WSW","15"
"2017-12-01 16:54","7","SW","17"
"2017-12-01 17:04","6","WSW","14"
"2017-12-01 17:14","5","W","13"
"2017-12-01 17:24","4","WSW","12"
"2017-12-01 17:34","6","WSW","12"
"2017-12-01 17:44","4","SW","12"
"2017-12-01 17:54","2","SW","15"
"2017-12-01 18:04","1","WNW","15"
"2017-12-01 18:14","2","SW","9"
"2017-12-01 18:24","2","SSW","7"
"2017-12-01 18:34","1","WSW","7"
"2017-12-01 18:44","1","S","5"
"2017-12-01 18:54","3","SW","8"
"2017-12-01 19:04","1","SW","9"
"2017-12-01 19:14","4","SW","10"
"2017-12-01 19:24","3","SW","10"
"2017-12-01 19:34","4","SW","10"
"2017-12-01 19:44","6","SW","10"
"2017-12-01 19:54","6","SW","13"
"2017-12-01 20:04","4","WSW","14"
"2017-12-01 20:14","4","SSW","13"
"2017-12-01 20:24","4","SW","19"
"2017-12-01 20:34","6","SW","14"
"2017-12-01 20:44","4","SSW","17"
