"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:04","-25.1","79"
"2018-01-01 00:14","-24.0","81"
"2018-01-01 00:24","-24.0","79"
"2018-01-01 00:34","-23.1","81"
"2018-01-01 00:44","-23.0","79"
"2018-01-01 00:54","-23.1","79"
"2018-01-01 01:04","-22.9","80"
"2018-01-01 01:14","-22.2","81"
"2018-01-01 01:24","-21.5","81"
"2018-01-01 01:34","-21.3","80"
"2018-01-01 01:44","-22.1","78"
"2018-01-01 01:54","-21.7","79"
"2018-01-01 02:04","-22.2","79"
"2018-01-01 02:14","-22.2","79"
"2018-01-01 02:24","-21.8","81"
"2018-01-01 02:34","-20.9","82"
"2018-01-01 02:44","-21.0","80"
"2018-01-01 02:54","-20.7","81"
"2018-01-01 03:04","-20.2","81"
"2018-01-01 03:14","-20.9","79"
"2018-01-01 03:24","-19.9","82"
"2018-01-01 03:34","-19.6","82"
"2018-01-01 03:44","-19.5","81"
"2018-01-01 03:54","-19.9","80"
"2018-01-01 04:04","-19.6","81"
"2018-01-01 04:14","-19.5","81"
"2018-01-01 04:24","-19.2","82"
"2018-01-01 04:34","-18.9","83"
"2018-01-01 04:44","-19.2","82"
"2018-01-01 04:54","-19.1","82"
"2018-01-01 05:04","-18.8","83"
"2018-01-01 05:14","-18.6","83"
"2018-01-01 05:24","-18.3","84"
"2018-01-01 05:34","-17.9","84"
"2018-01-01 05:44","-18.2","82"
"2018-01-01 05:54","-18.0","84"
"2018-01-01 06:04","-18.0","83"
"2018-01-01 06:14","-17.9","84"
"2018-01-01 06:24","-18.1","83"
"2018-01-01 06:34","-17.6","84"
"2018-01-01 06:44","-17.1","84"
"2018-01-01 06:54","-17.3","83"
"2018-01-01 07:04","-17.0","84"
"2018-01-01 07:14","-16.7","84"
"2018-01-01 07:24","-16.6","83"
"2018-01-01 07:34","-16.4","83"
"2018-01-01 07:44","-15.5","85"
"2018-01-01 07:54","-15.1","85"
"2018-01-01 08:04","-15.1","85"
"2018-01-01 08:14","-15.4","83"
"2018-01-01 08:24","-15.8","82"
"2018-01-01 08:34","-16.3","81"
"2018-01-01 08:44","-16.5","81"
"2018-01-01 08:54","-16.4","80"
"2018-01-01 09:04","-15.9","77"
"2018-01-01 09:14","-15.5","74"
"2018-01-01 09:24","-16.9","76"
"2018-01-01 09:34","-17.0","79"
"2018-01-01 09:44","-15.7","77"
"2018-01-01 09:54","-14.8","77"
"2018-01-01 10:04","-16.1","77"
"2018-01-01 10:14","-16.8","77"
"2018-01-01 10:24","-17.2","76"
"2018-01-01 10:34","-18.4","72"
"2018-01-01 10:44","-18.1","73"
"2018-01-01 10:54","-17.4","72"
"2018-01-01 11:04","-18.1","70"
"2018-01-01 11:14","-18.0","69"
"2018-01-01 11:24","-18.5","68"
"2018-01-01 11:34","-18.4","69"
"2018-01-01 11:44","-18.2","71"
"2018-01-01 11:54","-19.1","69"
"2018-01-01 12:04","-19.1","68"
"2018-01-01 12:14","-19.1","69"
"2018-01-01 12:24","-18.7","69"
"2018-01-01 12:34","-19.0","68"
"2018-01-01 12:44","-18.8","68"
"2018-01-01 12:54","-19.2","68"
"2018-01-01 13:04","-18.4","69"
"2018-01-01 13:14","-18.6","69"
"2018-01-01 13:24","-18.6","70"
"2018-01-01 13:34","-19.9","67"
"2018-01-01 13:44","-19.1","69"
"2018-01-01 13:54","-18.7","68"
"2018-01-01 14:04","-19.6","66"
"2018-01-01 14:14","-18.8","68"
"2018-01-01 14:24","-19.6","66"
"2018-01-01 14:34","-19.1","69"
"2018-01-01 14:44","-19.4","70"
"2018-01-01 14:54","-19.3","69"
"2018-01-01 15:04","-19.5","70"
"2018-01-01 15:14","-19.7","70"
"2018-01-01 15:24","-19.5","71"
"2018-01-01 15:34","-19.6","72"
"2018-01-01 15:44","-19.2","73"
"2018-01-01 15:54","-19.1","74"
"2018-01-01 16:04","-18.9","74"
"2018-01-01 16:14","-19.1","74"
"2018-01-01 16:24","-19.2","74"
"2018-01-01 16:34","-19.4","73"
"2018-01-01 16:44","-19.1","77"
"2018-01-01 16:54","-19.0","78"
"2018-01-01 17:04","-19.2","77"
"2018-01-01 17:14","-19.5","78"
"2018-01-01 17:24","-19.6","79"
"2018-01-01 17:34","-19.5","81"
"2018-01-01 17:44","-19.4","80"
"2018-01-01 17:54","-19.5","75"
"2018-01-01 18:04","-19.7","73"
"2018-01-01 18:14","-19.7","74"
"2018-01-01 18:24","-19.6","74"
"2018-01-01 18:34","-19.7","76"
"2018-01-01 18:44","-19.7","78"
"2018-01-01 18:54","-19.9","80"
"2018-01-01 19:04","-19.7","82"
"2018-01-01 19:14","-19.5","83"
"2018-01-01 19:24","-19.2","83"
"2018-01-01 19:34","-18.7","83"
"2018-01-01 19:44","-18.2","82"
"2018-01-01 19:54","-17.7","82"
"2018-01-01 20:04","-17.4","82"
"2018-01-01 20:14","-17.3","82"
"2018-01-01 20:24","-16.8","82"
"2018-01-01 20:34","-17.0","82"
"2018-01-01 20:44","-16.9","83"
"2018-01-01 20:54","-17.2","83"
"2018-01-01 21:04","-17.3","85"
"2018-01-01 21:14","-18.1","84"
"2018-01-01 21:24","-18.2","85"
"2018-01-01 21:34","-19.2","84"
"2018-01-01 21:44","-19.9","84"
"2018-01-01 21:54","-20.6","83"
"2018-01-01 22:04","-21.1","83"
"2018-01-01 22:14","-21.5","83"
"2018-01-01 22:24","-21.9","83"
"2018-01-01 22:34","-22.2","82"
"2018-01-01 22:44","-22.3","82"
"2018-01-01 22:54","-22.6","82"
"2018-01-01 23:04","-22.7","82"
"2018-01-01 23:14","-23.0","82"
"2018-01-01 23:24","-22.6","83"
"2018-01-01 23:34","-22.9","82"
"2018-01-01 23:44","-22.7","82"
