"Time EST","Air Temp (°C)"
"2018-03-01 00:04","0.6"
"2018-03-01 00:14","0.4"
"2018-03-01 00:24","0.1"
"2018-03-01 00:34","-0.1"
"2018-03-01 00:44","-0.4"
"2018-03-01 00:54","-0.9"
"2018-03-01 01:04","-1.4"
"2018-03-01 01:14","-1.8"
"2018-03-01 01:24","-2.0"
"2018-03-01 01:34","-2.1"
"2018-03-01 01:44","-1.7"
"2018-03-01 01:54","-1.2"
"2018-03-01 02:04","-0.8"
"2018-03-01 02:14","-0.5"
"2018-03-01 02:24","-0.4"
"2018-03-01 02:34","-0.2"
"2018-03-01 02:44","-0.2"
"2018-03-01 02:54","-0.1"
"2018-03-01 03:04","0.0"
"2018-03-01 03:14","0.1"
"2018-03-01 03:24","0.1"
"2018-03-01 03:34","0.2"
"2018-03-01 03:44","0.1"
"2018-03-01 03:54","0.1"
"2018-03-01 04:04","0.1"
"2018-03-01 04:14","0.1"
"2018-03-01 04:24","0.1"
"2018-03-01 04:34","0.2"
"2018-03-01 04:44","0.1"
"2018-03-01 04:54","0.1"
"2018-03-01 05:04","0.0"
"2018-03-01 05:14","0.0"
"2018-03-01 05:24","-0.1"
"2018-03-01 05:34","-0.1"
"2018-03-01 05:44","-0.1"
"2018-03-01 05:54","0.0"
"2018-03-01 06:04","0.0"
"2018-03-01 06:14","0.0"
"2018-03-01 06:24","0.0"
"2018-03-01 06:34","-0.1"
"2018-03-01 06:44","-0.1"
"2018-03-01 06:54","-0.1"
"2018-03-01 07:04","-0.2"
"2018-03-01 07:14","-0.1"
"2018-03-01 07:24","-0.2"
"2018-03-01 08:24","0.0"
"2018-03-01 08:34","-0.1"
"2018-03-01 08:44","0.0"
"2018-03-01 08:54","0.2"
"2018-03-01 09:04","0.2"
"2018-03-01 09:14","0.3"
"2018-03-01 09:24","0.8"
"2018-03-01 09:34","1.1"
"2018-03-01 09:44","1.2"
"2018-03-01 09:54","1.1"
"2018-03-01 10:04","1.7"
"2018-03-01 10:14","1.4"
"2018-03-01 10:24","1.8"
"2018-03-01 10:34","1.1"
"2018-03-01 10:44","1.3"
"2018-03-01 10:54","1.2"
"2018-03-01 11:04","1.6"
"2018-03-01 11:14","1.7"
"2018-03-01 11:24","2.0"
"2018-03-01 11:34","1.9"
"2018-03-01 11:44","2.0"
"2018-03-01 11:54","1.7"
"2018-03-01 12:04","1.3"
"2018-03-01 12:14","1.6"
"2018-03-01 12:24","1.3"
"2018-03-01 12:34","1.5"
"2018-03-01 12:44","1.4"
"2018-03-01 12:54","1.4"
"2018-03-01 13:04","1.5"
"2018-03-01 13:14","1.3"
"2018-03-01 13:24","1.3"
"2018-03-01 13:34","1.4"
"2018-03-01 13:44","1.3"
"2018-03-01 13:54","1.4"
"2018-03-01 14:04","0.9"
"2018-03-01 14:14","1.0"
"2018-03-01 14:24","1.0"
"2018-03-01 14:34","1.0"
"2018-03-01 14:44","1.0"
"2018-03-01 14:54","1.0"
"2018-03-01 15:04","1.0"
"2018-03-01 15:14","1.2"
"2018-03-01 15:24","1.1"
"2018-03-01 15:34","1.0"
"2018-03-01 15:44","0.9"
"2018-03-01 15:54","1.0"
"2018-03-01 16:04","1.0"
"2018-03-01 16:14","1.0"
"2018-03-01 16:24","0.9"
"2018-03-01 16:34","0.9"
"2018-03-01 16:44","0.8"
"2018-03-01 16:54","0.8"
"2018-03-01 17:04","0.8"
"2018-03-01 17:14","0.8"
"2018-03-01 17:24","0.8"
"2018-03-01 17:34","0.7"
"2018-03-01 17:44","0.7"
"2018-03-01 17:54","0.6"
"2018-03-01 18:04","0.5"
"2018-03-01 18:14","0.4"
"2018-03-01 18:24","0.3"
"2018-03-01 18:34","0.2"
"2018-03-01 18:44","0.1"
"2018-03-01 18:54","0.0"
"2018-03-01 19:04","-0.1"
"2018-03-01 19:14","-0.2"
"2018-03-01 19:24","-0.2"
"2018-03-01 19:34","-0.3"
"2018-03-01 19:44","-0.4"
"2018-03-01 19:54","-0.4"
"2018-03-01 20:04","-0.4"
"2018-03-01 20:14","-0.5"
"2018-03-01 20:24","-0.6"
"2018-03-01 20:34","-0.7"
"2018-03-01 20:44","-0.7"
"2018-03-01 20:54","-0.8"
"2018-03-01 21:04","-0.8"
"2018-03-01 21:14","-0.9"
"2018-03-01 21:24","-1.0"
"2018-03-01 21:34","-1.1"
"2018-03-01 21:44","-1.1"
"2018-03-01 21:54","-1.1"
"2018-03-01 22:04","-1.1"
"2018-03-01 22:14","-1.1"
"2018-03-01 22:24","-1.1"
"2018-03-01 22:34","-1.1"
"2018-03-01 22:44","-1.1"
"2018-03-01 22:54","-1.1"
"2018-03-01 23:04","-1.1"
"2018-03-01 23:14","-1.1"
"2018-03-01 23:24","-1.1"
"2018-03-01 23:34","-1.2"
"2018-03-01 23:44","-1.2"
"2018-03-01 23:54","-1.2"
"2018-03-02 00:04","-1.2"
"2018-03-02 00:14","-1.2"
"2018-03-02 00:24","-1.2"
"2018-03-02 00:34","-1.2"
"2018-03-02 00:44","-1.2"
"2018-03-02 00:54","-1.2"
"2018-03-02 01:04","-1.2"
"2018-03-02 01:14","-1.2"
"2018-03-02 01:24","-1.2"
"2018-03-02 01:34","-1.2"
"2018-03-02 01:44","-1.2"
"2018-03-02 01:54","-1.2"
"2018-03-02 02:04","-1.2"
"2018-03-02 02:14","-1.2"
"2018-03-02 02:24","-1.2"
"2018-03-02 02:34","-1.3"
"2018-03-02 02:44","-1.3"
"2018-03-02 02:54","-1.4"
"2018-03-02 03:04","-1.4"
"2018-03-02 03:14","-1.4"
"2018-03-02 03:24","-1.4"
"2018-03-02 03:34","-1.4"
"2018-03-02 03:44","-1.4"
"2018-03-02 03:54","-1.4"
"2018-03-02 04:04","-1.4"
"2018-03-02 04:14","-1.5"
"2018-03-02 04:24","-1.5"
"2018-03-02 04:34","-1.6"
"2018-03-02 04:44","-1.6"
"2018-03-02 04:54","-1.6"
"2018-03-02 05:04","-1.7"
"2018-03-02 05:14","-1.7"
"2018-03-02 05:24","-1.7"
"2018-03-02 05:34","-1.7"
"2018-03-02 05:44","-1.8"
"2018-03-02 05:54","-1.8"
"2018-03-02 06:04","-1.8"
"2018-03-02 06:14","-1.9"
"2018-03-02 06:24","-2.0"
"2018-03-02 06:34","-2.0"
"2018-03-02 06:44","-2.1"
"2018-03-02 06:54","-2.1"
"2018-03-02 07:04","-2.2"
"2018-03-02 07:14","-2.2"
"2018-03-02 07:24","-2.2"
"2018-03-02 07:34","-2.2"
"2018-03-02 07:44","-2.3"
