"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:04","13","W","17"
"2017-12-01 00:14","12","W","21"
"2017-12-01 00:24","8","WSW","17"
"2017-12-01 00:34","9","WSW","19"
"2017-12-01 00:44","10","SW","13"
"2017-12-01 00:54","7","SW","10"
"2017-12-01 01:04","8","SW","10"
"2017-12-01 01:14","11","W","17"
"2017-12-01 01:24","9","W","15"
"2017-12-01 01:34","9","W","17"
"2017-12-01 01:44","7","W","16"
"2017-12-01 01:54","11","W","16"
"2017-12-01 02:04","11","WSW","17"
"2017-12-01 02:14","10","WSW","15"
"2017-12-01 02:24","10","WSW","16"
"2017-12-01 02:34","9","WSW","12"
"2017-12-01 02:44","10","WSW","13"
"2017-12-01 02:54","9","SW","13"
"2017-12-01 03:04","10","SW","14"
"2017-12-01 03:14","9","WSW","14"
"2017-12-01 03:34","10","SW","17"
"2017-12-01 03:54","14","WSW","21"
"2017-12-01 04:14","11","SW","13"
"2017-12-01 04:34","11","SW","12"
"2017-12-01 04:54","12","SW","17"
"2017-12-01 05:14","9","SW","14"
"2017-12-01 05:34","11","SW","13"
"2017-12-01 05:54","6","SW","13"
"2017-12-01 06:14","7","WSW","10"
"2017-12-01 06:34","7","SW","9"
"2017-12-01 06:54","6","SSW","9"
"2017-12-01 07:14","5","SW","9"
"2017-12-01 07:34","7","SW","9"
"2017-12-01 07:54","6","SW","10"
"2017-12-01 08:14","6","SW","11"
"2017-12-01 08:34","5","SW","9"
"2017-12-01 08:54","6","SW","9"
"2017-12-01 09:14","6","SW","9"
"2017-12-01 09:34","6","SW","12"
"2017-12-01 09:54","8","SW","9"
"2017-12-01 10:14","4","WSW","11"
"2017-12-01 10:34","15","W","22"
"2017-12-01 10:54","10","WNW","16"
"2017-12-01 11:14","15","W","17"
"2017-12-01 11:34","12","WNW","17"
"2017-12-01 11:54","13","WSW","18"
"2017-12-01 12:14","16","W","23"
"2017-12-01 12:34","14","W","19"
"2017-12-01 12:54","11","W","19"
"2017-12-01 13:14","13","WNW","15"
"2017-12-01 13:34","14","W","22"
"2017-12-01 13:44","15","W","19"
"2017-12-01 13:54","15","WSW","21"
"2017-12-01 14:04","14","W","22"
"2017-12-01 14:14","11","W","18"
"2017-12-01 14:24","15","W","21"
"2017-12-01 14:34","13","WSW","23"
"2017-12-01 14:44","17","W","23"
"2017-12-01 14:54","13","W","21"
"2017-12-01 15:04","10","SW","21"
"2017-12-01 15:14","11","W","19"
"2017-12-01 15:24","9","WSW","19"
"2017-12-01 15:34","10","W","16"
"2017-12-01 15:44","13","WSW","23"
"2017-12-01 15:54","10","SW","16"
"2017-12-01 16:04","14","SW","18"
"2017-12-01 16:14","13","SW","17"
"2017-12-01 16:24","7","SW","17"
"2017-12-01 16:34","8","WSW","10"
"2017-12-01 16:44","9","WSW","11"
"2017-12-01 16:54","6","WSW","11"
"2017-12-01 17:04","5","W","8"
"2017-12-01 17:14","8","W","9"
"2017-12-01 17:24","8","W","9"
"2017-12-01 17:34","6","WSW","9"
"2017-12-01 17:44","5","SW","8"
"2017-12-01 17:54","5","SW","6"
"2017-12-01 18:04","6","WSW","6"
"2017-12-01 18:14","7","WSW","8"
"2017-12-01 18:24","8","WSW","10"
"2017-12-01 18:34","6","SW","10"
"2017-12-01 18:44","5","SW","8"
"2017-12-01 18:54","7","SSW","10"
"2017-12-01 19:04","7","SSW","8"
"2017-12-01 19:14","7","SW","8"
"2017-12-01 19:24","8","SW","9"
"2017-12-01 19:34","8","SW","12"
"2017-12-01 19:44","7","SW","12"
"2017-12-01 19:54","5","SW","9"
"2017-12-01 20:04","6","SW","8"
"2017-12-01 20:14","6","SW","11"
"2017-12-01 20:24","7","SW","9"
"2017-12-01 20:34","5","SW","11"
"2017-12-01 20:44","5","SW","8"
"2017-12-01 20:54","8","SW","12"
"2017-12-01 21:04","7","SW","12"
"2017-12-01 21:14","7","SW","10"
"2017-12-01 21:24","6","SSW","10"
"2017-12-01 21:34","3","SSW","7"
"2017-12-01 21:44","5","SSW","6"
"2017-12-01 21:54","1","SW","4"
"2017-12-01 22:04","3","SW","4"
