"Time EST","Air Temp (°C)"
"2018-01-01 00:04","-22.9"
"2018-01-01 00:14","-22.4"
"2018-01-01 00:24","-23.2"
"2018-01-01 00:34","-22.5"
"2018-01-01 00:44","-21.8"
"2018-01-01 00:54","-21.9"
"2018-01-01 01:04","-21.8"
"2018-01-01 01:14","-21.3"
"2018-01-01 01:24","-21.3"
"2018-01-01 01:34","-21.5"
"2018-01-01 01:44","-21.1"
"2018-01-01 01:54","-19.8"
"2018-01-01 02:04","-19.2"
"2018-01-01 02:14","-18.8"
"2018-01-01 02:24","-18.9"
"2018-01-01 02:34","-19.4"
"2018-01-01 02:44","-18.6"
"2018-01-01 02:54","-18.2"
"2018-01-01 03:04","-17.8"
"2018-01-01 03:14","-18.0"
"2018-01-01 03:24","-17.9"
"2018-01-01 03:34","-18.0"
"2018-01-01 03:44","-17.9"
"2018-01-01 03:54","-17.9"
"2018-01-01 04:04","-17.8"
"2018-01-01 04:14","-17.6"
"2018-01-01 04:24","-17.4"
"2018-01-01 04:34","-17.3"
"2018-01-01 04:44","-17.4"
"2018-01-01 04:54","-17.4"
"2018-01-01 05:04","-17.1"
"2018-01-01 05:14","-16.7"
"2018-01-01 05:24","-16.4"
"2018-01-01 05:34","-16.3"
"2018-01-01 05:44","-16.3"
"2018-01-01 05:54","-16.3"
"2018-01-01 06:04","-16.2"
"2018-01-01 06:14","-15.7"
"2018-01-01 06:24","-15.4"
"2018-01-01 06:34","-15.3"
"2018-01-01 06:44","-15.1"
"2018-01-01 06:54","-14.9"
"2018-01-01 07:04","-14.9"
"2018-01-01 07:14","-14.9"
"2018-01-01 07:24","-14.8"
"2018-01-01 07:34","-14.7"
"2018-01-01 07:44","-14.5"
"2018-01-01 07:54","-14.4"
"2018-01-01 08:04","-14.0"
"2018-01-01 08:14","-13.9"
"2018-01-01 08:24","-13.4"
"2018-01-01 08:34","-13.2"
"2018-01-01 08:44","-12.9"
"2018-01-01 08:54","-12.2"
"2018-01-01 09:04","-11.7"
"2018-01-01 09:14","-12.0"
"2018-01-01 09:24","-11.3"
"2018-01-01 09:34","-11.2"
"2018-01-01 09:44","-11.2"
"2018-01-01 09:54","-11.2"
"2018-01-01 10:04","-11.1"
"2018-01-01 10:14","-10.9"
"2018-01-01 10:24","-10.9"
"2018-01-01 10:34","-11.0"
"2018-01-01 10:44","-10.8"
"2018-01-01 10:54","-11.3"
"2018-01-01 11:04","-10.9"
"2018-01-01 11:14","-10.6"
"2018-01-01 11:24","-11.4"
"2018-01-01 11:34","-11.5"
"2018-01-01 11:44","-11.8"
"2018-01-01 11:54","-12.1"
"2018-01-01 12:04","-12.1"
"2018-01-01 12:14","-12.5"
"2018-01-01 12:24","-12.7"
"2018-01-01 12:34","-12.7"
"2018-01-01 12:44","-12.9"
"2018-01-01 12:54","-13.1"
"2018-01-01 13:04","-13.0"
"2018-01-01 13:14","-13.4"
"2018-01-01 13:24","-13.4"
"2018-01-01 13:34","-13.7"
"2018-01-01 13:44","-13.5"
"2018-01-01 13:54","-13.3"
"2018-01-01 14:04","-13.4"
"2018-01-01 14:14","-13.6"
"2018-01-01 14:24","-13.4"
"2018-01-01 14:34","-13.7"
"2018-01-01 14:44","-13.8"
"2018-01-01 14:54","-13.7"
"2018-01-01 15:04","-13.7"
"2018-01-01 15:14","-13.8"
"2018-01-01 15:24","-13.9"
"2018-01-01 15:34","-14.2"
"2018-01-01 15:44","-14.1"
"2018-01-01 15:54","-14.3"
"2018-01-01 16:04","-14.5"
"2018-01-01 16:14","-14.5"
"2018-01-01 16:24","-14.8"
"2018-01-01 16:34","-14.7"
"2018-01-01 16:44","-14.9"
"2018-01-01 16:54","-14.8"
"2018-01-01 17:04","-14.8"
"2018-01-01 17:14","-15.0"
"2018-01-01 17:24","-14.9"
"2018-01-01 17:34","-15.0"
"2018-01-01 17:44","-15.0"
"2018-01-01 17:54","-15.1"
"2018-01-01 18:04","-15.1"
"2018-01-01 18:14","-14.8"
"2018-01-01 18:24","-14.8"
"2018-01-01 18:34","-14.7"
"2018-01-01 18:44","-14.6"
"2018-01-01 18:54","-14.3"
"2018-01-01 19:04","-14.0"
"2018-01-01 19:14","-13.8"
"2018-01-01 19:24","-13.4"
"2018-01-01 19:34","-13.2"
"2018-01-01 19:44","-13.0"
"2018-01-01 19:54","-12.9"
"2018-01-01 20:04","-12.7"
"2018-01-01 20:14","-12.7"
"2018-01-01 20:24","-12.6"
"2018-01-01 20:34","-12.5"
"2018-01-01 20:44","-12.5"
"2018-01-01 20:54","-12.4"
"2018-01-01 21:04","-12.7"
"2018-01-01 21:14","-13.0"
"2018-01-01 21:24","-12.9"
"2018-01-01 21:34","-13.9"
"2018-01-01 21:44","-14.6"
"2018-01-01 21:54","-15.0"
"2018-01-01 22:04","-14.4"
"2018-01-01 22:14","-14.0"
"2018-01-01 22:24","-13.7"
"2018-01-01 22:34","-13.6"
"2018-01-01 22:44","-13.9"
"2018-01-01 22:54","-14.1"
"2018-01-01 23:04","-14.1"
"2018-01-01 23:14","-14.1"
"2018-01-01 23:24","-14.0"
"2018-01-01 23:34","-14.0"
"2018-01-01 23:44","-14.0"
"2018-01-01 23:54","-14.1"
"2018-01-02 00:04","-14.1"
"2018-01-02 00:14","-14.1"
"2018-01-02 00:24","-13.9"
"2018-01-02 00:34","-13.7"
"2018-01-02 00:44","-13.5"
"2018-01-02 00:54","-13.6"
"2018-01-02 01:04","-13.8"
"2018-01-02 01:14","-14.0"
"2018-01-02 01:24","-14.2"
"2018-01-02 01:34","-14.6"
"2018-01-02 01:44","-14.4"
"2018-01-02 01:54","-14.3"
"2018-01-02 02:04","-14.3"
"2018-01-02 02:14","-14.2"
"2018-01-02 02:24","-14.5"
"2018-01-02 02:34","-13.1"
"2018-01-02 02:44","-13.1"
"2018-01-02 02:54","-13.1"
"2018-01-02 03:04","-13.2"
"2018-01-02 03:14","-13.5"
"2018-01-02 03:24","-12.8"
"2018-01-02 03:34","-12.5"
"2018-01-02 03:44","-12.3"
"2018-01-02 03:54","-12.0"
"2018-01-02 04:04","-11.6"
"2018-01-02 04:14","-11.5"
"2018-01-02 04:24","-11.3"
"2018-01-02 04:34","-11.2"
"2018-01-02 04:44","-11.0"
"2018-01-02 04:54","-10.7"
"2018-01-02 05:04","-10.4"
"2018-01-02 05:14","-9.8"
"2018-01-02 05:24","-9.1"
"2018-01-02 05:34","-7.3"
"2018-01-02 05:44","-6.6"
"2018-01-02 05:54","-6.7"
"2018-01-02 06:04","-7.0"
"2018-01-02 06:14","-7.3"
"2018-01-02 06:24","-7.5"
"2018-01-02 06:34","-7.7"
"2018-01-02 06:44","-7.9"
"2018-01-02 06:54","-8.2"
"2018-01-02 07:04","-8.4"
"2018-01-02 07:14","-8.6"
"2018-01-02 07:24","-8.7"
"2018-01-02 07:34","-8.8"
"2018-01-02 07:44","-8.9"
"2018-01-02 07:54","-8.9"
"2018-01-02 08:04","-9.0"
"2018-01-02 08:14","-9.1"
"2018-01-02 08:24","-9.1"
"2018-01-02 08:34","-9.1"
"2018-01-02 08:44","-9.1"
"2018-01-02 08:54","-9.0"
"2018-01-02 09:04","-8.9"
"2018-01-02 09:14","-8.8"
"2018-01-02 09:24","-8.7"
"2018-01-02 09:34","-8.6"
"2018-01-02 09:44","-8.3"
"2018-01-02 09:54","-8.1"
"2018-01-02 10:04","-8.1"
"2018-01-02 10:14","-8.0"
"2018-01-02 10:24","-7.8"
"2018-01-02 10:34","-7.7"
"2018-01-02 10:44","-7.5"
"2018-01-02 10:54","-7.2"
"2018-01-02 11:04","-6.9"
"2018-01-02 11:14","-6.4"
"2018-01-02 11:24","-6.4"
"2018-01-02 11:34","-6.7"
"2018-01-02 11:44","-6.7"
"2018-01-02 11:54","-6.8"
"2018-01-02 12:04","-6.8"
"2018-01-02 12:14","-6.6"
"2018-01-02 12:24","-6.4"
"2018-01-02 12:34","-6.1"
"2018-01-02 12:44","-6.1"
"2018-01-02 12:54","-6.1"
"2018-01-02 13:04","-6.1"
"2018-01-02 13:14","-6.0"
"2018-01-02 13:24","-6.0"
"2018-01-02 13:34","-5.9"
"2018-01-02 13:44","-6.0"
"2018-01-02 13:54","-5.8"
